,company_name,date_posted,rating,review_title,job_position,job_location,pro_review,con_review
0,NCS,,5.0,Good Company for learning different technologies,Senior Software Engineer,Singapore,"You can learn different technologies if you are interested Since NCS has most of the Singapore government IT projects, we have a good chance to up skills up to the market.","According to my view, no Cons about the company."
0,NCS,,3.0,"Good for stability, bad for growth",Software Engineer,Singapore,fresh grads get a bootcamp to ease them into company tech stack,"project you get assigned to may not be using that tech stack, maintenance teams may be using older tech. hard to progress if assigned to maintenance teams due to performance metrics, so try to stay on dev teams"
0,NCS,,2.0,bad proj,Software Engineers,"Ang Mo Kio New Town,",Mainly the benefits from the company.. Good leaves Take certification Career development,"Bad project, practices, management Colleagues all busy, new people cant get mentored properly. Usually OT"
0,NCS,,4.0,Good place to start,Software Engineer,"Novena,",Focus on software development as compare to some companies with misc stuff to handle like organising events.,Fresh graduate will usually earn more than current employees even with years of experience.
0,NCS,,4.0,good,Software Engineer,Singapore River,"work life balance, no ot","under payed, bonus very low"
0,NCS,,3.0,Bad increment,Software Engineer,Singapore,Work on a lot of systems,Bad increment of 100+ dollars
0,NCS,,2.0,Toxic environment,Senior Software Engineer,Singapore,Good wlb depend but depend on project stable job,empty promise from reporting manager like to show favouritism incompetent project manager not hiring the right person for the job and simply throw person on the ground due to clearance low compensation
0,NCS,,3.0,work life in ncs,Software Engineer(Internship),Singapore,work life balance and not far,"low pay, its really low"
0,NCS,,3.0,Good training ground,Software Engineer,Singapore,Courses are free. Barrier of entry is low. Always given a chance to try.,Lower than average pay Hr is non-existent Company performance impacted by parent company
0,NCS,,3.0,Good as a first job,Software Engineer,"Ang Mo Kio New Town,","Nucleus program, work load depends on client","Low progression at start, raise is fairly low"
0,NCS,,3.0,Jus for fresh talent,Cloud Associate,Singapore,No experience Some projects less work so can self learn,Low salary Late promotion No aws 1 month bonus
0,NCS,,3.0,Proj lead consultant lacks leadership,Software Engineer,Singapore,"Nice building, canteen with affordable drinks, gym","Lead consultant who is also delegated as the PM, lacks leadership. Conducted mass performance appraisal over MS Teams with >15 software engineers."
0,NCS,,4.0,Acceptable pay,Senior Software Engineer,"Ang Mo Kio New Town,","Depend on team, and boss",Had to get promotion and increment
0,NCS,,2.0,It's the luck of the draw,Software Engineer,Singapore,Decent salary. Exposure into the scale and reach of this company.,Summary: Inconsistency in the workplace. Hard to recommend. The decent salary quickly turns sour as OT starts creeping in. There is no standardization between teams in how software engineering and the entire lifecycle is approached. This can easily imply how this affects project management and development environment. Lack of sympathy and poor attitude towards health is also present.
0,NCS,,2.0,Work life balance,Software Engineer,"Ang Mo Kio New Town,",Work life balance Free gym,Legacy of the legacy system
0,NCS,,3.0,Ok,Data Engineer,Singapore,Local env and good benefit,Company is ok but not interesting projects
0,NCS,,3.0,Increment,Software Engineer,Singapore,Some department can provide decent opportunities.,Increment and bonus is very bad last year
0,NCS,,4.0,Good place to learn but can be overloaded,Cloud Engineer,"Ang Mo Kio New Town,",Many projects to choose from and colleagues are generally nice. No micro-managing. Good for ppl who likes to try different roles and there are opportunities to take up more responsibilities.,Too many projects and poor match of engineer skillsets. Expected to handle 3 projects or more depending on the management you are under. Limited work life balance/harmony.
0,NCS,,4.0,Workload can be heavy but stablr,Lead Engineer,Singapore,"Stable company, good office, legit mnc","High workload, punishing deadlines, mega deals"
0,NCS,,5.0,Salary,Software Engineer,Singapore,Stable Job and flexible management,Slow progression and no WFH
0,NCS,,3.0,Stable Job but slow progression,Software Engineer,Singapore,"Job is pretty stable, working hours are dependent on assigned project, it's possible to have some form of work life balance","Progression is slow, work is project based so many things depend on what project you're assigned to. Projects on fire or with bad management can be tough to work in, you will learn a lot and might have minimal guidance and cover many tasks outside of being a software engineer, but it is a learning experience regardless."
0,NCS,,5.0,Good Company for learning different technologies,Senior Software Engineer,Singapore,"You can learn different technologies if you are interested Since NCS has most of the Singapore government IT projects, we have a good chance to up skills up to the market.","According to my view, no Cons about the company."
0,NCS,,4.0,Good to learn things,Software Engineer,Singapore,- friendly colleagues - competitive pay - multiple projects to learn coding skills,- might ot sometime - bonus can be better
0,NCS,,3.0,Average,Solution Architect,Singapore,Flexible time Good colleagues depending on team,Shorthanded on almost projects Some Difficult internal stakeholders
0,NCS,,3.0,NCS,Software Engineer,Singapore,-Is a good company to learn -Colleagues are very helpful and have learnt a lot from my seniors -Free master course,"-Salary does not match the amount of work/projects being assigned. -You may have a title of software engineer, but performing 3 different roles. (Business Analyst, Developer, Tester) -Increment and bonus are little. -Whether you can attend the master course depends on your workload or PM."
0,NCS,,3.0,Decent depending on project,Software Engineer,Singapore,"Decent benefits, team members, and food provided.","Less communication, no team bonding, and awkward vibes overall."
0,NCS,,3.0,Base salary,Software Engineer,Singapore,-Good work-life balance if you are in the right project -Flexible working arrangement,-Low pay -Slow progression -Almost no bonus
0,NCS,,3.0,Average company,Devops Engineer,Singapore,"everything that you ever imagine is average here, from benefits to lunch options to working with average people. wfh for 1/2 days depending on team weekly.","work culture is not great at all, expect to OT a lot. a very typical singaporean company that tries to be a modern tech company but fails very badly in doing so. there is mistrust between employees across the hierarchy. overall, there's a sense of micromanagement and generally do not feel great working there. good to check out forums on NCS before applying, most of what is written there and on here is mostly true."
0,NCS,,3.0,ok,Software Engineer,Singapore,decent pay and good colleagues,very little to no worklife balance
0,NCS,,2.0,Decent first job,Software Engineer,Singapore,"Decent starting pay, decent working environment",Career growth severly limited and entirely based on project you are assigned to. Low salary increment(1%) at the time of writing
0,NCS,,3.0,Good place for learning and leaving,Software Engineer,Singapore,Good colleagues Exposure to production work early on If you can learn fast on your own it is good for you,Bad pay and unwillingness to pay you fairly
0,NCS,,4.0,Not a place crowed with talented people,Senior Software Engineer,Singapore,Good entry for fresh graduate,Talent density not high could lead to projects not well managed.
0,NCS,,3.0,No career prospect,Software Engineer,Singapore,Worklife balance and better than average benefits,"Low bonus, low pay. Little to no career advancemenr"
0,NCS,,5.0,Had a positive experience working in NCS,Senior Software Engineer,Singapore,I have had a positive onboarding experience with the team and the team was welcoming and helpful.,No negative things until now
0,NCS,,2.0,Performance appraisal lacks proper structure and transparency,Software Engineer,Singapore,Good for newcomers struggling to find a job,"Pay is below market rate Hardwork doesn't amount to anything if you aren't visible or in bosses good shoes Management are not clear on what is happening on the ground and too fixated on meeting timeline rather than delivering a quality product Attrition rate is extremely high due to poor environment, wellfare and culture."
0,NCS,,4.0,Good for career starter,Cloud Executive,"Ang Mo Kio New Town,","Opportunities to learn, broad range of technology, many chances to up-skill.","Lower salary range, project dependent."
0,NCS,,5.0,NCS Pro and Con,Applications Engineer,Singapore,Good place to learn and progress,Not a good environment due to policies
0,NCS,,1.0,LEAVE! Company severely underperformed FY23,Software Developer,Singapore,Easy entry for early graduates.,"1. No trainings 2. Promises on masters (nucleus) is a lie 3. Slavery and OT culture 4. Immediate termination on the spot (i have seen 3-5 colleagues getting fired for the tiniest reasons (got caught taking tea break, etc) 5. Bonus less than 1 month + pay increment less than 2% 6. No salary negotiable upon permanent conversion (HR says sorry must be standardize across regardless of performance.) 7. You have a director that says this kind of stuff ""Do you think I spend my personal money for all these work dinners for nothing? I want the team to gel together and work even harder and smarter than before."" when you chose not to come to their ""voluntary"" team sessions. 8. Lost most their projects and tenders, etc. 9. Extremely secluded area with no valid dining places. Their canteen have effectively 1 STALL only where you can queue up to 40 minutes with 200~ people who WFO queuing."
0,NCS,,3.0,Nice Environment,Software Engineer,Singapore,"Good Work Culture, Work Life Balance",No Career opportunities within organization
0,NCS,,4.0,"Best local company with Global vision , Great culture and learning",Sr. DevOps Software Engineer,Singapore,"Company has good culture and cares about people. People are treated fairly and respected for what they do. NCS has partnership over 100 tech companies which gives you an opportunity to explore free learnings and upskill. Has many different department like Cloud DevOps , App development and it's easy to move between dept. Great potential to grow yourself individually.",Since it's a service based company sometimes you may not be in desired project/technology but you have an option to explore and discuss with your manager.
