,Unnamed: 0,company_name,date_posted,rating,review_title,job_position,job_location,pro_review,con_review,pro_score,con_score,rating_score,weighted_score,work_life_and_flexibility_job_aspect_score,career_development_and_learning_job_aspect_score,compensation_benefits_and_security_job_aspect_score,culture_and_environment_job_aspect_score,management_and_communication_job_aspect_score,diversity_and_inclusion_job_aspect_score,employee_engagement_and_satisfaction_job_aspect_score,operational_efficiency_and_resources_job_aspect_score,innovation_and_strategic_vision_job_aspect_score,global_impact_and_social_responsibility_job_aspect_score,job_position_category
0,0,NCS,,5.0,Good Company for learning different technologies,Senior Software Engineer,Singapore,"You can learn different technologies if you are interested Since NCS has most of the Singapore government IT projects, we have a good chance to up skills up to the market.","According to my view, no Cons about the company.",0.765,-0.296,1.0,0.61725,,,,,,,,,,,software_engineer
1,0,NCS,,3.0,"Good for stability, bad for growth",Software Engineer,Singapore,fresh grads get a bootcamp to ease them into company tech stack,"project you get assigned to may not be using that tech stack, maintenance teams may be using older tech. hard to progress if assigned to maintenance teams due to performance metrics, so try to stay on dev teams",0.5859,0.34,0.0,0.231475,,,,,,,,,,,software_engineer
2,0,NCS,,2.0,bad proj,Software Engineers,"Ang Mo Kio New Town,",Mainly the benefits from the company.. Good leaves Take certification Career development,"Bad project, practices, management Colleagues all busy, new people cant get mentored properly. Usually OT",0.6705,-0.5423,-0.5,-0.21795,,,0.6705,,-0.5423,,,,,,software_engineer
3,0,NCS,,4.0,Good place to start,Software Engineer,"Novena,",Focus on software development as compare to some companies with misc stuff to handle like organising events.,Fresh graduate will usually earn more than current employees even with years of experience.,0.3612,0.3182,0.5,0.41985,,,,,,,,,,,software_engineer
4,0,NCS,,4.0,good,Software Engineer,Singapore River,"work life balance, no ot","under payed, bonus very low",-0.296,0.2748,0.5,0.2447,-0.296,,0.2748,,,,,,,,software_engineer
5,0,NCS,,3.0,Bad increment,Software Engineer,Singapore,Work on a lot of systems,Bad increment of 100+ dollars,0.0,-0.5423,0.0,-0.135575,,,,,,,,,,,software_engineer
6,0,NCS,,2.0,Toxic environment,Senior Software Engineer,Singapore,Good wlb depend but depend on project stable job,empty promise from reporting manager like to show favouritism incompetent project manager not hiring the right person for the job and simply throw person on the ground due to clearance low compensation,0.5789,-0.296,-0.5,-0.17927500000000002,,,-0.296,,,,,,,,software_engineer
7,0,NCS,,3.0,work life in ncs,Software Engineer(Internship),Singapore,work life balance and not far,"low pay, its really low",0.0,-0.5574,0.0,-0.13935,0.0,,-0.5574,,,,,,,,software_engineer
8,0,NCS,,3.0,Good training ground,Software Engineer,Singapore,Courses are free. Barrier of entry is low. Always given a chance to try.,Lower than average pay Hr is non-existent Company performance impacted by parent company,0.4019,-0.3818,0.0,0.005025000000000002,,0.4019,-0.3818,,,,,,,,software_engineer
9,0,NCS,,3.0,Good as a first job,Software Engineer,"Ang Mo Kio New Town,","Nucleus program, work load depends on client","Low progression at start, raise is fairly low",0.0,-0.4939,0.0,-0.123475,,-0.4939,,,,,,,,,software_engineer
10,0,NCS,,3.0,Jus for fresh talent,Cloud Associate,Singapore,No experience Some projects less work so can self learn,Low salary Late promotion No aws 1 month bonus,-0.296,0.0516,0.0,-0.061099999999999995,,,0.0516,,,,,,,,cloud_engineer
11,0,NCS,,3.0,Proj lead consultant lacks leadership,Software Engineer,Singapore,"Nice building, canteen with affordable drinks, gym","Lead consultant who is also delegated as the PM, lacks leadership. Conducted mass performance appraisal over MS Teams with >15 software engineers.",0.4215,0.0,0.0,0.105375,,,,,0.0,,,,,,software_engineer
12,0,NCS,,4.0,Acceptable pay,Senior Software Engineer,"Ang Mo Kio New Town,","Depend on team, and boss",Had to get promotion and increment,0.0,0.0,0.5,0.25,,,,,,,,,,,software_engineer
13,0,NCS,,2.0,It's the luck of the draw,Software Engineer,Singapore,Decent salary. Exposure into the scale and reach of this company.,Summary: Inconsistency in the workplace. Hard to recommend. The decent salary quickly turns sour as OT starts creeping in. There is no standardization between teams in how software engineering and the entire lifecycle is approached. This can easily imply how this affects project management and development environment. Lack of sympathy and poor attitude towards health is also present.,0.0258,-0.1531,-0.5,-0.281825,,,-0.12730000000000002,-0.1531,-0.1531,,,-0.1531,,,software_engineer
14,0,NCS,,2.0,Work life balance,Software Engineer,"Ang Mo Kio New Town,",Work life balance Free gym,Legacy of the legacy system,0.5106,0.0,-0.5,-0.12234999999999999,0.5106,,,,,,,,,,software_engineer
15,0,NCS,,3.0,Ok,Data Engineer,Singapore,Local env and good benefit,Company is ok but not interesting projects,0.7096,-0.3153,0.0,0.098575,,,,,,,,,,,data_scientist_or_analyst
16,0,NCS,,3.0,Increment,Software Engineer,Singapore,Some department can provide decent opportunities.,Increment and bonus is very bad last year,0.3818,-0.0754,0.0,0.0766,,,-0.0754,,,,,,,,software_engineer
17,0,NCS,,4.0,Good place to learn but can be overloaded,Cloud Engineer,"Ang Mo Kio New Town,",Many projects to choose from and colleagues are generally nice. No micro-managing. Good for ppl who likes to try different roles and there are opportunities to take up more responsibilities.,Too many projects and poor match of engineer skillsets. Expected to handle 3 projects or more depending on the management you are under. Limited work life balance/harmony.,0.836,-0.6124,0.5,0.30589999999999995,-0.6124,,,,-0.6124,,,,,,cloud_engineer
19,0,NCS,,5.0,Salary,Software Engineer,Singapore,Stable Job and flexible management,Slow progression and no WFH,0.4767,-0.296,1.0,0.545175,,-0.296,,,0.4767,,,,,,software_engineer
