company_name,job_position_category,work_life_and_flexibility_job_aspect_score_freq,career_development_and_learning_job_aspect_score_freq,compensation_benefits_and_security_job_aspect_score_freq,culture_and_environment_job_aspect_score_freq,management_and_communication_job_aspect_score_freq,diversity_and_inclusion_job_aspect_score_freq,employee_engagement_and_satisfaction_job_aspect_score_freq,operational_efficiency_and_resources_job_aspect_score_freq,innovation_and_strategic_vision_job_aspect_score_freq,global_impact_and_social_responsibility_job_aspect_score_freq,pro_score_mean,con_score_mean,rating_score_mean,weighted_score_mean,work_life_and_flexibility_job_aspect_score_mean,career_development_and_learning_job_aspect_score_mean,compensation_benefits_and_security_job_aspect_score_mean,culture_and_environment_job_aspect_score_mean,management_and_communication_job_aspect_score_mean,diversity_and_inclusion_job_aspect_score_mean,employee_engagement_and_satisfaction_job_aspect_score_mean,operational_efficiency_and_resources_job_aspect_score_mean,innovation_and_strategic_vision_job_aspect_score_mean,global_impact_and_social_responsibility_job_aspect_score_mean
Accenture,cloud_engineer,0,0,0,0,1,0,0,0,0,0,0.213775,0.16132500000000002,0.625,0.406275,,,,,0.0,,,,,
Accenture,data_scientist_or_analyst,0,2,2,1,1,0,0,0,0,0,0.38112,-0.023399999999999997,0.7,0.43942999999999993,,0.31500000000000006,0.23409999999999997,0.8074,0.8074,,,,,
Accenture,dev_ops_engineer,1,0,0,0,0,0,0,0,0,0,0.4404,0.0,0.75,0.4851,0.4404,,,,,,,,,
Accenture,qa_automation_tester,2,2,3,3,2,0,0,0,0,0,0.6091142857142857,-0.12329999999999999,0.6428571428571429,0.4428821428571429,0.65785,-0.1462,0.6569333333333334,0.4461333333333333,0.7406999999999999,,,,,
Accenture,software_engineer,29,12,50,14,16,2,5,3,0,0,0.5158327586206897,-0.09158965517241378,0.27155172413793105,0.24183663793103446,-0.14482758620689656,0.46602499999999997,0.252772,0.35119285714285714,0.06002500000000001,0.7923,0.41716,0.1960333333333333,,
Alcon,qa_automation_tester,0,0,0,0,1,0,0,0,0,0,0.59962,0.04968,0.4,0.362325,,,,,0.6908,,,,,
Alibaba Group,software_engineer,1,0,2,2,0,0,0,1,0,0,0.27549999999999997,-0.388675,0.25,0.09670625000000001,0.5719,,0.1639,-0.33115,,,,-0.2023,,
Amazon,cloud_engineer,3,1,3,3,4,0,0,0,0,0,0.6261555555555556,-0.0478,0.7222222222222222,0.5056999999999999,0.15913333333333332,0.9402,0.6201,1.0285333333333333,0.725625,,,,,
Amazon,data_scientist_or_analyst,0,0,0,0,1,0,0,0,0,0,0.2716,0.0,-0.5,-0.18209999999999998,,,,,0.0,,,,,
Amazon,dev_ops_engineer,0,0,0,0,0,0,0,0,0,0,0.7906,-0.4898,1.0,0.5751999999999999,,,,,,,,,,
Amazon,software_engineer,2,0,0,1,2,0,0,0,0,0,0.54656,-0.0799,0.0,0.11666500000000002,0.12085000000000001,,,0.9371,0.0386,,,,,
Anacle Systems,software_engineer,0,1,8,0,5,0,0,2,0,0,0.5648,0.0017095238095238062,0.047619047619047616,0.16543690476190476,,0.7184,0.18745,,0.45598,,,0.2842,,
Aspire,software_engineer,1,0,2,1,0,0,0,0,0,0,0.9411,0.10185,1.0,0.7607375000000001,0.9705,,0.46875,0.9705,,,,,,
Bloomberg,data_scientist_or_analyst,1,0,0,0,0,0,0,0,0,0,0.9571,-0.3612,1.0,0.648975,0.9571,,,,,,,,,
Bloomberg,software_engineer,0,1,1,1,0,1,0,0,0,0,0.3071,-0.1094,0.5,0.299425,,0.0772,0.296,0.296,,0.296,,,,
CTC Global,software_engineer,1,0,1,0,0,0,0,0,0,0,0.6043,-0.1591,0.5,0.3613,0.3818,,0.3818,,,,,,,
Carrier,qa_automation_tester,0,0,0,0,1,0,0,0,0,0,-0.3612,0.0,-1.0,-0.5903,,,,,0.0,,,,,
Certis,cloud_engineer,0,0,0,0,1,0,0,0,0,0,0.9755,0.0,1.0,0.7438750000000001,,,,,0.9755,,,,,
Certis,data_scientist_or_analyst,0,0,1,0,0,0,0,0,0,0,0.0,-0.5998,0.5,0.10005,,,-0.5998,,,,,,,
Certis,software_engineer,0,0,1,0,0,0,0,0,0,0,0.44299999999999995,-0.18065,0.25,0.1905875,,,-0.464,,,,,,,
Check Point Software Technologies,software_engineer,0,0,0,0,0,0,0,0,0,0,0.4215,-0.2263,1.0,0.5488,,,,,,,,,,
Chevron,software_engineer,1,0,0,0,0,0,0,0,0,0,0.4927,-0.2716,1.0,0.555275,0.4927,,,,,,,,,
Chevron,sre,0,0,1,1,0,0,0,0,0,0,0.6705,0.0,1.0,0.667625,,,0.6705,0.6705,,,,,,
Collabera,software_engineer,1,1,0,0,0,0,0,0,0,0,0.4404,-0.296,1.0,0.5361,0.4404,-0.296,,,,,,,,
Dai-ichi Seiko,software_engineer,1,1,0,0,0,0,0,0,0,0,0.5106,0.2263,0.5,0.434225,0.5106,0.2263,,,,,,,,
Dassault Systèmes,qa_automation_tester,0,0,0,0,0,0,0,0,0,0,0.4404,0.0,1.0,0.6101,,,,,,,,,,
Diebold Nixdorf,software_engineer,1,2,2,3,2,0,0,0,0,0,0.48255714285714285,-0.28118571428571426,0.2857142857142857,0.1932,0.2263,-0.51615,-0.1061,0.23063333333333333,-0.22044999999999998,,,,,
Eli Lilly and Company,qa_automation_tester,1,1,0,1,1,0,0,0,0,0,0.8519,0.0258,1.0,0.719425,0.8519,0.0258,,0.8519,0.8519,,,,,
Fugro,software_engineer,0,0,1,0,0,0,0,0,0,0,0.3612,0.0,0.5,0.3403,,,0.3612,,,,,,,
Google,cloud_engineer,0,0,1,0,0,0,0,0,0,0,0.7269,-0.1531,1.0,0.64345,,,-0.1531,,,,,,,
Google,software_engineer,11,3,17,13,3,0,0,0,0,0,0.6566074626865671,-0.017365671641791043,0.7835820895522388,0.5516014925373135,0.4597545454545454,0.4341333333333333,0.6721529411764706,0.7486153846153846,0.027533333333333337,,,,,
Halliburton,qa_automation_tester,0,0,0,1,1,0,0,0,0,0,0.6622666666666667,0.00630000000000001,0.5,0.4171416666666667,,,,0.7845,0.0,,,,,
Halliburton,software_engineer,0,0,0,0,0,0,0,0,0,0,0.8225,0.0,0.5,0.455625,,,,,,,,,,
Honeywell,qa_automation_tester,0,0,0,0,1,0,0,0,0,0,0.8402,-0.5546,0.0,0.07139999999999999,,,,,-0.5546,,,,,
Hyundai Motor,dev_ops_engineer,0,0,0,0,0,0,0,0,0,0,0.7269,0.0,0.0,0.181725,,,,,,,,,,
Incube8,dev_ops_engineer,1,0,1,0,0,0,0,0,0,0,0.9469000000000001,0.405,1.0,0.837975,0.9876,,0.9876,,,,,,,
Incube8,software_engineer,2,3,4,1,3,0,0,1,0,0,0.5031875,-0.268225,-0.0625,0.027490625000000005,-0.82785,0.8313666666666667,-0.22945,-0.6919,-0.09146666666666665,,,0.9231,,
Inland Revenue Authority of Singapore,qa_automation_tester,0,0,0,0,0,0,0,0,0,0,0.9509,0.0,0.5,0.48772499999999996,,,,,,,,,,
Inland Revenue Authority of Singapore,software_engineer,0,0,0,0,0,0,0,0,0,0,0.6249,0.0,0.5,0.406225,,,,,,,,,,
Innohub Technologies,software_engineer,0,0,0,0,0,0,0,0,0,0,0.91675,-0.27115,0.0,0.1614,,,,,,,,,,
Johnson Controls,qa_automation_tester,0,0,0,1,1,0,0,0,0,0,0.7184,0.0,0.5,0.4296,,,,0.7184,0.7184,,,,,
Johnson Controls,software_engineer,0,0,0,0,0,0,0,0,0,0,0.5413,-0.2924,0.5,0.312225,,,,,,,,,,
Kiteworks,software_engineer,2,0,3,2,4,0,0,0,0,0,0.6580363636363636,-0.030772727272727275,0.6818181818181818,0.497725,0.48345,,0.6390666666666667,0.72475,0.431475,,,,,
Lonza Biologics Tuas,dev_ops_engineer,0,1,0,0,0,0,0,0,0,0,0.6369,0.0772,0.0,0.17852500000000002,,0.0772,,,,,,,,
Lonza Biologics Tuas,qa_automation_tester,0,0,0,0,0,0,0,0,0,0,0.3093333333333333,-0.2976666666666667,-0.3333333333333333,-0.16375,,,,,,,,,,
MSD,cloud_engineer,0,0,0,1,0,0,0,0,0,0,0.7184,0.0,0.5,0.4296,,,,0.7184,,,,,,
MSD,data_scientist_or_analyst,0,1,1,0,0,0,0,0,0,0,0.9531,0.5058,1.0,0.864725,,0.9531,0.9531,,,,,,,
MSD,dev_ops_engineer,2,0,2,1,2,0,0,0,0,0,0.5929571428571428,0.03648571428571429,0.6428571428571429,0.47878928571428575,0.27570000000000006,,0.87265,0.9017,1.06545,,,,,
MSD,qa_automation_tester,2,1,1,0,1,0,0,0,0,0,0.3551,-0.3952,0.0,-0.010024999999999987,0.2202,-0.4767,-0.4767,,0.0,,,,,
MSD,software_engineer,5,0,5,5,1,0,0,0,0,0,0.71525,-0.22943333333333335,0.75,0.49645416666666664,0.50214,,0.22468,0.67726,0.9052,,,,,
Marvell Technology,qa_automation_tester,0,0,0,0,0,0,0,0,0,0,0.4927,0.5267,0.0,0.25485,,,,,,,,,,
Marvell Technology,software_engineer,0,0,0,0,0,0,0,0,0,0,-0.128,-0.5106,0.0,-0.15965000000000001,,,,,,,,,,
Mercedes-Benz Mobility,software_engineer,0,0,0,0,0,0,0,0,0,0,0.68125,0.0,1.0,0.6703125,,,,,,,,,,
Micron Technology,data_scientist_or_analyst,0,0,0,0,0,0,0,0,0,0,0.34,-0.25,0.5,0.2725,,,,,,,,,,
Micron Technology,dev_ops_engineer,0,1,1,0,0,0,0,0,0,0,0.7612,0.36075,-0.25,0.1554875,,0.6705,0.3196,,,,,,,
Micron Technology,qa_automation_tester,2,4,3,3,2,0,0,0,0,0,0.6250636363636364,-0.1650818181818182,0.22727272727272727,0.22863181818181816,0.1251,-0.19392500000000001,0.2984,0.14609999999999998,-0.37495,,,,,
Micron Technology,software_engineer,1,0,1,2,0,0,0,0,0,0,0.63666,-0.1908,0.1,0.16146500000000003,-0.6808,,-0.6808,0.7712,,,,,,
Micron Technology,sre,1,0,1,0,1,0,0,0,0,0,0.256,0.17753333333333332,0.0,0.10838333333333333,0.2023,,0.0772,,-0.3605,,,,,
NCS,cloud_engineer,3,4,9,1,2,0,1,1,0,0,0.3968294117647059,-0.0064647058823529445,0.3235294117647059,0.25935588235294116,-0.28063333333333335,0.40075,-0.003788888888888891,0.9001,-0.40295000000000003,,-0.3834,0.9001,,
NCS,data_scientist_or_analyst,0,0,0,0,1,0,0,0,0,0,0.7636000000000001,-0.33220000000000005,0.5,0.35785,,,,,0.8176,,,,,
NCS,dev_ops_engineer,0,0,5,2,1,0,0,0,0,0,0.52088,-0.08931999999999998,0.5,0.35789,,,0.2829,-0.06914999999999999,-0.8088,,,,,
NCS,qa_automation_tester,0,1,0,0,0,0,0,0,0,0,0.24635,0.164,0.5,0.35258750000000005,,0.624,,,,,,,,
NCS,software_engineer,31,21,61,15,20,0,1,2,0,0,0.4729555555555556,-0.12682740740740742,0.1925925925925926,0.18282833333333334,0.1669677419354839,0.1779952380952381,0.13178852459016394,0.15092666666666668,-0.188695,,-0.3657,-0.5005999999999999,,
