index,company_name,job_title,job_location,job_employment_type,job_seniority,job_experience_level,job_industry,job_salary_range,job_salary_frequency,job_post_start_date,job_post_close_date_list,job_description,original_job_title
0,IMPERVA SINGAPORE PTE. LTD.,Cloud Operations Engineer,"30 RAFFLES PLACE, 30 RAFFLES PLACE 048622",Full Time,Professional,4 years exp,Information Technology,"$14,000to$17,000",Monthly,29 applications,Closing on 13 Apr 2024,"About the role
Imperva’s Infrastructure and Cloud team is looking for a highly technical Site Reliability Engineer to drive innovation, scale, and create operational excellence for the Imperva globally distributed network. As an SRE in the ICO organization, you approach solving, supporting, and optimizing the infrastructure programmatically. You will work to improve the overall availability, reliability, performance, and security of the infrastructure for Imperva’s customers.
Responsibilities
Establish metrics for data-driven decisions to help increase availability, reliability, and velocity
Apply SRE core tenets of measurement (SLI/SLO/SLA), eliminate toil, and reliability modeling
Provide go/no go preplanning, verification/validation, and review of existing and new product/services
Proactively analyze data and test the integrity of systems to ensure production applications and services are operating optimally
Work with internal and external customers as needed to troubleshoot and resolve business affecting issues
Escalations, incident response, RCA, and blameless postmortem
Participate in 24x7 on-call rotation
Qualifications
5+ years of professional experience within a cloud/web/CDN scale infrastructure
Experience programming in any combination of Python, Go, C/C++, Rust
Expert-level knowledge of Linux systems, network programming and protocols TCP, UDP, DNS, TLS/SSL, HTTP
Experience with BGP and anycast routing is a plus
Experience with DevOps principles and concepts such as Infrastructure as Code (Ansible/Saltstack), CI/CD (Gitlab, Jenkins, Git), monitoring and visualization (Prometheus, Grafana)
Experience with big data technologies such as NoSQL/RDBMS, Redis, ElasticSearch, Kafka
Experience with containers and container management (Docker, Kubernetes) is a plus
Experience analyzing and building data telemetry, modeling, pipelines, UI visualization
Experience in developing software, troubleshooting, and monitoring large scale distributed systems
Implement modern software engineering best practices/standards and adhere/maintain software development life cycle
Working knowledge and experience of Agile software development methodologies
Outstanding collaboration and communication, and documentation skills with a proven ability to work cross-functionally to establish and meet OKRs
BS/MS in computer science, engineering, or a related technical discipline or equivalent experience
Our Company:
Imperva is the cybersecurity leader whose mission is to help organizations protect their data and all paths to it. Customers around the world trust Imperva to protect their applications, data and websites from cyber attacks. With an integrated approach combining edge, application security and data security, Imperva protects companies through all stages of their digital journey. Imperva Research Labs and our global intelligence community enable Imperva to stay ahead of the threat landscape and seamlessly integrate the latest security, privacy and compliance expertise into our solutions. Learn more on the Imperva website or company blog, and follow Imperva on LinkedIn and Twitter.


Benefits:
Imperva offers a competitive compensation package that includes base salary, medical, flexible time off and more. It’s an exciting time to work in cybersecurity. Learn about Imperva products and services at www.imperva.com and career opportunities at www.imperva.com/careers


Legal Notice:
Imperva is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, ancestry, pregnancy, age, sexual orientation, gender identity, marital status, protected veteran status, medical condition or disability, or any other characteristic protected by law.",cloud engineer
1,QCP CAPITAL PTE. LTD.,Cloud Engineer,"ROYAL ONE PHILLIP, 1 PHILLIP STREET 048692",Full Time,Executive,2 years exp,"Banking and Finance, Engineering, Information Technology","$7,000to$14,000",Monthly,Posted 13 Mar 2024,Closing on 12 Apr 2024,"Established in 2017, QCP Capital is a full suite crypto trading firm and global market leader in options, headquartered in Singapore.

With deep multi-cycle experience, QCP Capital unlocks new opportunities for clients at the forefront of crypto markets through providing institutional-grade liquidity, infrastructure and research.

Our market insights regularly cover macro views, trading updates and web3 developments.

An active early-stage crypto and blockchain investor, QCP Capital’s portfolio includes core trading infrastructure, exchanges, data and token ecosystems.

QCP Capital is supported by over 70 professionals in trading, business development, operations, risk and compliance teams.

Role

As a Cloud Engineer at QCP Capital, you will be responsible for the design, implementation, and maintenance of our AWS infrastructure. This position be within the technology operations team reporting to the head of technology. You will work closely with cross-functional teams to ensure the availability, scalability, and security of our cloud-based systems. The ideal candidate will have hands-on experience with AWS services, a strong understanding of cloud architecture best practices, and a passion for staying up-to-date with the latest cloud technologies.

Their key responsibilities will be the following

1) AWS Infrastructure management
Design, deploy, and maintain scalable and highly available AWS infrastructure.
Implement and manage AWS services such as ECS, EC2, S3, RDS, Lambda, Networking, and others as needed.
Design and test workload architectures to withstand failures and meet availability goals
Monitor and optimize resource utilization, performance, reliability, and costs.
2) Security and Compliance:
Implement and enforce security best practices in the AWS environment (e.g. Service Control Policies, Landing Zone, Control Tower, etc.).
Conduct regular security assessments and audits to ensure compliance with industry and regulatory standards.
Collaborate with the security team to respond to and remediate security incidents.
Enhance cloud infrastructure and data protection in accordance with Well Architected Framework principles.
3) Automation
Develop and maintain infrastructure as code (IaC) using tools such as Terraform or CloudFormation.
The construct of company approved architectural design patterns for new cloud services that can be shared across projects and teams.
Implement automation scripts to streamline routine tasks and enhance operational efficiency.
4) Monitoring and Alerting
Set up and configure monitoring and alerting systems to ensure proactive identification and resolution of issues.
Respond to and resolve incidents, working with other teams as necessary.
5) Collaboration:
Collaborate with development and production teams to ensure seamless integration of cloud services.
Provide technical guidance and support to team members and stakeholders.
Education and Experience
Bachelor's degree in Computer Science, Information Technology, or related field.
Proven experience as a Cloud Engineer with a focus on AWS.
AWS certifications an advantage. (e.g., AWS Certified Solutions Architect, AWS Certified DevOps Engineer)
Strong knowledge of cloud architecture best practices, security, and compliance.
Experience with infrastructure as code tools (Terraform, CloudFormation, CDK).
Proficiency in scripting languages (e.g., Python, Bash).
Familiarity with CI/CD pipelines and DevOps and/or DevSecOps practices.
·Excellent problem-solving and communication skills.
The Environment We Offer

As a growing firm with a tightly-knit team, we respect and listen to all our employees. You will get the chance to make an impact by having your voice heard by everyone, including the management.

Our employees enjoy a high level of autonomy at work. We focus on substance, not form - as long as you can perform, you will be recognized and rewarded. We are also dedicated to supporting our staff and ensuring they develop holistically to maximize their potential in the long- term.

We also provide flexible working arrangement as required and a casual and fun environment to boot!",cloud engineer
2,IMPERVA SINGAPORE PTE. LTD.,Cloud Operations Engineer,"30 RAFFLES PLACE, 30 RAFFLES PLACE 048622",Full Time,Professional,4 years exp,Information Technology,"$10,000to$14,000",Monthly,6 applications,Closing on 13 Apr 2024,"About the role
Imperva’s Infrastructure and Cloud team is looking for a highly technical Site Reliability Engineer to drive innovation, scale, and create operational excellence for the Imperva globally distributed network. As an SRE in the ICO organization, you approach solving, supporting, and optimizing the infrastructure programmatically. You will work to improve the overall availability, reliability, performance, and security of the infrastructure for Imperva’s customers.
Responsibilities
Establish metrics for data-driven decisions to help increase availability, reliability, and velocity
Apply SRE core tenets of measurement (SLI/SLO/SLA), eliminate toil, and reliability modeling
Provide go/no go preplanning, verification/validation, and review of existing and new product/services
Proactively analyze data and test the integrity of systems to ensure production applications and services are operating optimally
Work with internal and external customers as needed to troubleshoot and resolve business affecting issues
Escalations, incident response, RCA, and blameless postmortem
Participate in 24x7 on-call rotation
Qualifications
5+ years of professional experience within a cloud/web/CDN scale infrastructure
Experience programming in any combination of Python, Go, C/C++, Rust
Expert-level knowledge of Linux systems, network programming and protocols TCP, UDP, DNS, TLS/SSL, HTTP
Experience with BGP and anycast routing is a plus
Experience with DevOps principles and concepts such as Infrastructure as Code (Ansible/Saltstack), CI/CD (Gitlab, Jenkins, Git), monitoring and visualization (Prometheus, Grafana)
Experience with big data technologies such as NoSQL/RDBMS, Redis, ElasticSearch, Kafka
Experience with containers and container management (Docker, Kubernetes) is a plus
Experience analyzing and building data telemetry, modeling, pipelines, UI visualization
Experience in developing software, troubleshooting, and monitoring large scale distributed systems
Implement modern software engineering best practices/standards and adhere/maintain software development life cycle
Working knowledge and experience of Agile software development methodologies
Outstanding collaboration and communication, and documentation skills with a proven ability to work cross-functionally to establish and meet OKRs
BS/MS in computer science, engineering, or a related technical discipline or equivalent experience
Our Company:
Imperva is the cybersecurity leader whose mission is to help organizations protect their data and all paths to it. Customers around the world trust Imperva to protect their applications, data and websites from cyber attacks. With an integrated approach combining edge, application security and data security, Imperva protects companies through all stages of their digital journey. Imperva Research Labs and our global intelligence community enable Imperva to stay ahead of the threat landscape and seamlessly integrate the latest security, privacy and compliance expertise into our solutions. Learn more on the Imperva website or company blog, and follow Imperva on LinkedIn and Twitter.


Benefits:
Imperva offers a competitive compensation package that includes base salary, medical, flexible time off and more. It’s an exciting time to work in cybersecurity. Learn about Imperva products and services at www.imperva.com and career opportunities at www.imperva.com/careers


Legal Notice:
Imperva is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, ancestry, pregnancy, age, sexual orientation, gender identity, marital status, protected veteran status, medical condition or disability, or any other characteristic protected by law.",cloud engineer
3,EBAY SINGAPORE SERVICES PRIVATE LIMITED,Sr. Cloud System Engineer,1 RAFFLES QUAY 048583,Full Time,Manager,4 years exp,Information Technology,"$18,000to$20,000",Monthly,43 applications,Closing on 03 Apr 2024,"Cloud System Engineer

Part 1: Responsibilities:
· Design and implement cloud-based solutions for contact center technologies.
· Work with cross-functional teams to ensure successful deployment and integrations.
· Develop and maintain documentation related to ebay Cloud solutions, specifically with the Genesys Cloud CX environment.
· Collaborate with other engineers and architects to ensure successful project delivery.
· Automate cloud operations, develop infrastructure automation scripts and participate in continuous improvement of each solution.
· Deploy and maintain contact center technologies on cloud platforms such as AWS, Azure, and Google Cloud.
· Troubleshoot and resolve issues related to the contact center technologies.
Part 2: Qualifications: (5-6 Bullet Points) Set expectations regarding experience & required skills to be successful for the role.
· Bachelor's degree in Computer Science, Information Technology, or a related field.
· 3+ years of experience in cloud computing and contact center technologies.
· Strong understanding of cloud platforms such as AWS, Azure, and Google Cloud.
· Experience with contact center technologies such as IVR, Digital & voice channels.
· Experience with cloud-based telephony solutions.
· Strong understanding of networking and security principles.
· Excellent problem-solving and troubleshooting skills.
· Strong communication and collaboration skills.
· Ability to work independently and as part of a team.",cloud engineer
4,PEOPLE PROFILERS (SERVICES) PTE. LTD.,Cloud Engineer,"PLUS, 20 CECIL STREET 049705","Contract, Permanent, Full Time",Professional,5 years exp,Information Technology,"$7,000to$14,000",Monthly,8 applications,Closing on 12 Apr 2024,"Key Responsibilities:
Responsible for generating scripts and templates required for the automatic provisioning of resources
Discover standard cloud services offerings, install, and execute processes and standards for optimal use of cloud service provider offerings.
Build scripts to integrate with the organization’s systems as a service offering.
Stay well-informed of failures and complications related to a cloud offering.
Responsible for debugging technical issues inside a complex stack involving virtualization, containers, microservices, etc.
Manage a complex cloud environment in accordance with company security guidelines
Requirements:
Mandatory - having expertise in deploying and managing IaaS & PaaS Infrastructure services on AWS, GCP & VMWare environments using Terraform, Cloud Formation, CDK (Cloud Development Kit) & Ansible
Hands on experience in Ansible tower as well as writing and deploying Ansible Playbooks
Relevant cloud certifications such as AWS Cloud Practitioner or Sys Ops .
MUST have experience on Singapore Government Cloud
Familiarity with containerization technologies such as Docker , Kubernetes Docker and EKS. And
Public cloud delivery know-how with AWS and/or Azure
Hands-on AWS experience with at least 2 implementation (preferred in an Enterprise scale environment)
Experience with core AWS platform architecture, including areas such as: Organizations, Account Design, VPC, Subnet, segmentation strategies.
Experience with Cloud native Backup and Disaster Recovery approach and design
Knowledge of DevOps and CI/CD pipeline (GitHub, Jenkins, Artifactory)
Familiar with Encryption, Logging, and Privacy/Security Protocols (e.g. TLS 1.2, ELK stack)
Familiar with one of the enterprise operating systems (Microsoft Windows Server (20012 & up) and/or RHEL 7, 8)

People Profilers Pte Ltd
DID: 6950 9738
http://www.peopleprofilers.com

Lim Yi Tian, Candy
EA License No. 02C4944
Registration No. R1109829",cloud engineer
5,WE-PLUS PTE. LTD.,Cloud Engineer,"HONG LEONG BUILDING, 16 RAFFLES QUAY 048581","Permanent, Full Time",Professional,5 years exp,Information Technology,"$6,000to$12,000",Monthly,13 applications,Closing on 27 Mar 2024,"Role Summary
As part of our clients’ transformation programs, we need to onboard our applications on IBM cloud by 2024.
Within the implementation team, the candidate will work with multiple teams, including Engineering, Infrastructure, and development teams.

Main Responsibilities
Build and maintain Ansible playbooks and terraform scripts to automate provisioning, configuration and deployments.
Work on containerization of legacy applications.
Assist & train other ops profiles on Ansible, Terraform and K8s.
Provisioning, Configuration, Deployment, DR.
Qualifications & Experience
Master’s Degree in Computer Science or Computer Engineering.
More than 5 years of experience in IT Operations or Software Engineering.
More than 2 years of hands-on experience with a Cloud Provider (IBM / AWS / Azure / Google).
More than 2 years of hands-on experience in Ansible / Docker.
Red Hat Enterprise Linux Automation with Ansible (RH294).
Certified Kubernetes Application Developer (CKAD).
Developing Adv. Automation with Red Hat Ansible Automation Platform (DO374).
Strong critical thinker with problem solving aptitude.
Good written and oral communication skills.
Strong knowledge of Linux platform and CLI.
Proficiency in at least one scripting language (Python and/or Bash preferred).
Good understanding of Continuous integration (Jenkins, Travis, Concourse, etc.).
Proficient in Kubernetes, Ansible & Terraform.
HashiCorp Certified: Terraform Associate (003) (Plus).
HashiCorp Certified: Vault Associate (002) (Plus).",cloud engineer
6,VISEO ASIA PTE. LTD.,Cloud Engineer,"PHILIPPINE AIRLINES BUILDING, 135 CECIL STREET 069536",Full Time,Executive,5 years exp,Information Technology,"$9,000to$12,000",Monthly,13 applications,Closing on 12 Apr 2024,"Responsibilities
As a member of the Cloud team, the candidate will:
Build and maintain Ansible playbooks and terraform scripts to automate provisioning, configuration and deployments
Work on containerization of legacy application
Assist & train other ops profiles on Ansible, Terraform and K8s
Provisioning, Configuration, Deployment, DR
Strong critical thinker with problem solving aptitude.
Good written and oral communication skills
Strong knowledge of Linux platform and CLI
Proficiency in at least one scripting language (Python and/or Bash preferred)
Good understanding of Continuous integration (Jenkins, Travis, Concourse, etc.)
Kubernetes, Ansible & Terraform
Profile
Bachelors Degree in computer science or computer engineering
5+ years of experience in IT Operations or Software Engineering
At least 2+ years of hands-on experience with a Cloud provider (IBM/AWS/Azure/Google)
At least 2+ years of hands-on experience Ansible/Docker
Red Hat Enterprise Linux Automation with Ansible (RH294)
Certified Kubernetes Application Developer (CKAD)
Developing Adv. Automation with Red Hat Ansible Automation Platform (DO374)
Optional: HashiCorp Certified: Terraform Associate (003)
Optional: HashiCorp Certified: Vault Associate (002",cloud engineer
7,TIANCHENG ELECTRICAL MARINE EQUIPMENT PTE. LTD.,CLOUD ENGINEER,9 TRACTOR ROAD 627970,Full Time,Executive,3 years exp,Others,"$3,500to$3,800",Monthly,7 applications,Closing on 18 Apr 2024,"Designing and deploying dynamically scalable and reliable applications on the cloud
Selecting the right cloud services to design and deploy an application based on given requirements
Migrating multi-tier applications on cloud platforms
Keeping costs to a minimum using cost-control strategies
Cloud Development
Cloud developers are responsible for analyzing customer requirements, coding, developing, and debugging of applications. The work they do is very similar to that of a software engineer, but with one big difference – the programs cloud developers create run on virtual systems.",cloud engineer
8,ANTAES ASIA PTE. LTD.,Cloud Engineer,"ONE MARINA BOULEVARD, 1 MARINA BOULEVARD 018989",Permanent,Senior Executive,5 years exp,"Engineering, Information Technology","$7,000to$12,000",Monthly,7 applications,Closing on 05 Apr 2024,"As part of the Implementation Team, the Cloud Engineer will be working with multiple teams, such as Engineering, Infrastructure and Development teams to onboard all Banking Applications will be onboarded on IBM cloud platform by this year.

Job Responsibilities:
As a member of the Cloud team, the Engineer will:
Build and maintain Ansible playbooks and terraform scripts to automate provisioning, configuration, and deployments
Work on containerization of legacy applications
Assist & train other ops profiles on Ansible, Terraform, and K8s
Provisioning, Configuration, Deployment, DR

Job Requirements:
Degree in computer science or computer engineering
At least 5 years of experience in IT Operations or Software Engineering
At least 2 years of hands-on experience with a Cloud provider (IBM/AWS/Azure/Google)
At least 2 years of hands-on experience Ansible/Docker
Red Hat Enterprise Linux Automation with Ansible (RH294)
Certified Kubernetes Application Developer(CKAD)
Developing Adv. Automation with Red Hat Ansible Automation Platform (DO374)
Strong knowledge of Linux platform and CLI
Proficiency in at least one scripting language (Python and/or Bash preferred)
Good understanding of Continuous integration (Jenkins, Travis, Concourse, etc.)
Kubernetes, Ansible & Terraform

Key Skillsets and Experience in:
Cloud, Kubernetes, Ansible, Terraform, Linux, Scripting, CLI",cloud engineer
9,LYNCHPIN MANAGEMENT SERVICES PTE. LTD.,Cloud Engineer,"ROYAL ONE PHILLIP, 1 PHILLIP STREET 048692",Full Time,Professional,5 years exp,"Engineering, Information Technology","$7,000to$14,000",Monthly,12 applications,Closing on 20 Apr 2024,"Responsibilities

As a Cloud Engineer at QCP, you will be responsible for the design, implementation, and maintenance of our AWS infrastructure. This position be within the Technology Operations team reporting to the Head of Technology. You will work closely with cross-functional teams to ensure the availability, scalability, and security of our cloud-based systems. The ideal candidate will have hands-on experience with AWS services, a strong understanding of cloud architecture best practices, and a passion for staying up-to-date with the latest cloud technologies.

AWS Infrastructure Management
Design, deploy, and maintain scalable and highly available AWS infrastructure.
Implement and manage AWS services such as ECS, EC2, S3, RDS, Lambda, Networking, and others as needed.
Design and test workload architectures to withstand failures and meet availability goals
Monitor and optimize resource utilization, performance, reliability, and costs.
Security and Compliance
Implement and enforce security best practices in the AWS environment (e.g. Service Control Policies, Landing Zone, Control Tower, etc.).
Conduct regular security assessments and audits to ensure compliance with industry and regulatory standards.
Collaborate with the security team to respond to and remediate security incidents.
Enhance cloud infrastructure and data protection in accordance with Well Architected Framework principles.
Automation
Develop and maintain infrastructure as code (IaC) using tools such as Terraform or CloudFormation.
The construct of company approved architectural design patterns for new cloud services that can be shared across projects and teams.
Implement automation scripts to streamline routine tasks and enhance operational efficiency.
Monitoring and Alerting
Set up and configure monitoring and alerting systems to ensure proactive identification and resolution of issues.
Respond to and resolve incidents, working with other teams as necessary.
Collaboration
Collaborate with development and production teams to ensure seamless integration of cloud services.
Provide technical guidance and support to team members and stakeholders.

Requirements
Bachelor's degree in Computer Science, Information Technology, or related field.
Proven experience as a Cloud Engineer with a focus on AWS.
AWS certifications an advantage. (e.g., AWS Certified Solutions Architect, AWS Certified DevOps Engineer)
Strong knowledge of cloud architecture best practices, security, and compliance.
Experience with infrastructure as code tools (Terraform, CloudFormation, CDK).
Proficiency in scripting languages (e.g., Python, Bash).
Familiarity with CI/CD pipelines and DevOps and/or DevSecOps practices.
Excellent problem-solving and communication skills.
The Environment We Offer

As a growing firm with a tightly-knit team, we respect and listen to all our employees. You will get the chance to make an impact by having your voice heard by everyone, including the management.

Our employees enjoy a high level of autonomy at work. We focus on substance, not form - as long as you can perform, you will be recognized and rewarded. We are also dedicated to supporting our staff and ensuring they develop holistically to maximize their potential in the long- term.

We also provide flexible working arrangement as required and a casual and fun environment to boot!",cloud engineer
