index,company_name,job_title,job_location,job_employment_type,job_seniority,job_experience_level,job_industry,job_salary_range,job_salary_frequency,job_post_start_date,job_post_close_date_list,job_description,original_job_title
0,HPC AI TECHNOLOGY PTE. LTD.,Senior AI system engineer,"Ascent, 01-08 2 Science Drive 118222",Full Time,Senior Executive,,Engineering,"$10,000to$18,000",Monthly,5 applications,Closing on 21 Apr 2024,"Responsibilities:
Develop distributed artificial intelligence systems and deploy them on large-scale clusters or clouds.
Develop and optimize algorithm systems from specific scenarios and problems, and produce solutions applied to the scenarios.
Participate in the integration design and optimization of artificial intelligence technology and existing tools to improve product performance.
Write high-quality scientific papers and have the opportunity to serve as the first author of important papers.
Requirements:
Proficient in TensorFlow/PyTorch, Ray/DeepSpeed/NVIDIA Megatron/Colossal-AI, and familiar with the internal operating mechanisms of these systems.
Familiar with various optimization algorithms and model architectures, proficient in Python or C++ optimization algorithm libraries, including various classical algorithms and models based on gradients (BERT, GPT-3, Swin Transformer, ViT, MLP-Mixer).
Familiar with SaaS, architecture, compilers, networks, CUDA, and other related knowledge or have relevant project experience.
Strong programming and engineering implementation abilities. Those who have won programming competition awards or published high-quality papers will be given priority in recruitment.
Bachelor's degree or above from 211, 985, or overseas well-known universities, majoring in computer science, software engineering, electronic information, automation, mathematics, physics, or other artificial intelligence-related majors.",AI Engineer
1,SERVITA PRIVATE LIMITED,AI / Machine Learning Engineer,Islandwide,Full Time,Senior Executive,5 years exp,"Consulting, Information Technology","$8,000to$16,000",Monthly,70 applications,Closing on 27 Mar 2024,"About the role: We are seeking a highly skilled AI/Machine Learning Engineer to join our Global Transformation Company. As an AI/Machine Learning Engineer, you will be responsible for developing and implementing algorithms and models to improve our healthcare services and patient outcomes. You will work closely with cross-functional teams including physicians, data scientists, and software engineers to identify areas of improvement and develop innovative solutions using artificial intelligence and machine learning techniques.
In this role, you will have the opportunity to make a significant impact on the healthcare industry by leveraging cutting-edge technologies. The ideal candidate is passionate about healthcare and has a strong background in AI and machine learning, with experience in applying these technologies to real-world problems.

Responsibilities:
· Develop and implement machine learning algorithms and models to analyze large volumes of healthcare data.
· Collaborate with cross-functional teams to identify business needs and design appropriate solutions.
· Enhance and optimize existing machine learning models to improve accuracy and efficiency.
· Conduct thorough data analysis and visualization to detect patterns and identify trends.
· Evaluate the performance of developed models and propose necessary improvements.
· Stay updated with the latest trends and advancements in the field of AI and machine learning.
· Collaborate with software engineers to integrate AI models into our healthcare systems.

Qualifications & Experience:
· Bachelor's degree in Computer Science, Data Science, or a related field; Master's or PhD preferred.
· Proven experience in developing and implementing machine learning algorithms and models.
· Strong knowledge of AI and machine learning frameworks and libraries.
· Proficient in programming languages such as Python, R, or Java.
· Experience with big data technologies and distributed computing frameworks, such as Hadoop or Spark.
· Solid understanding of data preprocessing, feature engineering, and data visualization techniques.
· Familiarity with healthcare data standards and privacy regulations (e.g., HIPAA).
· Excellent problem-solving and analytical skills.
· Strong verbal and written communication skills.
· Ability to work effectively in a cross-functional team environment.
· Previous experience in the healthcare industry is a plus.

Skills:
· Outstanding interpersonal and communication skills.
· Strong planning, organization, and time management skills.
· Deep understanding of clinical data validation, reporting, and analysis.
· Demonstrable success in stakeholder interactions, delivering aligned solutions.
· Familiarity with clinical environments and terminology.
· Strong values of integrity, commitment, and self-improvement.
· A methodical, thorough yet flexible approach.
· Process-driven mindset.",AI Engineer
2,HPC AI TECHNOLOGY PTE. LTD.,AI Engineer,"Ascent, 01-08 2 Science Park Drive 118222",Full Time,Fresh/entry level,,Engineering,"$7,000to$10,000",Monthly,9 applications,Closing on 21 Apr 2024,"Key Responsibilities:
Design and develop AI systems(i.e. training acceleration framework, inference speedup framework or integration of framework) that meet business requirements, including natural language processing, computer vision, machine learning, and deep learning algorithms.
Analyze and evaluate existing AI systems and propose improvements for increased performance, accuracy, and scalability.
Collaborate with cross-functional teams, including software engineers, data scientists, and product managers, to integrate AI solutions into existing products and services.
Stay up-to-date with the latest AI technologies and research, and evaluate their potential impact on our business and industry.
Ensure that all AI systems are secure, reliable, and scalable, and comply with regulatory requirements.
Develop and maintain documentation and user guides for AI systems.

Requirements:
Proficient in TensorFlow/PyTorch, Ray/DeepSpeed/NVIDIA Megatron/Colossal-AI, and familiar with the internal operating mechanisms of these systems.
Familiar with various optimization algorithms and model architectures, proficient in Python or C++ optimization algorithm libraries, including various classical algorithms and models based on gradients (BERT, GPT-3, Swin Transformer, ViT, MLP-Mixer).
Familiar with SaaS, architecture, compilers, networks, CUDA, and other related knowledge or relevant project experience.
Strong programming and engineering implementation abilities. Those who have won programming competition awards or published high-quality papers will be given priority in recruitment.
Bachelor's degree or above from 211, 985, or overseas well-known universities, majoring in computer science, software engineering, electronic information, automation, mathematics, physics, or other artificial intelligence-related majors.",AI Engineer
3,NATIONAL UNIVERSITY OF SINGAPORE,AI Engineer / Senior AI Engineer (Innovation) for AI Singapore,21 LOWER KENT RIDGE ROAD 119077,Full Time,Professional,2 years exp,Information Technology,"$4,500to$7,500",Monthly,2 applications,Closing on 04 Apr 2024,"Interested applicants are invited to apply directly at the NUS Career Portal.
Your application will be processes only if you apply via NUS Career Portal.

We regret that only shortlisted candidates will be notified.
Job Description
AI Singapore (AISG) is a national AI programme launched by the National Research Foundation (NRF) to anchor deep national capabilities in Artificial Intelligence (AI).

The programme office is hosted by the National University of Singapore (NUS) and brings together all Singapore-based research institutions and the vibrant ecosystem of AI start-ups and companies developing AI products to perform use-inspired research, grow the knowledge, create the tools, and develop the talent to power Singapore's AI efforts.

100 Experiments (100E) is AI Singapore’s flagship programme, set up to help companies solve their real-world business problems by building custom AI solutions consisting of machine learning and deep learning models, and end-to-end pipelines that are ready for deployment.

Our solutions cover computer vision, NLP and general ML, such as object detection for autonomous vehicles, question-answering AI for education chatbots, and fraud detection for insurance.

We are expanding our team to meet the growing demand for AI solutions and talent in the market. Since our inception in 2017, we have established a culture of respect, continuous learning, experimentation and curiosity. We highly encourage our staff to center their work around innovation. You will join a passionate group of people who are inspired by the opportunity to work on AI problems and be part of the team to lead the growth of the sector in Singapore.

Duties & Responsibilities
The AI Engineer (Innovation) plays the role of technical lead on an industry AI project, working with a team of apprentices to build the end-to-end AI solution for a client, while supported by a project manager and AI/MLOps heads.

This role is suitable for engineers who enjoy a mix of technical development, client interaction and being the lead of a small project team.
Assist our presales consultants to scope and define AI projects based on problem statements from clients, while applying design thinking practices.
Lead a group of 3-4 apprentices on the development of the AI solution, applying best practices in the following areas: solution design and planning, data requirements definition, exploratory data analysis, ML model training, experiment tracking, pipeline building, containerisation, deployment testing, code repository management, and technical documentation.
Mentor and coach apprentices who are learning to develop real-world AI solutions. Lead review/planning sessions and stand-ups.
Communicate and consult with client stakeholders throughout the development lifecycle, to ensure their requirements are translated accurately and our technical choices are bought into by them.
Keep abreast of and test emerging ideas in the areas of MLOps, robustness, fairness, explainability and security.
Assist to update technical training materials for AISG’s AI Apprenticeship Program, covering fundamentals in machine learning, deep learning and engineering. Be part of the team conducting the training and mentoring of batches of apprentices in their 8-week deep-skilling program.
Support AI Singapore’s industry and community-building activities by contributing to talks, article writing, and other outreach programmes.
Qualifications
Degree in a quantitative field is preferred.
At least 2 years of hands-on experience developing AI/ML solutions in a corporate or research setting. Solutions that have been deployed into production will be viewed favourably, especially if the candidate assisted in the integration and testing.
Solid understanding of machine learning/deep learning fundamentals. Able to appreciate and explain the mathematical workings of common algorithms for computer vision/NLP/tabular data.
Knowledge of techniques and developments in the area of Generative AI. Experience in building GenAI solutions is a plus.
Hands-on skills in Python-based AI/ML frameworks, specifically PyTorch, TensorFlow and scikit-learn, with a demonstrated ability to adhere to clean coding principles.
Experience working with software development tools such as Git and Docker. Prior exposure to Linux environments and CI/CD processes is an advantage. Familiarity with MLOps toolkits for productivity, tracking and reproducibility is a bonus.
Aptitude for data story-telling, visualisation and technical communications. Able to abstract and convey technical concepts to non-technical audiences well.
Team player with a keen interest in mentoring and collaborative problem-solving.
Self-learner with a strong sense of curiosity and attention to detail.
AI Singapore firmly believes in the ethical and responsible development of AI. Selected candidates are expected to adhere to these values and goals in the course of their work.

Candidates with more experience and higher qualifications will be considered for the position of Senior AI Engineer.",AI Engineer
4,PERSOLKELLY SINGAPORE PTE. LTD.,AI Engineer (C++) [ID: 597195],"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",Permanent,Senior Executive,4 years exp,Information Technology,"$7,000to$9,000",Monthly,7 applications,Closing on 25 Mar 2024,"Job Responsibilities:
Optimize and deploy AI models on mobile devices to improve the performance and response speed of AI applications.
Work closely with team members to analyse requirements, architecture design, and code implementation
Stay updated on the latest technological advancements in both the academic and industrial sector
Requirements
Bachelor's degree or above in IT
Proficient in C++ programming with solid foundation in data structures and algorithms
Familiar with AI model deployment & ARM architecture
Understanding of AI acceleration technologies and deep learning frameworks
Able to work independently to research problem and provide resolution.
Excellent teamwork and communication skills.
Able to read and write Chinese due to frequent communication with overseas counterparts.
Interested candidate who wish to apply for the advertised position, please click on “Apply Now”. We regret that only shortlisted candidates will be notified.

Job Code: YIHN
EA License NO.: 01C4394

By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its overseas subsidiaries and affiliates collecting, using and disclosing your personal data to prospective employers/companies based in any country for purposes of evaluating suitability for employment, conducting reference checks, administering employment related services and such other purposes stated in our privacy policy. Our full privacy policy is available at www.persolkelly.com.sg. If you wish to withdraw your consent, please drop us an email to let us know. Please feel free to contact us if you have any queries.",AI Engineer
5,MSD INTERNATIONAL GMBH (SINGAPORE BRANCH),AI Engineer,Islandwide,"Permanent, Full Time",Junior Executive,2 years exp,Information Technology,"$4,200to$7,500",Monthly,93 applications,Closing on 25 Mar 2024,"· Opportunity to be a part of an AI-HyperAutomation team in Singapore!
· Based in Singapore, the regional hub for Asia Pacific (AP) and top-ranked biopharmaceutical company on The Straits Times and Statista’s list of Best Employers in Singapore for three consecutive years (2020, 2021, 2022).
· Join the premier biopharmaceutical company that has been in Singapore for more than 25 years and in AP for over 60 years.
The AI engineer will be responsible for developing and implementing AI solutions that can enhance the functionality and performance of the product. The person will be collaborating with product managers, designers, and other team members to understand the product requirements and implement AI algorithms that enhance the product's functionality.

Primary Responsibilities
· Developing and testing AI models and algorithms that enhance the product's functionality and improve the user experience.
· Collaborating with other engineers and stakeholders to ensure that AI-driven features are aligned with the product vision and strategy.
· Including automation of data processing pipelines and deploying models into production
· Staying up-to-date with the latest developments in AI and machine learning technology and applying them to the product's needs.
· Participating in code reviews and collaborating with other team members to ensure high-quality code and system architecture.

Education Minimum Requirement:
· We evaluate candidates on a case-by case basis but appreciate qualifications in quantitative, scientific and technology disciplines such as Mathematics, Statistics, Computer Science, Data Science, Analytics, Physics, and Bioinformatics.

Required Experience and Skills:
· Candidate should be proficient in programming languages like Python, and have experience with data structures and algorithms.
· Candidate should have a deep understanding of machine learning algorithms such as supervised and unsupervised learning, neural networks and deep learning. They should have hands-on experience working with popular tools and frameworks like TensorFlow, PyTorch or Scikit-learn.
· Candidate should be able to conduct research, stay updated with the latest advancements in AI and related fields and implement innovative solutions accordingly.
· Knowledge of modern computer vision and/or natural language processing (NLP) techniques and methodologies would be highly advantageous
· Experience in model deployment and pipeline orchestration in a private cloud environment
· Experience in web application development and/or product prototyping is a plus

We are proud to be a company that embraces the value of bringing diverse, talented, and committed people together. The fastest way to breakthrough innovation is when diverse ideas come together in an inclusive environment. We encourage our colleagues to respectfully challenge one another’s thinking and approach problems collectively. We are an equal opportunity employer, committed to fostering an inclusive and diverse workplace.",AI Engineer
6,LAWNET TECHNOLOGY SERVICES PTE. LTD.,Senior AI Solutions Architect,"THE ADELPHI, 1 COLEMAN STREET 179803","Contract, Full Time",Middle Management,5 years exp,Information Technology,"$6,800to$11,000",Monthly,6 applications,Closing on 21 Apr 2024,"We are seeking an experienced technical manager to lead our engineering team. This team is responsible for the development of LTS AI products and management and optimisation of the platform supporting these developments. The role entails leading an engineering team towards the ongoing design, development and deployment of custom Large Language Models and the design and development of AI products that leverage these models.

Responsibilities
Develop and direct a high performing AI engineering team towards the deployment of scalable and reliable AI products for the legal sector.
Design and deploy end-to-end solutions to support the reliable service of the AI products to end-users.
Set, justify and present technical direction that is adaptable to continually evolving technological landscape.
Collaborate closely with stakeholders, including senior management, senior legal professionals, academics, as well as other engineering teams within the local AI ecosystem.
Coach engineering team to ensure their professional growth and technological development.
Skills and Qualifications
Bachelor's or Master's degree in Computer Science, Artificial Intelligence, Machine Learning, or related field.
Over 5 years of experience working as part of an AI/ML engineering team in a production environment, with at least 2 years in a leadership capacity.
Proficiency in Python and AI/ML frameworks (e.g. PyTorch, Tensor Flow).
Demonstrated experience in designing and developing scalable backend architectures.
Familiarity with natural language data processing techniques, tools and libraries.
Experience with containerization (Docker) and familiarity with orchestration techniques (Kubernetes).
Experience deploying solutions on cloud platforms, preferably with cloud certification.
Deep understanding and interest in LLM specific techniques, such as fine-tuning, prompt, engineering, LLM testing, and development of evaluation metrics, quantisation, PEFT.
Excellent communication skills for conveying technical concepts to non-technical stakeholders.",AI Engineer
7,HENDRICKS CORP. PTE. LTD.,Senior AI Engineer,"LINK@AMK, 3 ANG MO KIO STREET 62 569139",Full Time,Senior Executive,4 years exp,Information Technology,"$6,000to$8,000",Monthly,21 applications,Closing on 07 Apr 2024,"Hendricks Corp Pte Ltd is one of the leaders in Video Analytics that provide a range of solutions for multiple clients coming from Government, Security, Entertainment, Hospitality, etc.

We are looking for candidates to fulfil a role in AI Team as Engineer/ Senior Engineer. He/ She will be part of a dynamic team involved in deploying state-of-the-art computer vision, machine-learning and big data analytics solutions.
He / She will be managing a group of AI engineer and working closely with Product Manager, and report directly to VP of Technology/Application.
WHAT YOU WILL BE WORKING ON
Ensure timely delivery of projects within the committed schedule and budget ensuring project issues are timely resolved or escalated to management for attention.
Provide regular update to the lead engineer and lead project manager on the project progress highlighting project milestones, issues and track project expenditure.
Effectively engage and manage all relevant stakeholders to deliver systems.
Identify, manage project risks and implications to the project and to recommend mitigating measures.
Understand the various prevailing policies and security guidelines and to ensure the system and processes are designed to comply with these policies and guidelines.
Ensure proper integration and testing of all hardware and software components so the system is delivered according to contractual requirements.
Depending on candidate’s suitability, he/ she can be tasked with one or more of the following secondary accountabilities:
Build data ingesting and processing pipelines to collect, clean, harmonise, merge and consolidate data sources to be used for analysis, machine learning and visualisation purposes.
Ensure data quality.
Collaborate with various teams to understand needs to build scalable and data-driven products and assist with data-related technical issues.
Participate in the application of machine learning/AI techniques to various problem statements.
Ability to simplify ideas, present and engage stake holders and senior management.
Keep abreast of technological advances in Big Data Technologies, Computer Vision and government policies & recommendations, etc.
WHAT WE ARE LOOKING FOR
Tertiary qualification in computer science, electrical engineering, information systems, data science, mathematics, statistics, or other quantitative/ analytical fields. Applicants with postgraduate qualifications and/or more than 5 years of experience working in the relevant technology domains will be considered for senior positions.
Good project management skills
Proficiency in the following:
Software Development / Engineering
Operating in agile, SCRUM product development environments.
Machine Learning and Artificial intelligence
Computer Vision and Video Analytics
Proficient in ML/AI scripting languages (Python, R)
Knowledge and experience on SaaS development is a plus
He / She has
Good critical thinking, data analysis and problem-solving skills
Good written and verbal communication skills
Good interpersonal and stakeholder management skills
Ability to work under tight timelines.",AI Engineer
8,HYUNDAI MOTOR GROUP INNOVATION CENTER IN SINGAPORE PTE. LTD.,Artificial Intelligence (AI) Engineer,2 BULIM LINK 649674,Permanent,Professional,2 years exp,Sciences / Laboratory / R&D,"$6,000to$12,000",Monthly,70 applications,Closing on 14 Apr 2024,"Overview
This position is responsible for the rapid development and deployment of high-performing AI and Data Science models suitable for advanced manufacturing of electric vehicles.
Responsibilities
Rapidly develop, deploy, and enhance high-performing and purpose-fit Visual Inspection algorithms, including Anomaly Detection, Object Detection, and Image Classification.
Advance Human Understanding algorithms, encompassing (2D/3D) Human Pose estimation, Behavior classification, and Person Re-identification.
Apply cutting-edge Multimodal and LLM Models to Information Retrieval and Question-Answering tasks.
Take ownership of the complete data life-cycle for AI and Data Science algorithms: from creation/extraction and transformation to annotation, loading, storage, update, and deletion.
Participate actively in cross-functional Agile projects, contributing to the collaborative development and integration of AI solutions.
Requirements
Bachelor's or Master's degree in Computer Science, Electrical Engineering, Industrial Engineering, or equivalent practical experience.
At least 2 years of working experience in Artificial Intelligence, Machine Learning, Computer Vision, Statistics, Data Analytics, or Data Science is preferred.
Hands-on experience in the following areas: Anomaly Detection, (2D/3D) Human Pose estimation, Behavior classification, Abnormal behavior detection, Online/Continual Learning, Multimodal/LLM Models, or other related fields of AI/Machine Learning.
Understanding of state-of-the-art theories in AI/Machine Learning.
Skills/experience with one or more programming languages, including Python, C++, or Java.
Expertise in deep learning frameworks, including PyTorch or TensorFlow.
Experience in Agile methods and design thinking is an advantage.
Experience in MLOps is an advantage.",AI Engineer
9,MSD INTERNATIONAL GMBH (SINGAPORE BRANCH),AI / ML Engineer,Islandwide,"Permanent, Full Time",Executive,2 years exp,Information Technology,"$5,500to$8,500",Monthly,58 applications,Closing on 28 Mar 2024,"AI/ML Engineer
Based in Singapore, the regional hub for Asia Pacific (AP) and top-ranked biopharmaceutical company on the Straits Times and Statista’s list of Best Employers in Singapore for two consecutive years (2020, 2021).
Join the premier biopharmaceutical company that has been in Singapore for more than 25 years and in AP for over 60 years.
WHAT YOU WILL DO
Responsibilities include, but are not limited to:
Hands-on development of language models for AI systems
Actively engage in all aspects of model development, from ideation and experimentation to deployment.
Conduct feasibility studies for use-cases by exploring application of large language models (GPT, LLaMa, BERT etc.) and other NLP technologies
Deliver AI projects, products and platforms focussed on NLP
Proactively scan and keep up to date with the AI vendors landscape
Assist in technical training and mentoring of colleagues
Participate in internal professional communities of practice and raise AI maturity within the company
WHAT YOU MUST HAVE
To be successful in this role, you will have:
In-depth experience in Machine Learning, with a particular emphasis on Large Language Models (LLMs) and Generative AI.
Hands-on code development experience and familiarity with the python scientific computing stacks
Knowledge of Natural Language Processing techniques and models across syntax and semantics as well as usage of common NLP libraries (NLTK,Spacy)
Understanding of artificial intelligence research landscape in Natural Language Processing and ability to review research publications
Ability to communicate and express technical viewpoints to senior stakeholders with succinctness and clarity
Knowledge of transformer-based models and experience with deep learning frameworks such as TensorFlow, Pytorch etc would be a plus
Familiarity with developing and deploying within a cloud based infrastructure and services environment a plus
Domain knowledge in pharmaceutical business areas such as research, clinical, manufacturing, commercial and corporate functions highly regarded
We are proud to be a company that embraces the value of bringing diverse, talented, and committed people together. The fastest way to breakthrough innovation is when diverse ideas come together in an inclusive environment. We encourage our colleagues to respectfully challenge one another’s thinking and approach problems collectively. We are an equal opportunity employer, committed to fostering an inclusive and diverse workplace",AI Engineer
