index,company_name,job_title,job_location,job_employment_type,job_seniority,job_experience_level,job_industry,job_salary_range,job_salary_frequency,job_post_start_date,job_post_close_date_list,job_description,original_job_title
0,UBS AG,Software Engineer,9 PENANG ROAD 238459,Full Time,Professional,8 years exp,"Banking and Finance, Information Technology","$8,000to$14,000",Monthly,16 applications,Closing on 20 Apr 2024,"Your role
passionate to resolve business problems with innovative ideas and best engineering practices
collaborate with cross-location pod’s/scrum teams to ship new features
learn and demonstrate in-depth knowledge, industry standard, and expertise throughout the entire SDLC
best-in-class mindset to design, develop, maintain and support strategic software
exhibit sound judgement under pressure in handling time-critical situations
accept new challenges and strive for continuous improvements in overall application performance and platform stability
Your team
You’ll be working with the Document Creation and Distribution Crew and will work in the platform POD providing solutions for the Global platform
Your expertise
ideally 8+ years of experience in software development
strong experience with Java 8, Web Services (REST, SOAP), XML
experience with Spring Framework, Spring Boot
experience with messaging middleware such as Kafka
strong knowledge of Cloud principles and techniques such as Microservices-based architecture/development, RESTful API development, container-based software deployment, Test Driven Development, Strong Unit and integration testing skill, Spring Boot
experience with Event Driven Architecture is a plus
ldap/AD experience is a plus
applied solutions to cater for non-functional requirements including stability, capacity and scalability and manageability",software engineer
1,IHS MARKIT ASIA PTE. LTD.,Software Engineer,"MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",Permanent,Professional,5 years exp,"Banking and Finance, Information Technology","$5,000to$9,000",Monthly,14 applications,Closing on 05 Apr 2024,"The team
You will be working in the Capptivate Solutions Development Team with a small team globally. The team of around 10 developers work in a cooperative and supportive manner to deliver changes to our regulatory reporting platform. Team members are never stuck – all team members can take part in all aspects of software development.
The Impact
Are you fascinated by software? Do you enjoy solving problems and finding new solutions. We’re looking for a Software Engineer, within the Global Regulatory Reporting Solutions Division to:
Deliver new clients onto our GRRS platform
Investigate and solve defects
Work on regulatory changes affecting the platform
What’s in it for you
You will be joining a friendly team of experienced, intelligent, and helpful technology experts. The team follow the best development practices and are constantly growing.
You will work in an agile development environment, using AWS Cloud and CI/CD methodologies
Remote working as the default
Supportive culture in the team
Work hours limited to within Singapore Standard Time (SGT/GMT +8)
Responsibilities
Implement bridging code to onboard clients onto an existing product base
Follow-the-sun workflow when necessary
Problem solving – whether it be debugging or design
Team player – you will be communicating with non-developers such as business analysts, support personnel, sales, etc.
What we’re looking for
You will work with tools and technologies that will involve having the following qualities (you don’t need experience with all of these!):
BSc in Computer Science or equivalent degree
Experience in Java / C# / .net core
Experience with cloud framework (AWS is an advantage)
Experience with source/version control (git/Bitbucket preferred)
Experience with CI/CD processes
Clean code and quality oriented
Great communicator and strong interpersonal abilities
What To Expect In The Interviews
Programming exercises and brainstorming (whiteboard and computer)
Sharing and discussions about development experiences you’ve had
Design and other technical exercises",software engineer
2,UBS AG,Software Engineer,9 PENANG ROAD 238459,Full Time,Professional,8 years exp,"Banking and Finance, Information Technology","$6,000to$12,000",Monthly,10 applications,Closing on 20 Apr 2024,"Your role
passionate to resolve business problems with innovative ideas and best engineering practices
collaborate with cross-location pod’s/scrum teams to ship new features
learn and demonstrate in-depth knowledge, industry standard, and expertise throughout the entire SDLC
best-in-class mindset to design, develop, maintain and support strategic software
exhibit sound judgement under pressure in handling time-critical situations
accept new challenges and strive for continuous improvements in overall application performance and platform stability
Your team
You’ll be working with the Document Creation and Distribution Crew and will work in the platform POD providing solutions for the Global platform
Your expertise
ideally 8+ years of experience in software development
strong experience with Java 8, Web Services (REST, SOAP), XML
experience with Spring Framework, Spring Boot
experience with messaging middleware such as Kafka
strong knowledge of Cloud principles and techniques such as Microservices-based architecture/development, RESTful API development, container-based software deployment, Test Driven Development, Strong Unit and integration testing skill, Spring Boot
experience with Event Driven Architecture is a plus
ldap/AD experience is a plus
applied solutions to cater for non-functional requirements including stability, capacity and scalability and manageability",software engineer
3,FCS CAREERS PTE. LTD.,Software Engineer,"ARC 380, 380 JALAN BESAR 209000","Permanent, Full Time",Senior Executive,3 years exp,Information Technology,"$5,000to$8,500",Monthly,5 applications,Closing on 21 Apr 2024,"About the Company
Our Client is a leader in geospatial technologies, serving customers across industries from commercial to government sectors.

Responsibilities
We’re looking for a highly engaged, solution-centric Software Engineer to deliver impactful geospatial solutions to achieve positive client outcomes.
Understand and analyse customer’s challenges and requirements;
Work with team members to identify solutions for complex problems faced by customers;
Design and develop applications that leverage on geospatial technologies;
Propose innovative designs that are empathetic and create a good user experience;
Identify areas for professional growth, receive training and attain relevant certification;
Participate in an agile team to continually improve the quality of solutions to customers.

Requirements
Degree in Computer Science, Mathematics, Geographical Information Systems, or any relevant discipline;
At least 3 years of experience full-stack application development, with strong front-end focus;
Proficiency in JavaScript and its frameworks would be an advantage;
Proficiency in Geographical Information Systems (GIS) technologies would be an advantage;
Analytical and problem-solving skills;
Creativity, innovation and a passion for designing user-centric and effective solutions;
Excellent communication skills to articulate solutions for complex problems;
Ability to work in a fast-paced environment with multiple deadlines.

Employment Details
Career advancement opportunities;
Good learning & development opportunities.

Get in touch with us
If you’d like to explore this opportunity, please reach out to Charmaine Tan (Regn No. R1102130) at charmaine@fcs-careers.com for a confidential discussion.

FCS CAREERS PTE LTD (EA 94C4359)

Data Protection Notice: By submitting any application or resume to us, you acknowledge that you have read, understood, and agreed to our Data Protection Policy (www.fcs-careers.com/about/data-protection), and that you consent to the collection, use and/or disclosure of your personal data by us for the purposes set out in the Policy. You may withdraw consent or make an access or correction request in respect of your personal data, however, depending on the nature or scope of such request, we may not be able to continue providing services to you. For any request, enquiry, or feedback, please contact our Data Protection Officer (dpo@fcs-careers.com).",software engineer
4,XCELLINK PTE. LTD.,Software Engineer,Islandwide,Full Time,Professional,3 years exp,Information Technology,"$7,000to$11,000",Monthly,17 applications,Closing on 21 Apr 2024,"Job Description
Work with a dynamic and innovative financial services firm that thrives on pushing the boundaries of technology to optimize trading strategies and deliver exceptional results. With a commitment to excellence, we are seeking a talented C# Developer to join our passionate team and contribute to the success of our cutting-edge projects.

As part of this team, you will:
Develop new features for the tooling and trading strategies
Design new components within a distributed architecture based on microservices (CQRS, messaging)
Participate in the evolution of the internal tools (configuration management, service frameworks, monitoring and continuous deployment systems, etc.)
Collaborate with colleagues based in Paris
Develop open-source projects

Job Requirements:
Passionate developer who is motivated to join a team where technical expertise is recognise and where goood practices are the norm
Regularly monitor technology and is ready to discover a cutting-edge functional environment
C# and .NET experience of at least 3 years",software engineer
5,THALES SOLUTIONS ASIA PTE. LTD.,Software Engineer,"THALES BUILDING, 12 AYER RAJAH CRESCENT 139941",Full Time,Professional,3 years exp,Information Technology,"$5,500to$8,000",Monthly,4 applications,Closing on 21 Apr 2024,"OVERVIEW

We’re inventing the future, right here, right now, at Thales. We design the critical security solutions of tomorrow by combining the curiosity to explore, the intelligence to question and the vision to create. Together we solve complicated problems by combining our experience in the market with our leading research and development capabilities.
Be part of revolutionising our skies for the future of aerospace. A future where all modes of aircrafts piloted or unpiloted, civilian or military move around our skies safer, more efficiently and sustainably for a greener and more harmonised airspace.

OUR CULTURE: YOUR GROWTH AND DEVELOPMENT

§ Joining Thales means joining a worldwide and well establish company (85 000 headcounts and growing) and navigate your career in the vast different path available
§ Joining our program is joining an environment where you can discover engineering best practices to deliver safety critical systems
§ Joining the software community and our pillars around Agile and DevSecOps, means being on the critical path of our business challenges, and therefore upskilling our talent is a priority

The story of your journey in this role

You will be a member of the software squad which maintains LORADS3, the current ATM system used operationally by the Civil Aviation Authority of Singapore. As such, you will be supporting the program by analysing/fixing PCRs. Additionally, you will be tasked to robustify given test frameworks.
Immediate opportunities to upskill and learn the domain & life cycle of an ATM in operation will be provided via a learning mission to our AMS Headquarters in Melbourne, AUS for a duration of 6-8 weeks. Here you will be guided in a structured regimen of theoretical and practical learning, with the goal of returning to Singapore as an immediate contributor.

KEY ACTIVITIES AND RESPONSIBILITIES
As a Software Engineer, you are accountable for:
· Designing and delivering software to meet requirements including architecture, design, reuse, development, integration and verification.
· Defining and tailoring the software engineering environment and the process, practices and tools applicable to the project.
· Ensuring that the designed solution is developed according to design, schedule, cost and quality expectations.
· Identifying risks, and proposing effective solutions; executing mitigation actions and reporting on outcomes and residual risks.

KEY KNOWLEDGE AND EXPERIENCE
To be successful in your role, you will have demonstrated and/or acquired the following knowledge and experience:
Qualifications
Relevant bachelor’s degree or Master Degree

Technical skills
§ Must-have
ü Language: working knowledge of Java Core, Junit.
ü IDE/CICD Tools: GIT, Bitbucket, Jenkins, Eclipse, JIRA
ü Knowledge of formal software engineering process throughout lifecycle
§ writing & reviewing design, requirements, tests and code
ü Agile methodology: Scrum
ü Devops culture and CICD methodologies

§ Nice-to-have
ü Language: any others like ADA, C++
ü Air Traffic Management domain knowledge
ü Experience in software development in a safety-critical environment

Interpersonal skills
ü Sense of ownership
ü Team player
ü verbal and non-verbal communication,
ü listening skills,
ü problem solving,
ü decision-making,
ü assertiveness,
ü patience,
ü empathy",software engineer
6,UFINITY PTE LTD,Software Engineer,21 UBI ROAD 1 408724,"Permanent, Full Time",Senior Executive,2 years exp,Information Technology,"$4,800to$6,000",Monthly,8 applications,Closing on 20 Apr 2024,"Role Responsibilities

Do you have a strong passion for writing good, maintainable and robust code? Join us and be part of the family that believes in good software design, delivering quality well tested solutions. Help establish Ufinity as the trusted partner by constantly achieving a pinnacle of excellence in our ideas, solutions and services.

As a Software Engineer with Ufinity, you will have the opportunity to help shape and deliver a quality solution to our clients. Your broad responsibilities will include:
Joint software design and development;
Testing and ensuring quality in the development lifecycle process; and
Support and operate the software in the operational environment.
The ideal candidate possesses skills that will allow him/her to deliver the quality software which represents Ufinity’s brand within the client’s environment as well as a technical background that enables him/her to easily pickup and adapt to new technologies and contribute to the team. He/she should also have a demonstrated ability to think beyond just programming so that he/she can progress to lead a team or project in the future.

Requirements:

Possess at least a Bachelor’s Degree, Post Graduate Diploma, of Professional Degree in Computer Science / Information Technology, Engineering (Computer / Telecommunication) or equivalent with at least 2 years of relevant experience

Those with more years of experience will be considered for a Senior Software Engineer role.

Required skills:
· Java, Spring
· HTML, CSS, Javascript
· Unit/Integration tests
· SQL
· Proficiency in javascript (ES2015 and above)
· Other skills: Spring Batch, Jasper
Good to have:
Angular, AWS Cloud, Agile Scrum experience.",software engineer
7,KRONOS SOFTWARE TECHNOLOGY SINGAPORE PTE. LTD.,Senior Software Engineer,Islandwide,Full Time,Senior Executive,3 years exp,Information Technology,"$12,000to$20,000",Monthly,28 applications,Closing on 03 Apr 2024,"Responsibilities
Lead design of major software components, systems, and features
Design, develop, test, deploy, maintain and improve our core libraries
Redesign our existing software architecture to improve efficiency and scalability, as well as reducing time effort and potential for errors on future development
Leverage advanced algorithms and data structures to improve the speed and accuracy of our tick by tick backtesting research platform
Interact directly with traders to communicate technology changes, manage incidents and troubleshoot problems
Contribute to technical discussions, code reviews and internal sharing
Mentor and train other team members on design techniques and coding standards
Requirements
Bachelor’s or Master’s degree in Computer Science or related field
Sr: 5+ /Staff: 8+ years of strong *hands-on* programming experience using C++14 (not C-style C++) in linux environment
Hands on technical leadership experience leading software engineers and setting technical direction
Strong understanding of computer systems, multithreading, networks, and performance optimization
Experience architecting and developing large-scale software systems
Strong written communication skills and intermediate English skills
Passion and curiosity for quant trading and cryptocurrency markets",software engineer
8,AVENSYS CONSULTING PTE. LTD.,Software Engineer,"VERTEX, 33 UBI AVENUE 3 408868",Full Time,Senior Executive,7 years exp,Information Technology,"$7,500to$11,000",Monthly,1 application,Closing on 21 Apr 2024,"Avensys is a reputed global IT professional services company headquartered in Singapore. Our service spectrum includes enterprise solution consulting, business intelligence, business process automation and managed services. Given our decade of success, we have evolved to become one of the top trusted providers in Singapore and service a client base across banking and financial services, insurance, information technology, healthcare, retail and supply chain.

We are currently looking for Java Microservices Developer with experience who has proven track record in IT Industry. This is an exciting opportunity to expand your skill set, achieve job satisfaction and work-life balance. More details as below.

Responsibilities:
Design and develop microservices using Java related technologies.
Collaborate with cross-functional teams to identify and implement new products and improve the existing systems in our microservices architecture
Develop and maintain documentation of the microservices architecture, including design patterns, best practices and coding standards.
Debug, troubleshoot and provide production support for microservices based applications
Implement automated testing and continuous integration/continuous deployment (CI/CD) processes to ensure quality and efficiency in the development cycle.
Mentor and guide junior developers on microservices architecture, design patterns and best practices.
Provide 2nd Line support for deployment in production.

Requirements:
Bachelor’s degree in Computer Science or a related field.
5+ years of experience in Java development.
Drrols experience is a must
Experience in developing and deploying microservices architectures using Spring Boot, Spring Batch, Spring Data or similar frameworks.
Strong knowledge of RESTful web services and related technologies such as JSON, Swagger and XML
Experience in containerization technologies – Docker, Kubernetes.
Experience in Message oriented Middleware(MoM) technologies – MQ and Kafka
Experience in implementing Enterprise Integration Patterns (EIP)
Excellent problem solving and analytical skills
Strong communication and collaboration skills
Ability to work independently and as part of a team

WHAT’S ON OFFER
You will be remunerated with an excellent base salary and entitled to attractive company benefits. Additionally, you will get the opportunity to enjoy a fun and collaborative work environment, alongside a strong career progression.
To submit your application, please apply online or email your UPDATED CV in Microsoft Word format to anamika@aven-sys.com Your interest will be treated with strict confidentiality.

CONSULTANT DETAILS:
Consultant Name : Anamika Mukerji
Avensys Consulting Pte Ltd
EA Licence 12C5759

Privacy Statement:
We take your personal data protection seriously and adhere to both EU and local data protction regulations.
Upon submission of your CV, you grant Avensys Consulting permission to retain your personal information in our electronic database, unless you specify otherwise. This data will be used to evaluate your suitability for current and potential job openings within our organization. Should you wish to have your personal data removed at any point, a simple notification to us will suffice.
Rest assured, we will not disclose your personal information to any third parties, and we remain steadfast in our commitment to providing equal opportunities to all applicants.",software engineer
9,MUSARUBRA SINGAPORE PTE. LTD.,Senior Staff Software Engineer,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Senior Executive,12 years exp,Engineering,"$15,000to$20,000",Monthly,Posted 18 Mar 2024,Closing on 08 Apr 2024,"About Trellix (www.trellix.com)
Trellix is a global company redefining the future of cybersecurity. The company’s open and native extended detection and response (XDR) platform helps organizations confronted by today’s most advanced threats gain confidence in the protection and resilience of their operations. Trellix’s security experts, along with an extensive partner ecosystem, accelerate technology innovation through machine learning and automation to empower over 40,000 business and government customers.
Emerged from McAfee’s Enterprise business in July 2021, when Symphony Technology Group a leading Menlo Park-based private equity firm focused on the software, data, and analytics sectors acquired it. The brand “Trellix” was launched in January 2022.
The name “Trellix” is coined from the word trellis, a strong and safe framework to support growth of climbing plants and trees. Just like how we support our customers growth through living security. Always learning. Always adapting.

Summary
Has strong understanding of how the product relates to overall Trellix's business.
Anticipates business needs and impact on future work.
Possesses comprehensive understanding of competitor’s products.
Works closely with PMs and engineering leadership
Understands the impact of global trends on the organizations plans and growth.
Leads, directs and implements operational activities, initiatives and programs with notable risk and complexity; develops the strategy for program execution.
Understands overall value proposition of Trellix product/product lines as they relate to clients' needs and how the overall performance of products (both from a technical and revenue standpoint) drive and impact Trellix’s overall business strategy.
Successfully champions new initiatives within and beyond the scope of own job.
Solve complex design problems, troubleshoot complex customer escalations, deployment issues
Promotes strong relationships across business units and functions to ensure alignment within matrix environment.
Consistently balances impact of decisions on areas of responsibility with companywide policy.
Collaborate and contribute towards new and unique ideas getting productised, innovative ideas filed for IDF/Patents, White Papers.
End to end product
Engages with PMs & Engineering leadership to define business value of work items
Evangelizes the business value to younger engineers
Active engagement on decision making process around complex scenarios by presenting ideas, seeking different views and lead the decision making process keeping customer needs and business objectives in mind.
Influencing internal networks and subject matter experts to drive results for various-sized projects
Network with stakeholders beyond own function and engage them on topics of wider functional impact.
Company Benefits and Perks:
We work hard to embrace diversity and inclusion and encourage everyone to bring their authentic selves to work every day. We offer a variety of social programs, flexible work hours and family-friendly benefits to all of our employees.
Medical, Dental and Vision Coverage
Paid Time Off
Paid Parental Leave
Support for Community Involvement
We're serious about our commitment to diversity which is why we prohibit discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status.",software engineer
