index,company_name,job_title,job_location,job_employment_type,job_seniority,job_experience_level,job_industry,job_salary_range,job_salary_frequency,job_post_start_date,job_post_close_date_list,job_description,original_job_title
0,TIKTOK PTE. LTD.,Site Reliability Engineer - Monetization Technology,1 RAFFLES QUAY 048583,Full Time,Professional,5 years exp,Information Technology,"$11,000to$22,000",Monthly,7 applications,Closing on 19 Apr 2024,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.
Join us.

About the team
The monetization technology team works on building and running large-scale, globally distributed, fault-tolerant ads systems. SREs keep the systems up and running with the highest level of availability, ensuring our users have the best experience possible.

Responsibilities
- Engage in and improve the whole lifecycle of Ads systems — from system design consulting through to launch reviews, deployment, operation and refinement.
- Build availability of services deployed across multiple data centers globally.
- Deliver tools/software to improve the reliability, scalability and operability of services.
- Measure and monitor availability, latency and overall service health.
- Practice sustainable incident response and postmortems.
- Participate in on-call rotations across continents.

Qualifications
- Minimum 5 years of experience in related field
- Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.
- Expertise in Unix/Linux operating systems, IP networking.
- Experience programming in at least one of the following programming languages: C, C++, Java, Python, Perl, or Go.
- Experience in problem solving, application issues, or production operations.
- Experience in automating routine tasks.
- Effective communication skills and a sense of ownership and drive.

Preferred Qualifications
- Experience in SRE of Ads/recommendation systems.
- Experience designing, analyzing and troubleshooting large-scale distributed systems.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",site reliability engineer
1,QUEST GLOBAL SERVICES PTE. LTD.,Site Reliability Engineer,Islandwide,"Contract, Full Time",Professional,3 years exp,Information Technology,"$5,500to$9,500",Monthly,0 application,Closing on 20 Apr 2024,"Description:
Looking for an experienced individual joining our Site Reliability Engineer team. The individual will support production monitoring and is expected to be hands-on using technology.

Job Requirements:
Java Experience (2+ years) or equivalent level of coding knowledge
Python/Shell Scripting (2+ years) or data analysing experience with Python
Bachelor’s degree in computer science or equivalent experience
Experience in production support and monitoring tools (2 + years)
Experience in Linux (2+ years)
AWS/AliCloud experience (2+ years)",site reliability engineer
2,GECO ASIA PTE. LTD.,SAP Cloud Platform: Site Reliability Engineer,Islandwide,Contract,Professional,8 years exp,Information Technology,"$9,000to$14,000",Monthly,2 applications,Closing on 21 Apr 2024,"We are looking for SAP could engineer, who can manage the site reliability activiities. More details as mentione below
Bachelor's or Master's degree in Computer Science, Information Technology, or a related field.
8 years of experience working as a Site Reliability Engineer or similar role, with a focus on SAP Cloud Platform technologies.
Proficiency in SAP Cloud Platform services, including SAP Cloud Foundry, SAP HANA, SAP Fiori, and SAP Mobile Services.
Hands-on experience with containerization and orchestration technologies such as Docker and Kubernetes.
Strong scripting skills in Python, Bash, or similar languages for automation and tooling development.
Knowledge of monitoring and observability tools such as Prometheus, Grafana, and SAP Cloud ALM.
Familiarity with DevOps principles and practices, including CI/CD pipelines, infrastructure-as-code, and version control systems (e.g., Git).
Excellent analytical and problem-solving skills, with the ability to troubleshoot complex technical issues in cloud-based environments.
Effective communication and collaboration skills, with the ability to work closely with cross-functional teams in a fast-paced Agile environment.
**We regret that only short-listed applicants will be contacted.**
GECO Asia values the data privacy rights of our customers, associates, partners and prospective applicants. We have a privacy policy that governs our collection and use of personal data in place. In conjunction with the PDPA act in Singapore, we have updated our Privacy Policy and Terms of Use to better clarify our collection and use of your personal information. The same can be found here (https://www.geco.asia/about/privacy-policy)
Note: GECO Asia is an Information Technology Consulting Services provider. We provide specialist IT and Digital Transformation specialist resources on a project (SOW) and/or permanent basis. We operate under a Comprehensive License offered by Ministry of Manpower, Singapore.
[GECO Asia Pte Ltd, Licence No. 07C4453]
[2 Venture Drive, #10-18, Vision Exchange, Singapore 608526]",site reliability engineer
3,AVATAR TECHNO SERVICES PTE. LTD.,Site Reliability Engineer,"TUNG ANN ASSOCIATION BUILDING, 141 CECIL STREET 069541",Contract,Middle Management,3 years exp,Information Technology,"$5,000to$8,000",Monthly,2 applications,Closing on 19 Apr 2024,"Key Responsibilities:
• Provide timely and effective technical support for application-related incidents and service requests.
• Troubleshoot and resolve application issues, both independently and in collaboration with development teams.
• Monitor application performance, identify bottlenecks, and implement performance enhancements.
• Conduct root cause analysis for recurring issues and implement preventive measures.
• Collaborate with internal stakeholders to gather requirements and provide recommendations for application improvements.
• Maintain documentation related to application configurations, troubleshooting procedures, and known issues.
• Participate in application deployment and release management activities.
• Stay updated with industry trends and emerging technologies to drive continuous improvement in application support processes.
• Support UAT and Interface Testing

Requirements:
• Minimum 3 years relevant experience
• Strong technical knowledge and experience in supporting enterprise-level applications.
• Proficiency in troubleshooting application issues, performing log analysis, and using monitoring tools.
• Experience with databases and SQL query language.
• Familiarity with software development life cycle (SDLC) and ITIL principles.
• Excellent problem-solving and analytical skills.
• Effective communication and collaboration abilities.
• Ability to work under pressure and prioritize tasks in a fast-paced environment.
• Occasionally required to work late hours (to support application deployment) and weekends (to support UAT)

Preferred Skillset
• Java – can read • Oracle Database • MySQL Database • Jira • Excel • Hosting Platform, include but not limited to, Tomcat, JBoss, IBM Websphere/ Weblogic",site reliability engineer
4,GECO ASIA PTE. LTD.,Site Reliability Engineer for Application Platform,Islandwide,Contract,Professional,8 years exp,Information Technology,"$9,000to$13,000",Monthly,1 application,Closing on 21 Apr 2024,"support, deployment of application
on-call monitor troubleshoot @ location
Familiar with splunk for monitoring indents, java for context
Familiar with Kubernetes, ansible
8-10 years experience
Background in application deployment / maintenance of app.
background in using CI tools such as Jenkins
background on Kubernetes / container orchestration
Used splunk for monitoring / troubleshooting issues – must be able to build queries or dashboard for monitoring application metrics.
Understand networking layer, DNS
understand the routing logic for handling request between client machine backend server, things like WAF / GSLB
Does automation using python/ bash scripts
background in Java
background in ansible for orchestration of tasks
**We regret that only short-listed applicants will be contacted.**

GECO Asia values the data privacy rights of our customers, associates, partners and prospective applicants. We have a privacy policy that governs our collection and use of personal data in place. In conjunction with the PDPA act in Singapore, we have updated our Privacy Policy and Terms of Use to better clarify our collection and use of your personal information. The same can be found here (https://www.geco.asia/about/privacy-policy)
Note: GECO Asia is an Information Technology Consulting Services provider. We provide specialist IT and Digital Transformation specialist resources on a project (SOW) and/or permanent basis. We operate under a Comprehensive License offered by Ministry of Manpower, Singapore.

[GECO Asia Pte Ltd, Licence No. 07C4453]
[2 Venture Drive, #10-18, Vision Exchange, Singapore 608526]",site reliability engineer
5,"JPMORGAN CHASE BANK, N.A.","Site Reliability Engineer III, Infrastructure Platforms",Islandwide,"Permanent, Full Time",Executive,5 years exp,"Banking and Finance, Information Technology","$8,000to$16,000",Monthly,5 applications,Closing on 03 Apr 2024,"There’s nothing more exciting than being at the center of a rapidly growing field in technology and applying your skillsets to drive innovation and modernize the world's most complex and mission-critical systems.

As a Site Reliability Engineer III at JPMorgan Chase within the Infrastructure Platforms (IP) team, you will solve complex and broad business problems with simple and straightforward solutions. Through code and cloud infrastructure, you will configure, maintain, monitor, and optimize applications and their associated infrastructure to independently decompose and iteratively improve on existing solutions. You are a significant contributor to your team by sharing your knowledge of end-to-end operations, availability, reliability, and scalability of your application or platform.

Job responsibilities
• Guides and assists others in the areas of building appropriate level designs and gaining consensus from peers where appropriate
• Collaborates with other software engineers and teams to design and implement deployment approaches using automated continuous integration and continuous delivery pipelines
• Implements infrastructure, configuration, and network as code for the applications and platforms in your remit
• Collaborates with technical experts, key stakeholders, and team members to resolve complex problems
• Understands service level indicators and utilizes service level objectives to proactively resolve issues before they impact customers
• Improve aspects of network products related to reliability related nonfunctional requirements such as logging, monitoring, observability, performance, scalability, capacity, resiliency, etc.
• Perform research and discovery on industry tools and lead build versus buy
• Collaborate with other network and software engineering teams to automate processes, reduce toil and modernize operations
• Participate in on-call rotation as an escalation contact for production issues
• Turn theory into practice, navigate through ambiguity to build a plan
• Accomplish common goals using SCRUM practices

Required qualifications, capabilities, and skills
• Bachelor’s degree in computer science or related fields
• Minimally 5 years of site reliability engineering or related experience
• Ability to contribute to large and collaborative teams by presenting information in a logical and timely manner with compelling language and limited supervision
• Ability to proactively recognize road blocks and demonstrates interest in learning technology that facilitates innovation
• Experience in observability such as white and black box monitoring, service level objective alerting, and telemetry collection using tools such as Grafana, Dynatrace, Prometheus, Datadog, Splunk, and others
• Familiarity with troubleshooting common networking technologies and issues
• Experience with one or more application performance management technologies (AppDynamics, Dynatrace, Riverbed SteelCentral, Prometheus)
• Ability to initiate and implement ideas to solve business problems
• Experience with continuous integration and continuous delivery tools like Jenkins, GitLab, or Terraform
• Experience triaging and diagnosing issues in complex distributed architectures leveraging infrastructure and application telemetry
• Experience with one or more infrastructure automation technologies (Ansible, Terraform, Puppet, building APIs and services using REST, SOAP, etc.)

Preferred qualifications, capabilities, and skills
• Certifications in networking are a plus

To apply for this position, please use the following URL:
https://ars2.equest.com/?response_id=caea1c13b29e975ceb5cdd622b826603",site reliability engineer
6,SHELL INFOTECH PTE. LTD.,Site Reliability Engineer,"CT HUB, 2 KALLANG AVENUE 339407","Contract, Full Time",Professional,3 years exp,Information Technology,"$4,000to$7,000",Monthly,0 application,Closing on 18 Apr 2024,"Diploma in IT/Computing or related certification
Minimum 3 years relevant experience
Strong technical knowledge and experience in supporting enterprise-level applications.
Proficiency in troubleshooting application issues, performing log analysis, and using monitoring tools.
Experience with databases and SQL query language.
Familiarity with software development life cycle (SDLC) and ITIL principles.
Excellent problem-solving and analytical skills.
Effective communication and collaboration abilities.
Ability to work under pressure and prioritize tasks in a fast-paced environment.
Occasionally required to work late hours (to support application deployment) and weekends (to support UAT).
Excellent communication and organizational skills.",site reliability engineer
7,LXA PTE. LTD.,Senior Site Reliability Engineer,121 TELOK AYER STREET 068590,"Permanent, Full Time",Professional,5 years exp,Information Technology,"$10,000to$16,000",Monthly,6 applications,Closing on 02 Apr 2024,"About the Role
We are seeking a Senior Site Reliability Engineer responsible for building and operating world-class mortgage technology platform to support our E2E mortgage origination and asset management. Their functional responsibilities include:
Build and operate a world-class, proprietary mortgage technology platform suited to support institutional capital providers. Core elements of the platform include:
- Sophisticated workflow orchestration coordinating mortgage loan-level activities across a wide variety of stakeholders with different needs and requirements
- Transparent and systematic rules engine to guide loan decisioning in compliance with regulatory requirements and investor credit overlays
- Digital experience for borrowers in a manner consistent with a best-in-class consumer experience for financial products
- Highly secured data management to safeguard deep customer financial data profiles that accompany any mortgage process
- World-class investor platform for capital providers to manage their investment portfolios
Partner with industry mortgage professionals and stakeholders to ensure technology builds and operations are value accretive and aligned to overall business objectives
Support technology infrastructure and service delivery to internal and external stakeholders
Requirements
Experienced engineer who has worked at major leading technology companies and can bring to bear their best practices and institutional learnings
First-principles thinker who is able to think deeply about what is required and how best to accomplish that with our resources
Strong team player with values alignment on integrity, critical thinking, and a “roll-up your sleeves” attitude to get things done
Experience working with enterprise technology with preferences in
- Fintech and highly regulated environment
- Loan origination systems and/or sophisticated workflow management systems to support operations
- Asset management platforms
Experience working with distributed systems, service-oriented architecture, and event-driven architecture
Experience building and operating modern application services in the cloud, e.g. GCP, AWS:
- Experience with distributed virtualized/containerized environments (e.g. Kubernetes, Docker, VM, etc.)
- Experience with cloud networking (e.g. VPC, Load Balancers, DNS, network connectivity & peering, etc.)
- Experience with open-source server and middleware technologies (e.g. Nginx, Kafka, etc)
- Experience with database technologies (e.g. PostgreSQL, MySQL)
- Experience with web and cloud security (e.g. SSL/TLS, OAuth, SSO, IAM, encryption, firewall, etc.)
-Experience with Serverless technologies
Experience programming in one or more languages (e.g., Typescript, JavaScript, Golang, Python, etc.).
Experience in applying SRE best practices for building and operating reliable and secure software, such as
- Excellent understanding of SLO, SLI, SLA, and error budget
- Experience with automation, infrastructure as code, orchestration, and CI/CD
- Experience with monitoring and observability technologies
-Experience with secure coding practices in the design and implementation of working software, such as OWASP, OpenSSF
Experience with industry compliance and security standards, e.g. MAS TRM, SOC 1, SOC 2, PCI DSS, ISO 27001, GDPR",site reliability engineer
8,ALTROCKS TECH PTE. LTD.,Site Reliability Engineer,"LINK@AMK, 3 ANG MO KIO STREET 62 569139",Full Time,Executive,3 years exp,Information Technology,"$6,000to$10,000",Monthly,3 applications,Closing on 18 Apr 2024,"Key Responsibilities:

• Provide timely and effective technical support for application-related incidents and service requests.
• Troubleshoot and resolve application issues, both independently and in collaboration with development teams.
• Monitor application performance, identify bottlenecks, and implement performance enhancements.
• Conduct root cause analysis for recurring issues and implement preventive measures.
• Collaborate with internal stakeholders to gather requirements and provide recommendations for application improvements.
• Maintain documentation related to application configurations, troubleshooting procedures, and known issues.
• Participate in application deployment and release management activities.
• Support UAT and Interface Testing

Requirements:

• Minimum 3 years relevant experience
• Strong technical knowledge and experience in supporting enterprise-level applications.
• Proficiency in troubleshooting application issues, performing log analysis, and using monitoring tools.
• Experience with databases and SQL query language.
• Familiarity with software development life cycle (SDLC) and ITIL principles.
• Occasionally required to work late hours (to support application deployment) and weekends (to support UAT)

Preferred Skillset
• Java – can read
• Oracle Database
• MySQL Database
• Jira
• Excel
• Hosting Platform, include but not limited to, Tomcat, JBoss, IBM Websphere/ Weblogic)",site reliability engineer
9,ERP21 PTE LTD,Site Reliability Engineer (Enterprise Level Applications),Islandwide,"Contract, Full Time",Professional,3 years exp,"Consulting, Engineering, Information Technology, Professional Services, Telecommunications","$4,000to$6,000",Monthly,0 application,Closing on 21 Apr 2024,"Key Responsibilities:
Provide timely and effective technical support for application-related incidents and service requests.
Troubleshoot and resolve application issues, both independently and in collaboration with development teams.
Monitor application performance, identify bottlenecks, and implement performance enhancements.
Conduct root cause analysis for recurring issues and implement preventive measures.
Collaborate with internal stakeholders to gather requirements and provide recommendations for application improvements.
Maintain documentation related to application configurations, troubleshooting procedures, and known issues.
Participate in application deployment and release management activities.
Stay updated with industry trends and emerging technologies to drive continuous improvement in application support processes.
Support UAT and Interface Testing.

Preferred Skillset
Java – can read
Oracle Database
MySQL Database
Jira
Excel
Hosting Platform, includes but not limited to, Tomcat, JBoss, IBM Websphere/Weblogic

Requirements:
Must be Singapore Citizen.
Minimum 3 years relevant experience
Strong technical knowledge and experience in supporting enterprise-level applications.
Proficiency in troubleshooting application issues, performing log analysis, and using monitoring tools.
Experience with databases and SQL query language.
Familiarity with software development life cycle (SDLC) and ITIL principles.
Excellent problem-solving and analytical skills.
Effective communication and collaboration abilities.
Ability to work under pressure and prioritize tasks in a fast-paced environment.
Occasionally required to work late hours (to support application deployment) and weekends (to support UAT)",site reliability engineer
