index,company_name,job_title,job_location,job_employment_type,job_seniority,job_experience_level,job_industry,job_salary_range,job_salary_frequency,job_post_start_date,job_post_close_date_list,job_description,original_job_title
0,APPLIED MATERIALS SOUTH EAST ASIA PTE. LTD.,Process Support Engineer,"APPLIED MATERIALS BUILDING, 8 UPPER CHANGI ROAD NORTH 506906","Permanent, Full Time",Executive,2 years exp,Engineering,"$3,700to$7,400",Monthly,14 applications,Closing on 20 Apr 2024,"Job Description
Key Responsibilities
Provides highly visible customer support through the performance of on-site installation, as well as overseeing any necessary diagnoses, troubleshooting, service, and repair of complex equipment and systems.
When necessary, works closely with customer to optimize tool performance to meet customer process and integration requirements.
Checks and approves operational quality of system equipment. Instructs customers in the operation and maintenance of the system.
Knowledge of 2 or more processes on 1 or more technologies
Requirements
Bachelor of Engineering with minimum years of experiences/ internship experiences
Have interest and basic understanding in semiconductor industry and semiconductor chip-making processes
Strong in stakeholder and customer management
This role requires you to work at customer site daily (either North or East)",support engineer
1,THALES SOLUTIONS ASIA PTE. LTD.,Support Engineer,"THALES BUILDING, 12 AYER RAJAH CRESCENT 139941","Permanent, Full Time",Professional,3 years exp,Information Technology,"$4,000to$8,000",Monthly,7 applications,Closing on 18 Apr 2024,"Responsibilities:
Support the customer through phone, meetings, ticketing system
Test, optimize and write out procedures for the team
Work closely with other departments through Slack, meetings and ticketing systems
Send out communications about upcoming releases, maintenance, downtimes
Work out feature requests in detail, understand what the customer wants and needs
Translate technical lingo into normal language
Be part of the 24/7 team one week every 5-10 weeks
Incident/change/problem management
Write out RCAs
Understand Java, Angular, Swift, XML, CSS, …
Logically and analytically assess issues
Be aware of new changes, existing bugs, known issues throughout our product
Keep yourself up to date about internal processes like release and deployment management
Prioritize workload in function of ticket severity and SLAs
Deliver second line support and tackle the advanced issues
Requirements:
Experienced in a similar support role in a software development company
Bachelor’s degree in informatics or computer science or equivalent through experience
Experience with the Jira/Confluence/Bitbucket/… suite
ITIL knowledge
Working experience of Linux, Java, Angular, XML, APIs, REST, and more
Others:
A rotating schedule of 3 days work, 3 days off will be required.
12 Hour shifts starting from 8am to 8pm Singapore time
Domestic and/or international travel will be required to support customers on site.
3 weeks training in Belgium to start
Willing to travel 3 times a year for 1-2 weeks to Belgium to synchronize with a remote team",support engineer
2,ST ENGINEERING MISSION SOFTWARE & SERVICES PTE. LTD.,Helpdesk Support Engineer,"ST ENGINEERING HUB, 1 ANG MO KIO ELECTRONICS PARK ROAD 567710",Full Time,Junior Executive,1 year exp,Information Technology,"$3,000to$4,400",Monthly,6 applications,Closing on 21 Apr 2024,"Responsibilities:
Standardize and develop necessary guidance, process and procedures to continuously improve incidents management, escalation and system monitoring.
Responsible in tracking all incidents and service request /change requests logged by users in line with the agreed SLAs
Providing level 1 technical support and helpdesk email enquiries to external users and proactively identify and manage potential problems and address enquiries to meet client satisfactions.
Be an escalation point for all the requests and issue resolution
Establish ITIL best practices through the entire service desk support processes.
Work effectively and closely with Ops-Leads and Service Delivery Manager and carry out ad hoc IT operation assignments and tasks arise from projects or day-to-day operation.
Requirements:
Familiar with MS365 esp. Word, Excel and Outlook
Service oriented personnel that can handle high-pressure environment",support engineer
3,LUXOFT INFORMATION TECHNOLOGY (SINGAPORE) PTE. LTD.,Application support Engineer,1 DEPOT CLOSE 109841,"Permanent, Full Time",Professional,2 years exp,Information Technology,"$5,000to$6,000",Monthly,1 application,Closing on 21 Apr 2024,"Mandatory Skills Description:
At least 2 years of working experience in L2 Application Support Environment

Core technical competency required:
• Linux; Unix Shell Scripting
• SQL (MYSQL/MSSQL)
• Java/Web-based
• OpenShift/Docker

Nice-to-Have Skills:
Good to have experience:
• AngularJS • ActiveMQ • Elastic Search • Application Monitoring Tools • CI/CD (Continuous Integration & Continuous Deployment) • Python • Microservices concept
• Experience in application implementation projects in financial institutions would be advantageous
• Strong analytical and problem-solving skills
• Ability to perform impact analysis in a structured manner
• Good verbal & written communication skills
• Proactive and able to work independently and under pressure • With a keen interest in providing high service quality and familiar with the demand of a 24x7 support environment",support engineer
4,INDEX CAREER CONSULTANTS PTE. LTD.,Lead Desktop Support Engineer,Islandwide,Contract,Professional,5 years exp,Information Technology,"$4,000to$9,000",Monthly,3 applications,Closing on 21 Apr 2024,"Job Responsibilities:
Deliver superior End User Experience while ensuring a managed, secure End User environment
Support various LOB users through direct end user support or through projects that deliver changes to the end user environment
Assist Service Delivery Team in keeping desktops in compliance with Bank standards Work with LOB to identify and proactively manage applications to ensure a well maintained and managed end user environment
Handle end-to-end Desktop refresh and replacement initiative and timely removal of Not Permitted Technology
Handle user questions, incidents and requests. Tracking, measuring, and escalating as appropriate
Adhere to industry and corporate standards and best practices while maintaining a high level of efficiency
Assist with patching and upgrading end user devices
Address quality and schedule conflicts
Availability for ad-hoc work after hours and on weekends where necessary
Ability to work in a high-pressure, fast moving environment
Job Requirements:
At least 5 years’ experience in all phases of desktop operating system support, implementation, and maintenance, preferably in the financial sector
Knowledge/Experience in Asset Disposal Processes
At least 3 years’ experience on trading floor experience with Bloomberg, Reuters & trading platforms
Knowledge of desktop operating system and infrastructure required to implement and support enterprise deployments
Knowledge of Desktop Services security and access standards and practices
Basic understating of networking and server technologies
Proficient in supporting a Windows 10 desktop environment & Microsoft suit of applications",support engineer
5,ALPHAEUS PTE. LTD.,Support Engineer,"THE OCTAGON, 105 CECIL STREET 069534",Permanent,Senior Executive,3 years exp,"Engineering, Information Technology","$5,000to$6,500",Monthly,6 applications,Closing on 17 Apr 2024,"We are representing our client (A Software Engineering Firm) to look for IT Support Engineer to complement their existing team. The IT engineer is responsible for day to day operation of Premise Exchange and O365 services. Ensuring high-availability and uninterrupted 24/7 messaging services for the company. He will reports to the Messaging and Mobility Manager.

Responsibilities
Day-to-day Microsoft on-prem Exchange, Exchange Online, Intune, Boardpaper (Sharepoint) and SMTP email operational support to internal customers covering all Servers, Backup and Mail Relays
Daily monitoring and acting on alerts.
Provide support to BoardPaper and BOD
Provide second level end user support/managing ticket queue.
Support regular upgrade and security patching of the servers, appliance, equipment and application
Prepare monthly report and statistics.
Conduct regular upgrade and security patching of the servers, appliance and equipment
Support Projects such as Migration and Intune Deployment.
Requirements
Degree in Computer Science, Information Technology Management, Computer Engineering or equivalent qualifications.
Good working knowledge of Exchange 2016 and O365
Good working knowledge of MDM Intune.
Experience with working directly with vendors on new features and roadmaps.
Ability to identify / prioritize tasks and work independently without micromanagement.
Excellent written and interpersonal communication and documentation skills.",support engineer
6,LMA RECRUITMENT SINGAPORE PTE. LTD.,Oracle HR Support Engineer,"CAPITAL TOWER, 168 ROBINSON ROAD 068912",Contract,Junior Executive,3 years exp,Information Technology,"$5,000to$6,000",Monthly,0 application,Closing on 21 Apr 2024,"Oracle HR Support Engineer
Skillset
Technically competent in Oracle EBS Core HR, Self Service HR, Absence Management, Approval Management Engine, Talent Management and Compensation Modules
Technically competent in Unix/Linux, Oracle PL/SQL, WebLogic, Java J2EE, Oracle SSO
Roles/Responsibilities
Responsible to provide BAU support for responsible for ensuring system availability and provide support for applications like Core HR, Self Service HR, Leave Management, Talent Management, Compensation Modules and other ERP financial modules.
Responsible to provide operational support and ensure SLI of system availability, online and batch deliverables.
Support diverse jurisdictions comprising of SG, MY, CN, International
Fine tune applications and systems for high performance and higher volume throughput
Contribute to business requirement review for technical implementation as a subject matter expert for IT to ensure SDLC standards are met.
Conduct review of technical and functional solutions from enhancement/project team to ensure they conform to IT standards.
Respond on time to the queries raised by various business units.
Provide timely updates regarding production status and progress of issue resolution.
Perform impact analysis of enhancements/projects that will impact supported systems.
Participate in Disaster Recovery and Business Continuity exercises.
Provide on-call support and afterhours/weekend support as needed, covering application support and application change deployment.
Have a quality mind-set with prevention attitude to attain zero defects
Able to support SIT/UAT/PROD/DR deployment, with DevOps
Able to support relevant software/platform/database upgrade for the systems
Interested applicants, please email your CV in Microsoft Words format to Febrianto, email Febrianto@lmarecruitment.asia.
Your interest will be treated in strict confidence.
Company Reg No.: 201131609D | License No.: 11C4684 | Febrianto",support engineer
7,DATA CONNECT TECHNOLOGIES PTE. LTD.,IT Support Engineer,"VERTEX, 33 UBI AVENUE 3 408868",Full Time,Junior Executive,2 years exp,Information Technology,"$3,000to$4,000",Monthly,30 applications,Closing on 21 Apr 2024,"Primary Job Responsibilities
•Perform installation and maintenance of the IT infrastructure (Hardware and Software) includingremote troubleshooting
•Provide customer with timely, professional, efficient and effective technical expertise on systemsupport, cloud support, enterprise IT solutions (Virtualization, Server and SAN storage), systeminstallation, configurations and provide onsite technical support for designated clients andlocations.
•Support of replacement and upgrade for computer & server equipment.•Installation and support of technical software and tools.
•Manage project delivery base on project requirement and customer expectation.
•Explore on new technology and solution which include system, network, security, voice,backup, disaster recovery and etc to improve solution design and delivery.
•Create and maintain comprehensive documentation.
•Other ad-hoc duties as and when assigned by the manager.

Job Requirements
•Night Shift
•Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, ComputerScience/Information Technology, Engineering (Computer/Telecommunication) or equivalent.
•At least 2 year(s) of working experience in the related field is required for this position
•Good Knowledge of Microsoft windows operating systems
•Preferably with experiences of Office 365 administration
•Experience of Domain environment & MS Exchange
•Experience of Virtualization environment (Hyper-V and VMware)
•Proven analytical and troubleshooting abilities
•Excellent customer management skill",support engineer
8,EATON ELECTRIC (SINGAPORE) PTE. LTD.,Software Support Engineer,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Permanent,Executive,5 years exp,Engineering,"$6,000to$10,500",Monthly,8 applications,Closing on 19 Apr 2024,"If you desire to be part of something special, to be part of a successful and winning team, read on. We are looking forward to Software Support Engineer in Eaton Electrical based in Singapore.

Job Summary

The primary responsibilities of this position include providing technical escalation support and timely solutions to external and internal Customers for Eaton's Brightlayer software platform (DCIM, EPMS) .
This role will also provide onsite Field Service software technical support and deployment within EA Region.
This person is responsible to develop and build technical expertise among Field Service Engineers for our software offerings service business. He/She will take the lead, in consultation with Factory R&D team to build our field services teams with right competencies and improve our customer experience. Additionally, they will help in the planning, project management, deployment and installation of Eaton’s software portfolio, namely DCIM, EPMS and our Cybersecurity offerings.

Your essential responsibilities:

· Works closely with Software Sales Team and execution of escalation procedures via phone calls and emails, including after office hours in support of escalations; Escalations are primarily refer as “post-sales technical support” including, but not limited to, DCIM software, EPMS software, firmware (where applicable) and other Eaton related equipment where the software is a core component.
· Assists the Software Project Managers and takes the technical lead on software installation and deployments, documents all aspects as necessary and publishes on Share Point / Eaton Technical Web/ Service Bulletin for companywide reference.
· Identifies opportunities for improvement of field procedures, and feedback/correction on related service manual content.
· Assists all countries in EA Region to review service procedures include installation and deployment / rework preparedness, execution and knowledge transfer of all issues/resolutions that are encountered for a predetermined time production period.
· Assumes role as the point of escalation for Software support, EA Region via phone or e-mail on emergency call from Eaton Level 1 Software Support team
· Develops and coordinates site testing plans for issues escalated to identifying root cause of problems.
· Participates in troubleshooting, escalation and technical conference calls where data analysis and action plan development are required.
· Participates in the delivery of field services within EA Countries, approximately 20% the time in supporting and mentoring Customer Service Engineers
· Assumes the role of technical leader during field escalations of service calls in normal business hours and after office on call basis.
· Assumes the role of “Standby On Call” when alert or pre-warning for an immediate response on evening and weekend technical support escalation calls where technical service is required. This include responsibility to on-site field service support for critical installed base in Singapore and execute fast recovery for key account customers when complexity fault situation is reported.
· To be committed & responsible for Quality Management System

If you are:
· Associate degree in a technical field from an accredited school and/or 3 years of equivalent experience in an equivalent technical field.
· Minimum 4 years of software related experience
· Strong working knowledge of TCP/IP networks, basic programming languages
· Open to IT Infra experience.
· Experience with BMS related or data center operational software preferred, but not essential
· Experience with software and hardware security installations preferred, but not essential
· Experience with programing languages and Linux would be looked favourably upon

If you meet most of the criteria above, you’re the one we’re looking for. We hope to hear from you!
*We make what matters work.
Making what matters work at Eaton takes the passion of every employee around the world. We create an environment where creativity, invention and discovery become reality, each and every day.
It’s where bold, bright professionals like you can reach your full potential - and where you can help us reach ours. Need more about Eaton? Come on in @ www.eaton.com.",support engineer
9,ANTAS PTE. LTD.,Data warehouse Support Engineer (EDW),"ODEON 331, 331 NORTH BRIDGE ROAD 188720","Contract, Full Time",Professional,5 years exp,Information Technology,"$8,500to$10,000",Monthly,5 applications,Closing on 05 Apr 2024,"POSITION OVERVIEW : Datawarehouse Support Engineer (EDW)

POSITION GENERAL DUTIES AND TASKS :
The support specialist will be a techno functional support team member for the Enterprise Datawarehouse (EDW) under IT BAU team.

He/she is responsible for ensuring system availability and timely deliverables for datamarts for various business unit like Finance, regulatory, Campaign.

The support specialist, as the analyst expert within the IT team, will be the support staff who needs to closely co-ordinate and work with various team like Tech Infra, application services, solutioning, project and business units in the bank. He/she follows up to resolve issues reported by users and performs impact analysis related projects/enhancements that will impact the EDW.



Roles/Responsibilities

- Responsible to provide BAU support for Enterprise Datawarehouse

- Responsible to provide operational support and ensure SLI of system availability, batch deliverables

- Respond on time to the queries raised by various business units

- Provide timely updates regarding production status and progress of issue resolution

- Fine tune applications and systems for high performance and higher volume throughput

- Conduct review of technical and functional solutions from enhancement/project team to ensure they conform to IT standards

- Perform impact analysis of enhancements/projects that will impact supported systems

- Identify the underlying problems, analyse the root causes, provide possible solutions/fixes, and respond to users within SLA

- Support relevant software/platform/database upgrade for the systems

- Work with delivery team for smooth transition from projects/enhancements to BAU Mode

- Incident, problem, and service outage management experience

- Participate in Disaster Recovery and Business Continuity exercises

- Able to support relevant software/platform/database upgrade for the systems

- Server Performance, capacity, utilization monitoring and Health monitoring

- Collaborate with diverse cross functional teams within IT and Business to Independently drive outcomes

- At least 3+ years of relevant experience in banking/financial services industry

- Experience with Teradata FSLDM and data mapping

- Hands-on technologist, strong in SQL, UNIX and Teradata tools and technologies

- Experience in designing high throughput fault tolerant data pipelines for Batch (ETL/ELT)

- Experience in GL Data reconciliation between systems, datamarts & report and Knowledge of the ledger balance reporting is an added advantage

- Experience in Performance Tuning on Teradata or other MPP data pipeline

- Hands On Experience within the Hadoop Tool Sets Hive, Hue, Spark, Kafka is a plus",support engineer
