No,Title,Link,Tags,Acceptance,Difficulty,Frequency
535,Encode and Decode TinyURL,https://leetcode.com/problems/encode-and-decode-tinyurl/description/,[Hash Table][String][Design][Hash Function],86.3%,Medium,0
1658,Minimum Operations to Reduce X to Zero,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/description/,[Array][Hash Table][Binary Search][Sliding Window][Prefix Sum],39.7%,Medium,0
458,Poor Pigs,https://leetcode.com/problems/poor-pigs/description/,[Math][Dynamic Programming][Combinatorics],59.9%,Hard,0
1705,Maximum Number of Eaten Apples,https://leetcode.com/problems/maximum-number-of-eaten-apples/description/,[Array][Greedy][Heap (Priority Queue)],38.8%,Medium,0
356,Line Reflection,https://leetcode.com/problems/line-reflection/description/,[Array][Hash Table][Math],35.4%,Medium,0
823,Binary Trees With Factors,https://leetcode.com/problems/binary-trees-with-factors/description/,[Array][Hash Table][Dynamic Programming][Sorting],52.9%,Medium,0
1282,Group the People Given the Group Size They Belong To,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to/description/,[Array][Hash Table],87.6%,Medium,0
279,Perfect Squares,https://leetcode.com/problems/perfect-squares/description/,[Math][Dynamic Programming][Breadth-First Search],54.7%,Medium,0
1758,Minimum Changes To Make Alternating Binary String,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string/description/,[String],64.0%,Easy,0
2667,Create Hello World Function,https://leetcode.com/problems/create-hello-world-function/description/,,80.9%,Easy,0
1,Two Sum,https://leetcode.com/problems/two-sum/description/,[Array][Hash Table],52.0%,Easy,0
1930,Unique Length-3 Palindromic Subsequences,https://leetcode.com/problems/unique-length-3-palindromic-subsequences/description/,[Hash Table][String][Bit Manipulation][Prefix Sum],66.1%,Medium,0
456,132 Pattern,https://leetcode.com/problems/132-pattern/description/,[Array][Binary Search][Stack][Monotonic Stack][Ordered Set],33.7%,Medium,0
368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/description/,[Array][Math][Dynamic Programming][Sorting],45.2%,Medium,0
576,Out of Boundary Paths,https://leetcode.com/problems/out-of-boundary-paths/description/,[Dynamic Programming],48.1%,Medium,0
888,Fair Candy Swap,https://leetcode.com/problems/fair-candy-swap/description/,[Array][Hash Table][Binary Search][Sorting],61.5%,Easy,0
2035,Partition Array Into Two Arrays to Minimize Sum Difference,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/description/,[Array][Two Pointers][Binary Search][Dynamic Programming][Bit Manipulation][Ordered Set][Bitmask],20.0%,Hard,0
606,Construct String from Binary Tree,https://leetcode.com/problems/construct-string-from-binary-tree/description/,[String][Tree][Depth-First Search][Binary Tree],69.0%,Medium,0
1422,Maximum Score After Splitting a String,https://leetcode.com/problems/maximum-score-after-splitting-a-string/description/,[String][Prefix Sum],62.2%,Easy,0
1535,Find the Winner of an Array Game,https://leetcode.com/problems/find-the-winner-of-an-array-game/description/,[Array][Simulation],57.2%,Medium,0
1441,Build an Array With Stack Operations,https://leetcode.com/problems/build-an-array-with-stack-operations/description/,[Array][Stack][Simulation],79.8%,Medium,0
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,[Array][Hash Table][Union Find],47.3%,Medium,0
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/description/,[String][Trie],42.4%,Easy,0
3000,Maximum Area of Longest Diagonal Rectangle,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle/description/,[Array],35.2%,Easy,0
2391,Minimum Amount of Time to Collect Garbage,https://leetcode.com/problems/minimum-amount-of-time-to-collect-garbage/description/,[Array][String][Prefix Sum],85.7%,Medium,0
515,Find Largest Value in Each Tree Row,https://leetcode.com/problems/find-largest-value-in-each-tree-row/description/,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],65.7%,Medium,0
1239,Maximum Length of a Concatenated String with Unique Characters,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/description/,[Array][String][Backtracking][Bit Manipulation],54.1%,Medium,0
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/description/,[Array][Binary Search][Divide and Conquer],39.4%,Hard,0
1287,Element Appearing More Than 25% In Sorted Array,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array/description/,[Array],61.1%,Easy,0
2009,Minimum Number of Operations to Make Array Continuous,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous/description/,[Array][Binary Search],53.1%,Hard,0
31,Next Permutation,https://leetcode.com/problems/next-permutation/description/,[Array][Two Pointers],39.5%,Medium,0
405,Convert a Number to Hexadecimal,https://leetcode.com/problems/convert-a-number-to-hexadecimal/description/,[Math][Bit Manipulation],48.1%,Easy,0
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/description/,[Array][Queue][Sliding Window][Heap (Priority Queue)][Monotonic Queue],46.5%,Hard,0
454,4Sum II,https://leetcode.com/problems/4sum-ii/description/,[Array][Hash Table],57.2%,Medium,0
1048,Longest String Chain,https://leetcode.com/problems/longest-string-chain/description/,[Array][Hash Table][Two Pointers][String][Dynamic Programming],61.0%,Medium,0
220,Contains Duplicate III,https://leetcode.com/problems/contains-duplicate-iii/description/,[Array][Sliding Window][Sorting][Bucket Sort][Ordered Set],22.7%,Hard,0
2385,Amount of Time for Binary Tree to Be Infected,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected/description/,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],63.0%,Medium,0
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/description/,[Math],28.4%,Medium,0
532,K-diff Pairs in an Array,https://leetcode.com/problems/k-diff-pairs-in-an-array/description/,[Array][Hash Table][Two Pointers][Binary Search][Sorting],42.6%,Medium,0
1903,Largest Odd Number in String,https://leetcode.com/problems/largest-odd-number-in-string/description/,[Math][String][Greedy],63.4%,Easy,0
1716,Calculate Money in Leetcode Bank,https://leetcode.com/problems/calculate-money-in-leetcode-bank/description/,[Math],78.2%,Easy,0
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/description/,[Linked List][Math][Recursion],42.4%,Medium,0
2235,Add Two Integers,https://leetcode.com/problems/add-two-integers/description/,[Math],87.5%,Easy,0
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/description/,[Math],55.8%,Easy,0
15,3Sum,https://leetcode.com/problems/3sum/description/,[Array][Two Pointers][Sorting],34.2%,Medium,0
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/description/,[Array][Two Pointers][Sorting],49.2%,Easy,0
1021,Remove Outermost Parentheses,https://leetcode.com/problems/remove-outermost-parentheses/description/,[String][Stack],82.2%,Easy,0
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/description/,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.8%,Hard,0
310,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees/description/,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],38.8%,Medium,0
2413,Smallest Even Multiple,https://leetcode.com/problems/smallest-even-multiple/description/,[Math][Number Theory],87.5%,Easy,0
2610,Convert an Array Into a 2D Array With Conditions,https://leetcode.com/problems/convert-an-array-into-a-2d-array-with-conditions/description/,[Array][Hash Table],87.3%,Medium,0
137,Single Number II,https://leetcode.com/problems/single-number-ii/description/,[Array][Bit Manipulation],62.2%,Medium,0
455,Assign Cookies,https://leetcode.com/problems/assign-cookies/description/,[Array][Two Pointers][Greedy][Sorting],52.7%,Easy,0
337,House Robber III,https://leetcode.com/problems/house-robber-iii/description/,[Dynamic Programming][Tree][Depth-First Search][Binary Tree],54.2%,Medium,0
1347,Minimum Number of Steps to Make Two Strings Anagram,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/description/,[Hash Table][String][Counting],82.0%,Medium,0
875,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/description/,[Array][Binary Search],49.0%,Medium,0
1043,Partition Array for Maximum Sum,https://leetcode.com/problems/partition-array-for-maximum-sum/description/,[Array][Dynamic Programming],76.4%,Medium,0
698,Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/description/,[Array][Dynamic Programming][Backtracking][Bit Manipulation][Memoization][Bitmask],38.5%,Medium,0
767,Reorganize String,https://leetcode.com/problems/reorganize-string/description/,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.5%,Medium,0
66,Plus One,https://leetcode.com/problems/plus-one/description/,[Array][Math],45.0%,Easy,0
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/description/,[Array][Matrix][Simulation],48.9%,Medium,0
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/description/,[String][Stack],40.5%,Easy,0
802,Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states/description/,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],62.2%,Medium,0
146,LRU Cache,https://leetcode.com/problems/lru-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0
