No,Title,Link,Tags,Acceptance,Difficulty,Frequency
1169,Invalid Transactions,https://leetcode.com/problems/invalid-transactions/description/,[Array][Hash Table][String][Sorting],31.2%,Medium,0
1029,Two City Scheduling,https://leetcode.com/problems/two-city-scheduling/description/,[Array][Greedy][Sorting],66.5%,Medium,0
430,Flatten a Multilevel Doubly Linked List,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/description/,[Linked List][Depth-First Search][Doubly-Linked List],60.0%,Medium,0
1396,Design Underground System,https://leetcode.com/problems/design-underground-system/description/,[Hash Table][String][Design],74.7%,Medium,0
1274,Number of Ships in a Rectangle,https://leetcode.com/problems/number-of-ships-in-a-rectangle/description/,[Array][Divide and Conquer][Interactive],68.7%,Hard,0
1472,Design Browser History,https://leetcode.com/problems/design-browser-history/description/,[Array][Linked List][Stack][Design][Doubly-Linked List][Data Stream],77.5%,Medium,0
1244,Design A Leaderboard,https://leetcode.com/problems/design-a-leaderboard/description/,[Hash Table][Design][Sorting],67.9%,Medium,0
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/description/,[Array][Hash Table][Math][Design][Randomized],54.4%,Medium,0
642,Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system/description/,[String][Design][Trie][Data Stream],48.9%,Hard,0
394,Decode String,https://leetcode.com/problems/decode-string/description/,[String][Stack][Recursion],59.0%,Medium,0
1756,Design Most Recently Used Queue,https://leetcode.com/problems/design-most-recently-used-queue/description/,[Array][Hash Table][Stack][Design][Binary Indexed Tree][Ordered Set],76.2%,Medium,0
629,K Inverse Pairs Array,https://leetcode.com/problems/k-inverse-pairs-array/description/,[Dynamic Programming],50.1%,Hard,0
1614,Maximum Nesting Depth of the Parentheses,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/description/,[String][Stack],81.5%,Easy,0
797,All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target/description/,[Backtracking][Depth-First Search][Breadth-First Search][Graph],82.4%,Medium,0
823,Binary Trees With Factors,https://leetcode.com/problems/binary-trees-with-factors/description/,[Array][Hash Table][Dynamic Programming][Sorting],52.9%,Medium,0
1583,Count Unhappy Friends,https://leetcode.com/problems/count-unhappy-friends/description/,[Array][Simulation],61.4%,Medium,0
611,Valid Triangle Number,https://leetcode.com/problems/valid-triangle-number/description/,[Array][Two Pointers][Binary Search][Greedy][Sorting],51.0%,Medium,0
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/description/,[String][Stack],57.4%,Medium,0
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/description/,[Hash Table][String][Queue][Counting],62.0%,Easy,0
1347,Minimum Number of Steps to Make Two Strings Anagram,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/description/,[Hash Table][String][Counting],82.0%,Medium,0
390,Elimination Game,https://leetcode.com/problems/elimination-game/description/,[Math][Recursion],45.8%,Medium,0
1656,Design an Ordered Stream,https://leetcode.com/problems/design-an-ordered-stream/description/,[Array][Hash Table][Design][Data Stream],84.3%,Easy,0
400,Nth Digit,https://leetcode.com/problems/nth-digit/description/,[Math][Binary Search],34.7%,Medium,0
1422,Maximum Score After Splitting a String,https://leetcode.com/problems/maximum-score-after-splitting-a-string/description/,[String][Prefix Sum],62.2%,Easy,0
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0
2708,Maximum Strength of a Group,https://leetcode.com/problems/maximum-strength-of-a-group/description/,[Array][Backtracking][Greedy][Sorting],23.7%,Medium,0
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/description/,[Array][Sorting],47.1%,Medium,0
311,Sparse Matrix Multiplication,https://leetcode.com/problems/sparse-matrix-multiplication/description/,[Array][Hash Table][Matrix],68.0%,Medium,0
155,Min Stack,https://leetcode.com/problems/min-stack/description/,[Stack][Design],53.8%,Medium,0
200,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0
127,Word Ladder,https://leetcode.com/problems/word-ladder/description/,[Hash Table][String][Breadth-First Search],38.8%,Hard,0
79,Word Search,https://leetcode.com/problems/word-search/description/,[Array][String][Backtracking][Matrix],41.4%,Medium,0
2423,Remove Letter To Equalize Frequency,https://leetcode.com/problems/remove-letter-to-equalize-frequency/description/,[Hash Table][String][Counting],17.2%,Easy,0
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/,[Hash Table][String][Sliding Window],34.5%,Medium,0
140,Word Break II,https://leetcode.com/problems/word-break-ii/description/,[Array][Hash Table][String][Dynamic Programming][Backtracking][Trie][Memoization],47.5%,Hard,0
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description/,[Linked List][Tree][Depth-First Search][Breadth-First Search][Binary Tree],62.3%,Medium,0
1457,Pseudo-Palindromic Paths in a Binary Tree,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/description/,[Bit Manipulation][Tree][Depth-First Search][Breadth-First Search][Binary Tree],68.5%,Medium,0
314,Binary Tree Vertical Order Traversal,https://leetcode.com/problems/binary-tree-vertical-order-traversal/description/,[Hash Table][Tree][Depth-First Search][Breadth-First Search][Binary Tree],53.9%,Medium,0
397,Integer Replacement,https://leetcode.com/problems/integer-replacement/description/,[Dynamic Programming][Greedy][Bit Manipulation][Memoization],35.6%,Medium,0
230,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/description/,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],72.2%,Medium,0
652,Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees/description/,[Hash Table][Tree][Depth-First Search][Binary Tree],59.3%,Medium,0
399,Evaluate Division,https://leetcode.com/problems/evaluate-division/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Graph][Shortest Path],61.5%,Medium,0
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/description/,[String][Stack],40.5%,Easy,0
1095,Find in Mountain Array,https://leetcode.com/problems/find-in-mountain-array/description/,[Array][Binary Search][Interactive],40.6%,Hard,0
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/description/,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],32.8%,Medium,0
322,Coin Change,https://leetcode.com/problems/coin-change/description/,[Array][Dynamic Programming][Breadth-First Search],43.6%,Medium,0
