No,Title,Link,Tags,Acceptance,Difficulty,Frequency
314,Binary Tree Vertical Order Traversal,https://leetcode.com/problems/binary-tree-vertical-order-traversal/description/,[Hash Table][Tree][Depth-First Search][Breadth-First Search][Binary Tree],53.9%,Medium,0
1249,Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/description/,[String][Stack],67.1%,Medium,0
408,Valid Word Abbreviation,https://leetcode.com/problems/valid-word-abbreviation/description/,[Two Pointers][String],35.5%,Easy,0
339,Nested List Weight Sum,https://leetcode.com/problems/nested-list-weight-sum/description/,[Depth-First Search][Breadth-First Search],83.3%,Medium,0
1650,Lowest Common Ancestor of a Binary Tree III,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/description/,[Hash Table][Two Pointers][Tree][Binary Tree],79.1%,Medium,0
1570,Dot Product of Two Sparse Vectors,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/description/,[Array][Hash Table][Two Pointers][Design],89.9%,Medium,0
1762,Buildings With an Ocean View,https://leetcode.com/problems/buildings-with-an-ocean-view/description/,[Array][Stack][Monotonic Stack],79.4%,Medium,0
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/description/,[Two Pointers][String][Greedy],40.4%,Easy,0
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/description/,[Array][Math][Binary Search][Prefix Sum][Randomized],46.6%,Medium,0
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/description/,[Math][String][Stack],43.4%,Medium,0
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/description/,[Array][Divide and Conquer][Sorting][Heap (Priority Queue)][Quickselect],66.8%,Medium,0
938,Range Sum of BST,https://leetcode.com/problems/range-sum-of-bst/description/,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],86.7%,Easy,0
791,Custom Sort String,https://leetcode.com/problems/custom-sort-string/description/,[Hash Table][String][Sorting],69.8%,Medium,0
71,Simplify Path,https://leetcode.com/problems/simplify-path/description/,[String][Stack],41.9%,Medium,0
426,Convert Binary Search Tree to Sorted Doubly Linked List,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/description/,[Linked List][Stack][Tree][Depth-First Search][Binary Search Tree][Binary Tree][Doubly-Linked List],64.8%,Medium,0
921,Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/description/,[String][Stack][Greedy],75.1%,Medium,0
346,Moving Average from Data Stream,https://leetcode.com/problems/moving-average-from-data-stream/description/,[Array][Design][Queue][Data Stream],78.1%,Easy,0
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/description/,[Tree][Depth-First Search][Binary Tree],61.6%,Medium,0
691,Stickers to Spell Word,https://leetcode.com/problems/stickers-to-spell-word/description/,[Array][String][Dynamic Programming][Backtracking][Bit Manipulation][Bitmask],48.0%,Hard,0
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/description/,[Math][Recursion],34.5%,Medium,0
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/description/,[Array][Hash Table][Prefix Sum],43.4%,Medium,0
129,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/description/,[Tree][Depth-First Search][Binary Tree],63.3%,Medium,0
973,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/description/,[Array][Math][Divide and Conquer][Geometry][Sorting][Heap (Priority Queue)][Quickselect],66.2%,Medium,0
827,Making A Large Island,https://leetcode.com/problems/making-a-large-island/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],46.7%,Hard,0
65,Valid Number,https://leetcode.com/problems/valid-number/description/,[String],19.5%,Hard,0
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/description/,[Array][Binary Search],45.9%,Medium,0
986,Interval List Intersections,https://leetcode.com/problems/interval-list-intersections/description/,[Array][Two Pointers],71.5%,Medium,0
1091,Shortest Path in Binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix/description/,[Array][Breadth-First Search][Matrix],47.1%,Medium,0
708,Insert into a Sorted Circular Linked List,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/description/,[Linked List],35.7%,Medium,0
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/description/,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],62.8%,Medium,0
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/description/,[Array][Sorting],47.1%,Medium,0
670,Maximum Swap,https://leetcode.com/problems/maximum-swap/description/,[Math][Greedy],48.5%,Medium,0
146,LRU Cache,https://leetcode.com/problems/lru-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0
249,Group Shifted Strings,https://leetcode.com/problems/group-shifted-strings/description/,[Array][Hash Table][String],65.3%,Medium,0
270,Closest Binary Search Tree Value,https://leetcode.com/problems/closest-binary-search-tree-value/description/,[Binary Search][Tree][Depth-First Search][Binary Search Tree][Binary Tree],52.1%,Easy,0
398,Random Pick Index,https://leetcode.com/problems/random-pick-index/description/,[Hash Table][Math][Reservoir Sampling][Randomized],63.0%,Medium,0
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/description/,[Hash Table][Linked List],55.5%,Medium,0
301,Remove Invalid Parentheses,https://leetcode.com/problems/remove-invalid-parentheses/description/,[String][Backtracking][Breadth-First Search],48.0%,Hard,0
766,Toeplitz Matrix,https://leetcode.com/problems/toeplitz-matrix/description/,[Array][Matrix],68.8%,Easy,0
543,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/description/,[Tree][Depth-First Search][Binary Tree],59.9%,Easy,0
415,Add Strings,https://leetcode.com/problems/add-strings/description/,[Math][String][Simulation],51.7%,Easy,0
636,Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions/description/,[Array][Stack],62.2%,Medium,0
498,Diagonal Traverse,https://leetcode.com/problems/diagonal-traverse/description/,[Array][Matrix][Simulation],59.8%,Medium,0
31,Next Permutation,https://leetcode.com/problems/next-permutation/description/,[Array][Two Pointers],39.5%,Medium,0
