No,Title,Link,Tags,Acceptance,Difficulty,Frequency
359,Logger Rate Limiter,https://leetcode.com/problems/logger-rate-limiter/description/,[Hash Table][Design][Data Stream],75.8%,Easy,0
1110,Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest/description/,[Array][Hash Table][Tree][Depth-First Search][Binary Tree],69.1%,Medium,0
2402,Meeting Rooms III,https://leetcode.com/problems/meeting-rooms-iii/description/,[Array][Hash Table][Sorting][Heap (Priority Queue)][Simulation],45.2%,Hard,0
2458,Height of Binary Tree After Subtree Removal Queries,https://leetcode.com/problems/height-of-binary-tree-after-subtree-removal-queries/description/,[Array][Tree][Depth-First Search][Breadth-First Search][Binary Tree],39.8%,Hard,0
715,Range Module,https://leetcode.com/problems/range-module/description/,[Design][Segment Tree][Ordered Set],44.3%,Hard,0
1825,Finding MK Average,https://leetcode.com/problems/finding-mk-average/description/,[Design][Queue][Heap (Priority Queue)][Data Stream][Ordered Set],36.6%,Hard,0
2265,Count Nodes Equal to Average of Subtree,https://leetcode.com/problems/count-nodes-equal-to-average-of-subtree/description/,[Tree][Depth-First Search][Binary Tree],86.5%,Medium,0
1136,Parallel Courses,https://leetcode.com/problems/parallel-courses/description/,[Graph][Topological Sort],61.3%,Medium,0
2101,Detonate the Maximum Bombs,https://leetcode.com/problems/detonate-the-maximum-bombs/description/,[Array][Math][Depth-First Search][Breadth-First Search][Graph][Geometry],48.8%,Medium,0
939,Minimum Area Rectangle,https://leetcode.com/problems/minimum-area-rectangle/description/,[Array][Hash Table][Math][Geometry][Sorting],53.4%,Medium,0
2437,Number of Valid Clock Times,https://leetcode.com/problems/number-of-valid-clock-times/description/,[String][Enumeration],45.6%,Easy,0
1101,The Earliest Moment When Everyone Become Friends,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/description/,[Array][Union Find][Sorting],64.4%,Medium,0
2700,Differences Between Two Objects,https://leetcode.com/problems/differences-between-two-objects/description/,,79.9%,Medium,0
2863,Maximum Length of Semi-Decreasing Subarrays,https://leetcode.com/problems/maximum-length-of-semi-decreasing-subarrays/description/,[Array][Hash Table][Sorting],72.5%,Medium,0
2842,Count K-Subsequences of a String With Maximum Beauty,https://leetcode.com/problems/count-k-subsequences-of-a-string-with-maximum-beauty/description/,[Hash Table][Math][String][Greedy][Combinatorics],28.7%,Hard,0
2116,Check if a Parentheses String Can Be Valid,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid/description/,[String][Stack][Greedy],31.4%,Medium,0
679,24 Game,https://leetcode.com/problems/24-game/description/,[Array][Math][Backtracking],49.2%,Hard,0
900,RLE Iterator,https://leetcode.com/problems/rle-iterator/description/,[Array][Design][Counting][Iterator],59.5%,Medium,0
975,Odd Even Jump,https://leetcode.com/problems/odd-even-jump/description/,[Array][Dynamic Programming][Stack][Monotonic Stack][Ordered Set],39.6%,Hard,0
2973,Find Number of Coins to Place in Tree Nodes,https://leetcode.com/problems/find-number-of-coins-to-place-in-tree-nodes/description/,[Dynamic Programming][Tree][Depth-First Search][Sorting][Heap (Priority Queue)],34.4%,Hard,0
