No,Title,Link,Tags,Acceptance,Difficulty,Frequency
2850,Minimum Moves to Spread Stones Over Grid,https://leetcode.com/problems/minimum-moves-to-spread-stones-over-grid/description/,[Array][Dynamic Programming][Breadth-First Search][Matrix],42.4%,Medium,0
146,LRU Cache,https://leetcode.com/problems/lru-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0
285,Inorder Successor in BST,https://leetcode.com/problems/inorder-successor-in-bst/description/,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],49.5%,Medium,0
2384,Largest Palindromic Number,https://leetcode.com/problems/largest-palindromic-number/description/,[Hash Table][String][Greedy],33.3%,Medium,0
3013,Divide an Array Into Subarrays With Minimum Cost II,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii/description/,[Array][Hash Table][Sliding Window][Heap (Priority Queue)],30.5%,Hard,0
828,Count Unique Characters of All Substrings of a Given String,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/description/,[Hash Table][String][Dynamic Programming],52.2%,Hard,0
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/description/,[Array][Sorting],47.1%,Medium,0
2028,Find Missing Observations,https://leetcode.com/problems/find-missing-observations/description/,[Array][Math][Simulation],46.0%,Medium,0
460,LFU Cache,https://leetcode.com/problems/lfu-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],44.0%,Hard,0
979,Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree/description/,[Tree][Depth-First Search][Binary Tree],72.6%,Medium,0
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0
297,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/description/,[String][Tree][Depth-First Search][Breadth-First Search][Design][Binary Tree],56.5%,Hard,0
200,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0
402,Remove K Digits,https://leetcode.com/problems/remove-k-digits/description/,[String][Stack][Greedy][Monotonic Stack],31.0%,Medium,0
974,Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k/description/,[Array][Hash Table][Prefix Sum],54.0%,Medium,0
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/,[Hash Table][String][Sliding Window],34.5%,Medium,0
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/description/,[Array][Two Pointers][Sorting],49.2%,Easy,0
400,Nth Digit,https://leetcode.com/problems/nth-digit/description/,[Math][Binary Search],34.7%,Medium,0
2251,Number of Flowers in Full Bloom,https://leetcode.com/problems/number-of-flowers-in-full-bloom/description/,[Array][Hash Table][Binary Search][Sorting][Prefix Sum][Ordered Set],56.8%,Hard,0
2007,Find Original Array From Doubled Array,https://leetcode.com/problems/find-original-array-from-doubled-array/description/,[Array][Hash Table][Greedy][Sorting],40.5%,Medium,0
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/description/,[Array][Queue][Sliding Window][Heap (Priority Queue)][Ordered Set][Monotonic Queue],49.1%,Medium,0
706,Design HashMap,https://leetcode.com/problems/design-hashmap/description/,[Array][Hash Table][Linked List][Design][Hash Function],65.7%,Easy,0
489,Robot Room Cleaner,https://leetcode.com/problems/robot-room-cleaner/description/,[Backtracking][Interactive],76.6%,Hard,0
1376,Time Needed to Inform All Employees,https://leetcode.com/problems/time-needed-to-inform-all-employees/description/,[Tree][Depth-First Search][Breadth-First Search],60.0%,Medium,0
316,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters/description/,[String][Stack][Greedy][Monotonic Stack],49.4%,Medium,0
2477,Minimum Fuel Cost to Report to the Capital,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital/description/,[Tree][Depth-First Search][Breadth-First Search][Graph],65.0%,Medium,0
836,Rectangle Overlap,https://leetcode.com/problems/rectangle-overlap/description/,[Math][Geometry],44.6%,Easy,0
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/description/,[Array][Divide and Conquer][Dynamic Programming],50.6%,Medium,0
140,Word Break II,https://leetcode.com/problems/word-break-ii/description/,[Array][Hash Table][String][Dynamic Programming][Backtracking][Trie][Memoization],47.5%,Hard,0
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/description/,[String][Stack],57.4%,Medium,0
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/description/,[Array][Matrix][Simulation],48.9%,Medium,0
2239,Find Closest Number to Zero,https://leetcode.com/problems/find-closest-number-to-zero/description/,[Array],44.7%,Easy,0
212,Word Search II,https://leetcode.com/problems/word-search-ii/description/,[Array][String][Backtracking][Trie][Matrix],36.2%,Hard,0
1,Two Sum,https://leetcode.com/problems/two-sum/description/,[Array][Hash Table],52.0%,Easy,0
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/description/,[Array][Hash Table],37.8%,Hard,0
348,Design Tic-Tac-Toe,https://leetcode.com/problems/design-tic-tac-toe/description/,[Array][Hash Table][Design][Matrix][Simulation],57.9%,Medium,0
3040,Maximum Number of Operations With the Same Score II,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-ii/description/,[Array][Dynamic Programming][Memoization],30.7%,Medium,0
31,Next Permutation,https://leetcode.com/problems/next-permutation/description/,[Array][Two Pointers],39.5%,Medium,0
139,Word Break,https://leetcode.com/problems/word-break/description/,[Array][Hash Table][String][Dynamic Programming][Trie][Memoization],46.6%,Medium,0
39,Combination Sum,https://leetcode.com/problems/combination-sum/description/,[Array][Backtracking],71.0%,Medium,0
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/description/,[Hash Table][Linked List],55.5%,Medium,0
859,Buddy Strings,https://leetcode.com/problems/buddy-strings/description/,[Hash Table][String],33.0%,Easy,0
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/description/,[Math][String][Recursion],30.5%,Hard,0
2667,Create Hello World Function,https://leetcode.com/problems/create-hello-world-function/description/,,80.9%,Easy,0
509,Fibonacci Number,https://leetcode.com/problems/fibonacci-number/description/,[Math][Dynamic Programming][Recursion][Memoization],70.8%,Easy,0
168,Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title/description/,[Math][String],40.3%,Easy,0
97,Interleaving String,https://leetcode.com/problems/interleaving-string/description/,[String][Dynamic Programming],39.7%,Medium,0
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,[Array][Dynamic Programming],53.5%,Easy,0
134,Gas Station,https://leetcode.com/problems/gas-station/description/,[Array][Greedy],45.6%,Medium,0
349,Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays/description/,[Array][Hash Table][Two Pointers][Binary Search][Sorting],72.4%,Easy,0
1631,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort/description/,[Array][Binary Search][Depth-First Search][Breadth-First Search][Union Find][Heap (Priority Queue)][Matrix],59.4%,Medium,0
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description/,[Linked List][Tree][Depth-First Search][Breadth-First Search][Binary Tree],62.3%,Medium,0
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/description/,[Array][Binary Search][Divide and Conquer],39.4%,Hard,0
