No,Title,Link,Tags,Acceptance,Difficulty,Frequency
1797,Design Authentication Manager,https://leetcode.com/problems/design-authentication-manager/description/,[Hash Table][Design],56.8%,Medium,0
2484,Count Palindromic Subsequences,https://leetcode.com/problems/count-palindromic-subsequences/description/,[String][Dynamic Programming],37.0%,Hard,0
460,LFU Cache,https://leetcode.com/problems/lfu-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],44.0%,Hard,0
146,LRU Cache,https://leetcode.com/problems/lru-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0
316,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters/description/,[String][Stack][Greedy][Monotonic Stack],49.4%,Medium,0
1328,Break a Palindrome,https://leetcode.com/problems/break-a-palindrome/description/,[String][Greedy],51.8%,Medium,0
2099,Find Subsequence of Length K With the Largest Sum,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum/description/,[Array][Hash Table][Sorting][Heap (Priority Queue)],43.3%,Easy,0
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0
1010,Pairs of Songs With Total Durations Divisible by 60,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/description/,[Array][Hash Table][Counting],52.8%,Medium,0
359,Logger Rate Limiter,https://leetcode.com/problems/logger-rate-limiter/description/,[Hash Table][Design][Data Stream],75.8%,Easy,0
697,Degree of an Array,https://leetcode.com/problems/degree-of-an-array/description/,[Array][Hash Table],56.4%,Easy,0
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/description/,[Array][Binary Search][Dynamic Programming],55.0%,Medium,0
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/description/,[Array][Hash Table][Math][Geometry],26.4%,Hard,0
2006,Count Number of Pairs With Absolute Difference K,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/description/,[Array][Hash Table][Counting],83.5%,Easy,0
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/description/,[String][Stack],57.4%,Medium,0
463,Island Perimeter,https://leetcode.com/problems/island-perimeter/description/,[Array][Depth-First Search][Breadth-First Search][Matrix],70.3%,Easy,0
