No,Title,Link,Tags,Acceptance,Difficulty,Frequency
285,Inorder Successor in BST,https://leetcode.com/problems/inorder-successor-in-bst/description/,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],49.5%,Medium,0
133,Clone Graph,https://leetcode.com/problems/clone-graph/description/,[Hash Table][Depth-First Search][Breadth-First Search][Graph],56.6%,Medium,0
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/description/,[Two Pointers][String][String Matching],41.9%,Easy,0
75,Sort Colors,https://leetcode.com/problems/sort-colors/description/,[Array][Two Pointers][Sorting],61.7%,Medium,0
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/description/,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.7%,Medium,0
214,Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome/description/,[String][Rolling Hash][String Matching][Hash Function],33.2%,Hard,0
269,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/description/,[Array][String][Depth-First Search][Breadth-First Search][Graph][Topological Sort],35.7%,Hard,0
139,Word Break,https://leetcode.com/problems/word-break/description/,[Array][Hash Table][String][Dynamic Programming][Trie][Memoization],46.6%,Medium,0
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/description/,[Array][Divide and Conquer][Sorting][Heap (Priority Queue)][Quickselect],66.8%,Medium,0
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/description/,[Array][Hash Table][Math][Design][Randomized],54.4%,Medium,0
424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/description/,[Hash Table][String][Sliding Window],53.5%,Medium,0
442,Find All Duplicates in an Array,https://leetcode.com/problems/find-all-duplicates-in-an-array/description/,[Array][Hash Table],73.6%,Medium,0
600,Non-negative Integers without Consecutive Ones,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones/description/,[Dynamic Programming],39.7%,Hard,0
692,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words/description/,[Hash Table][String][Trie][Sorting][Heap (Priority Queue)][Bucket Sort][Counting],57.8%,Medium,0
772,Basic Calculator III,https://leetcode.com/problems/basic-calculator-iii/description/,[Math][String][Stack][Recursion],50.2%,Hard,0
