No,Title,Link,Tags,Acceptance,Difficulty,Frequency
1268,Search Suggestions System,https://leetcode.com/problems/search-suggestions-system/description/,[Array][String][Binary Search][Trie][Sorting][Heap (Priority Queue)],65.3%,Medium,0
2296,Design a Text Editor,https://leetcode.com/problems/design-a-text-editor/description/,[Linked List][String][Stack][Design][Simulation][Doubly-Linked List],43.7%,Hard,0
526,Beautiful Arrangement,https://leetcode.com/problems/beautiful-arrangement/description/,[Array][Dynamic Programming][Backtracking][Bit Manipulation][Bitmask],64.3%,Medium,0
1032,Stream of Characters,https://leetcode.com/problems/stream-of-characters/description/,[Array][String][Design][Trie][Data Stream],51.9%,Hard,0
865,Smallest Subtree with all the Deepest Nodes,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/description/,[Hash Table][Tree][Depth-First Search][Breadth-First Search][Binary Tree],70.3%,Medium,0
588,Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system/description/,[Hash Table][String][Design][Trie],48.2%,Hard,0
1326,Minimum Number of Taps to Open to Water a Garden,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/description/,[Array][Dynamic Programming][Greedy],51.1%,Hard,0
697,Degree of an Array,https://leetcode.com/problems/degree-of-an-array/description/,[Array][Hash Table],56.4%,Easy,0
261,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/description/,[Depth-First Search][Breadth-First Search][Union Find][Graph],47.9%,Medium,0
792,Number of Matching Subsequences,https://leetcode.com/problems/number-of-matching-subsequences/description/,[Array][Hash Table][String][Binary Search][Dynamic Programming][Trie][Sorting],51.1%,Medium,0
2016,Maximum Difference Between Increasing Elements,https://leetcode.com/problems/maximum-difference-between-increasing-elements/description/,[Array],55.9%,Easy,0
1492,The kth Factor of n,https://leetcode.com/problems/the-kth-factor-of-n/description/,[Math][Number Theory],66.8%,Medium,0
378,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/description/,[Array][Binary Search][Sorting][Heap (Priority Queue)][Matrix],62.3%,Medium,0
179,Largest Number,https://leetcode.com/problems/largest-number/description/,[Array][String][Greedy][Sorting],35.8%,Medium,0
115,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/description/,[String][Dynamic Programming],46.5%,Hard,0
557,Reverse Words in a String III,https://leetcode.com/problems/reverse-words-in-a-string-iii/description/,[Two Pointers][String],83.0%,Easy,0
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/description/,[Hash Table][Math][String],64.3%,Medium,0
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/description/,[Array][Hash Table][String][Sorting],68.2%,Medium,0
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description/,[Linked List][Tree][Depth-First Search][Breadth-First Search][Binary Tree],62.3%,Medium,0
621,Task Scheduler,https://leetcode.com/problems/task-scheduler/description/,[Array][Hash Table][Greedy][Sorting][Heap (Priority Queue)][Counting],58.3%,Medium,0
695,Max Area of Island,https://leetcode.com/problems/max-area-of-island/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],71.9%,Medium,0
146,LRU Cache,https://leetcode.com/problems/lru-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0
91,Decode Ways,https://leetcode.com/problems/decode-ways/description/,[String][Dynamic Programming],34.7%,Medium,0
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/description/,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],50.1%,Medium,0
735,Asteroid Collision,https://leetcode.com/problems/asteroid-collision/description/,[Array][Stack][Simulation],44.6%,Medium,0
200,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0
229,Majority Element II,https://leetcode.com/problems/majority-element-ii/description/,[Array][Hash Table][Sorting][Counting],51.2%,Medium,0
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description/,[Array][Hash Table][Divide and Conquer][Tree][Binary Tree],63.5%,Medium,0
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/description/,[Dynamic Programming][Tree][Depth-First Search][Binary Tree],39.9%,Hard,0
39,Combination Sum,https://leetcode.com/problems/combination-sum/description/,[Array][Backtracking],71.0%,Medium,0
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/description/,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.8%,Hard,0
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/description/,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.7%,Medium,0
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/description/,[String][Stack],40.5%,Easy,0
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/,[Hash Table][String][Sliding Window],34.5%,Medium,0
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/description/,[Array][Binary Search],40.5%,Medium,0
169,Majority Element,https://leetcode.com/problems/majority-element/description/,[Array][Hash Table][Divide and Conquer][Sorting][Counting],64.7%,Easy,0
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,[Array][Dynamic Programming],53.5%,Easy,0
