No,Title,Link,Tags,Acceptance,Difficulty,Frequency
772,Basic Calculator III,https://leetcode.com/problems/basic-calculator-iii/description/,[Math][String][Stack][Recursion],50.2%,Hard,0
666,Path Sum IV,https://leetcode.com/problems/path-sum-iv/description/,[Array][Hash Table][Tree][Depth-First Search][Binary Tree],60.8%,Medium,0
588,Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system/description/,[Hash Table][String][Design][Trie],48.2%,Hard,0
465,Optimal Account Balancing,https://leetcode.com/problems/optimal-account-balancing/description/,[Array][Dynamic Programming][Backtracking][Bit Manipulation][Bitmask],49.5%,Hard,0
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/description/,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],50.1%,Medium,0
1293,Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/description/,[Array][Breadth-First Search][Matrix],45.2%,Hard,0
694,Number of Distinct Islands,https://leetcode.com/problems/number-of-distinct-islands/description/,[Hash Table][Depth-First Search][Breadth-First Search][Union Find][Hash Function],61.1%,Medium,0
1530,Number of Good Leaf Nodes Pairs,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs/description/,[Tree][Depth-First Search][Binary Tree],62.8%,Medium,0
815,Bus Routes,https://leetcode.com/problems/bus-routes/description/,[Array][Hash Table][Breadth-First Search],48.2%,Hard,0
1345,Jump Game IV,https://leetcode.com/problems/jump-game-iv/description/,[Array][Hash Table][Breadth-First Search],46.3%,Hard,0
259,3Sum Smaller,https://leetcode.com/problems/3sum-smaller/description/,[Array][Two Pointers][Binary Search][Sorting],50.7%,Medium,0
924,Minimize Malware Spread,https://leetcode.com/problems/minimize-malware-spread/description/,[Hash Table][Depth-First Search][Breadth-First Search][Union Find][Graph],42.0%,Hard,0
2217,Find Palindrome With Fixed Length,https://leetcode.com/problems/find-palindrome-with-fixed-length/description/,[Array][Math],35.9%,Medium,0
856,Score of Parentheses,https://leetcode.com/problems/score-of-parentheses/description/,[String][Stack],64.3%,Medium,0
2158,Amount of New Area Painted Each Day,https://leetcode.com/problems/amount-of-new-area-painted-each-day/description/,[Array][Segment Tree][Ordered Set],55.1%,Hard,0
1541,Minimum Insertions to Balance a Parentheses String,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string/description/,[String][Stack][Greedy],51.4%,Medium,0
2421,Number of Good Paths,https://leetcode.com/problems/number-of-good-paths/description/,[Array][Hash Table][Tree][Union Find][Graph][Sorting],56.5%,Hard,0
200,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0
928,Minimize Malware Spread II,https://leetcode.com/problems/minimize-malware-spread-ii/description/,[Hash Table][Depth-First Search][Breadth-First Search][Union Find][Graph],43.1%,Hard,0
2115,Find All Possible Recipes from Given Supplies,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies/description/,[Array][Hash Table][String][Graph][Topological Sort],49.4%,Medium,0
1011,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/description/,[Array][Binary Search],69.1%,Medium,0
394,Decode String,https://leetcode.com/problems/decode-string/description/,[String][Stack][Recursion],59.0%,Medium,0
2422,Merge Operations to Turn Array Into a Palindrome,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome/description/,[Array][Two Pointers][Greedy],69.4%,Medium,0
1573,Number of Ways to Split a String,https://leetcode.com/problems/number-of-ways-to-split-a-string/description/,[Math][String],32.9%,Medium,0
2050,Parallel Courses III,https://leetcode.com/problems/parallel-courses-iii/description/,[Array][Dynamic Programming][Graph][Topological Sort],67.7%,Hard,0
424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/description/,[Hash Table][String][Sliding Window],53.5%,Medium,0
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/description/,[String][Stack],57.4%,Medium,0
1010,Pairs of Songs With Total Durations Divisible by 60,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/description/,[Array][Hash Table][Counting],52.8%,Medium,0
403,Frog Jump,https://leetcode.com/problems/frog-jump/description/,[Array][Dynamic Programming],46.0%,Hard,0
773,Sliding Puzzle,https://leetcode.com/problems/sliding-puzzle/description/,[Array][Breadth-First Search][Matrix],64.7%,Hard,0
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/description/,[Array][Hash Table][Math][Design][Randomized],54.4%,Medium,0
163,Missing Ranges,https://leetcode.com/problems/missing-ranges/description/,[Array],33.4%,Easy,0
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/description/,[Array][Math][Binary Search][Prefix Sum][Randomized],46.6%,Medium,0
418,Sentence Screen Fitting,https://leetcode.com/problems/sentence-screen-fitting/description/,[String][Dynamic Programming][Simulation],36.0%,Medium,0
386,Lexicographical Numbers,https://leetcode.com/problems/lexicographical-numbers/description/,[Depth-First Search][Trie],63.5%,Medium,0
1405,Longest Happy String,https://leetcode.com/problems/longest-happy-string/description/,[String][Greedy][Heap (Priority Queue)],57.3%,Medium,0
745,Prefix and Suffix Search,https://leetcode.com/problems/prefix-and-suffix-search/description/,[Hash Table][String][Design][Trie],41.0%,Hard,0
992,Subarrays with K Different Integers,https://leetcode.com/problems/subarrays-with-k-different-integers/description/,[Array][Hash Table][Sliding Window][Counting],56.5%,Hard,0
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0
333,Largest BST Subtree,https://leetcode.com/problems/largest-bst-subtree/description/,[Dynamic Programming][Tree][Depth-First Search][Binary Search Tree][Binary Tree],43.6%,Medium,0
381,Insert Delete GetRandom O(1) - Duplicates allowed,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed/description/,[Array][Hash Table][Math][Design][Randomized],35.4%,Hard,0
621,Task Scheduler,https://leetcode.com/problems/task-scheduler/description/,[Array][Hash Table][Greedy][Sorting][Heap (Priority Queue)][Counting],58.3%,Medium,0
2791,Count Paths That Can Form a Palindrome in a Tree,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree/description/,[Dynamic Programming][Bit Manipulation][Tree][Depth-First Search][Bitmask],45.4%,Hard,0
395,Longest Substring with At Least K Repeating Characters,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters/description/,[Hash Table][String][Divide and Conquer][Sliding Window],44.9%,Medium,0
787,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/description/,[Dynamic Programming][Depth-First Search][Breadth-First Search][Graph][Heap (Priority Queue)][Shortest Path],39.2%,Medium,0
886,Possible Bipartition,https://leetcode.com/problems/possible-bipartition/description/,[Depth-First Search][Breadth-First Search][Union Find][Graph],50.5%,Medium,0
827,Making A Large Island,https://leetcode.com/problems/making-a-large-island/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],46.7%,Hard,0
1062,Longest Repeating Substring,https://leetcode.com/problems/longest-repeating-substring/description/,[String][Binary Search][Dynamic Programming][Rolling Hash][Suffix Array][Hash Function],60.3%,Medium,0
2863,Maximum Length of Semi-Decreasing Subarrays,https://leetcode.com/problems/maximum-length-of-semi-decreasing-subarrays/description/,[Array][Hash Table][Sorting],72.5%,Medium,0
146,LRU Cache,https://leetcode.com/problems/lru-cache/description/,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0
127,Word Ladder,https://leetcode.com/problems/word-ladder/description/,[Hash Table][String][Breadth-First Search],38.8%,Hard,0
301,Remove Invalid Parentheses,https://leetcode.com/problems/remove-invalid-parentheses/description/,[String][Backtracking][Breadth-First Search],48.0%,Hard,0
