No,Title,Link,Tags,Acceptance,Difficulty,Frequency
356,Line Reflection,https://leetcode.com/problems/line-reflection/description/,[Array][Hash Table][Math],35.4%,Medium,0
849,Maximize Distance to Closest Person,https://leetcode.com/problems/maximize-distance-to-closest-person/description/,[Array],48.0%,Medium,0
2241,Design an ATM Machine,https://leetcode.com/problems/design-an-atm-machine/description/,[Array][Greedy][Design],40.5%,Medium,0
228,Summary Ranges,https://leetcode.com/problems/summary-ranges/description/,[Array],50.3%,Easy,0
1493,Longest Subarray of 1's After Deleting One Element,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/description/,[Array][Dynamic Programming][Sliding Window],67.1%,Medium,0
2636,Promise Pool,https://leetcode.com/problems/promise-pool/description/,,80.3%,Medium,0
340,Longest Substring with At Most K Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/description/,[Hash Table][String][Sliding Window],48.5%,Medium,0
443,String Compression,https://leetcode.com/problems/string-compression/description/,[Two Pointers][String],54.0%,Medium,0
161,One Edit Distance,https://leetcode.com/problems/one-edit-distance/description/,[Two Pointers][String],34.3%,Medium,0
658,Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements/description/,[Array][Two Pointers][Binary Search][Sliding Window][Sorting][Heap (Priority Queue)],47.2%,Medium,0
986,Interval List Intersections,https://leetcode.com/problems/interval-list-intersections/description/,[Array][Two Pointers],71.5%,Medium,0
487,Max Consecutive Ones II,https://leetcode.com/problems/max-consecutive-ones-ii/description/,[Array][Dynamic Programming][Sliding Window],50.3%,Medium,0
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/description/,[Array][Hash Table][Math][Design][Randomized],54.4%,Medium,0
567,Permutation in String,https://leetcode.com/problems/permutation-in-string/description/,[Hash Table][Two Pointers][String][Sliding Window],44.3%,Medium,0
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/description/,[Hash Table][String],43.7%,Easy,0
2657,Find the Prefix Common Array of Two Arrays,https://leetcode.com/problems/find-the-prefix-common-array-of-two-arrays/description/,[Array][Hash Table][Bit Manipulation],80.5%,Medium,0
362,Design Hit Counter,https://leetcode.com/problems/design-hit-counter/description/,[Array][Binary Search][Design][Queue][Data Stream],68.6%,Medium,0
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/description/,[Array][Hash Table][Prefix Sum],43.4%,Medium,0
