Tag,Appearance
Array,87
String,53
Hash Table,39
Depth-First Search,35
Breadth-First Search,33
Dynamic Programming,27
Math,21
Tree,20
Two Pointers,20
Sorting,20
Binary Search,19
Binary Tree,18
Stack,17
Matrix,16
Greedy,15
Heap (Priority Queue),13
Backtracking,12
Graph,12
Union Find,11
Design,10
Sliding Window,9
Linked List,9
Recursion,8
Divide and Conquer,8
Topological Sort,6
Counting,6
Trie,5
Prefix Sum,5
Simulation,5
Monotonic Stack,5
Randomized,4
Bit Manipulation,3
Binary Search Tree,3
Bitmask,2
Hash Function,2
Segment Tree,2
Ordered Set,2
Queue,2
Merge Sort,2
Memoization,2
Quickselect,2
Shortest Path,1
Rolling Hash,1
Suffix Array,1
Doubly-Linked List,1
Data Stream,1
Binary Indexed Tree,1
Reservoir Sampling,1
Game Theory,1
Bucket Sort,1
