Name,skills
.net,[net maui][aspx][winforms][nhibernate][nethereum][testcomplete][winform][.net core][.net][log4net][dotnetnuke][nuget][oracle net][visual basic .net][.net maui][dapper][wcf][silverlight][ado.net]
programming,[bash][labview][es5][netegrity][lua][gtk][hexadecimal][clojure][assembly][open dynamics engine][zig][lisp][delphi][application programming interface][inheritance][dom][ada][groovy][opengl][cplex][testing][solidity][javascript][apl][ood][visual basic][crystal][racket][matlab][gurobi][gdscript][erlang][directx][octave][perl][webgl][scala][shader][software development kit][prolog][julia][cuda][tapestry][asynchronous][structs][objective c][coroutines][nifi][d][c#][jupyter][checksum][encapsulation][query language][haskell][flow][mapreduce][go kit][serialization][socket][lambda][class][go][object][json][operating systems][sap abap][programming][f#][raku][toad][hadoop][xen][fortran][uwp][scratch][file io][deserialization][es6][dart][ie10+][rpc][storm][ocaml][decrypt][abstraction][vba][oop][object-oriented][jwt][polymorphism][elixir]
unknown,[fcm][roller][akka][ospf][sketch][yetus][felix][graph database][liquibase][istio][turbonomic][apache atlas][fbackup][sharepoint][core animation][respondjs][gis][pillow][agile][acronis cyber protect][unstructured data][binary][haproxy][tanzu][metastore][sling][microsoft office][visio][cloudstack][mule][wsk][bloodhound][kubernetes][spamassassin][iam][software development life cycle][rwd][firewall][alfresco][rancher][arcgis server][powerpoint][helix][oauth][coredns][solidjs][data extraction][laplink][backblaze][es7][nutch][carthage][mac address][jamstack][storage area network][openoffice][efs][kustomize][three.js][less][exchange][ant][google sheets][airavata][nessus][mpls][mootools][oracle virtual box][boomi][maxwell][hyperv][buildforge][odoo][google docs][bugzilla][iq server][messos][qualys][sonar qube][tika][wpf][jasmine][blackduck][stm32wl][behavior driven development][jwe][ccna][openssl][tron][ftp][grunt][oidc][web service][macos][ebs][qwik][mojolicious][gemalto][ses][ember][virtuozzo][data mart][mesos][subnet][cognos tm1][tracisci][dynamics][fop][idrive][jshint][language model][mod perl][fluo][traffic server][fluentd][chai][openid][fivetran][websockets][periscope][ofbix][dlp][mermaid][esxi][rabbitmq][samza][soa][siebel][ssl][helm][snowflake][saml][codebuild][retrospect solo][travis ci][ignite][veeam][ceph][dhcp][durandaljs][protocol][greensock][uml][access control][architecture][jslint][gherkin][database management system][eigrp][zeplin][druva][web token][network topology][salt][gocd][test labs][spinnaker][subnet mask][glacier][geospatial][flink][google slides][udp][mynewt][vrrp][snort][uikit]
big data,[hdp][alluxio][hdfs][hortonworks][emr][greenplum][big data][yarn][kylin][avro][mapr][accumulo]
java,[java awt][cucumber][activemq][tibco ems][j2ee][websphere][poi][restassured][birt report][continuous integration][jndi][rampart][htmlunit][jboss][apache common][pig][gump][multithreading][turbine][geronimmo][lucene core][geronimo][jmx][shiro][james][mybatis][cayenne][mockito][axis][spock][solr][hazelcast][glassfish][weblogic][ognl][jakarta ee][jee][jms][openjpa][dagger][jdbc][struts][winui][wildfly][guava][java swing][gradle][tibco][fortress][jpa][delta lake][velocity][xmlbeans][adf][netbeans][empire-db][jena][pojo][concurrency][uft][j2se][helidon][galen][lucene][jdo][z-os][camel][log4j][aries][ftp server][commons][java][jsp][hibernate][batik][libgdx][osgi][tomee][assertj][jackrabbit][swt][servlets][bcel][pdfbox][opennlp][jmeter][javaee][quarkus][karaf][pivot][freemarker][javafx]
ai,[ci][dds][maximo][swarm][shell][unknown][migration][paw][pax][games][toplink][strata][workbench][dependencies][mvt][jasper][sprint][whitesource][datastax][vxworks][pinecone][csv][chroma][attunity][beelin][pullreview][openvino][jobserver][datax][hal][datarobot][telegraf][sr sam 34 35][servicenow][activiti][stylus][vertex ai][voldemort]
design pattern,[facade][component][decorator][visitor][design pattern][multition][mcv][behavioral][structural][prototype][join][lock][builder][dependency injection][creational][strategy][observer][actors][factory][state][object pool][lazy][adapter][mvc][singleton]
nosql,[bigtable][document databaset][nosql][riak][dynamodb][aerospike][non-relational][cassandra][couchdb][foundationdb][mongodb][firebase realtime database][orientdb][scylladb][document database][couchbase][hbase][firestore]
api,[scalding][postman][spark graphx][django rest][jax-rs][grpc][mina][tinkerpop][afnetworking][sinonjs][tcp][keras][api][vue.js][esri-leaflet][allura][gstreamer][vulkan][soapui][ldap][api gateway][odata][webhooks][ws02 apim][jsdoc][clearquest][cypress][varnish][web api][swagger][canvasjs][polly.js][openapi][pixijs][operating system][apigee][apisix][socketio]
artificial intelligence,[ast][artificial intelligence][vector database][aiops]
monitoring,[checkmk][axway][microsoft systems center][alerta][filebeat][prometheus][eg innovations][geneos][observium][security montioring][sensu][statsd][whatsup gold][sentry][zenoss][solace][datadog][monitoring][nagios][suricata][jaeger][network montioring][security onion][netcrunch][icinga][nakivo][opsgenie][phabricator][prtg][x-pack][sysdig][performance monitoring][ninjaone][airflow][elastic apm][network monitoring][sap basis][new relic][instana][ambari][raygun][zeek][cloudwatch]
xml,[xslt][ajax][xml][xsd][xerces][xalan][fiddler][xpath][soap][synapse][wsdl][xmlrpc][xsl][cacoon][xhtml][axiom]
cloud computing,[cloudsfer][cloud computing][openstack][pivotal cloud foundry][rackspace][private cloud][oracle cloud][ec2][vmware][security][elb][suse][amazon vpc][cloud][citrix][dbaas][akamai][pcf][alibaba cloud]
