Job Description,Tags
"About the Company
RushOwl develops an AI-driven Mobility-as-a-Service(MaaS) platform for public transportation and logistics players, but we are looking to create our own digitized transportation network as well!
We are on a mission to create a digitized transportation ecosystem where personalized transportation can be unlocked for the people, by the people within our RushOwl suite of products, ranging from direct B2C ride-sharing services to B2B Corporate Mobility Schemes. Our team spanning 3 countries (Singapore, Indonesia, and India) operates in an open, fast-paced environment where every team member is recognized for their skills and accomplishments, rather than their designations.

Job Description & Requirements
As an Associate Product Manager, you are passionate about the transportation industry and want to be a part of a leading movement to disrupt the ride-sharing economy in ASEAN. You have excellent analytical skills and are able to design and implement products in an agile and fast-paced environment. You’re obsessive about listening, understanding customer behavior, and finding new ways to improve user experience. As a result of your work at RushOwl, you are excited about the products that will be created based on your analysis and ideas.

Responsibilities
Act as the liaison between the business and engineering teams, to develop and deliver the product roadmap.
Identify and fill product gaps, generate new ideas that grow market share, and drive growth.
Translate product enhancements and strategy into detailed requirements and prototypes. Validate these to ensure they are technically viable.
Analyze data on user behavior to inform decision making on product features and UX.
Work with the engineering team to test “growth hacks” – A/B test and iterate on ideas.
Work on Quantifiable metrics that determine the success/failure of implemented ideas.
Facilitate focus groups and customer research, to solicit feedback on company products and services.
Manage product launches in partnership with the marketing team and ensure campaign activity is in line with product strategy and vice versa.

Requirements
At least 3 years experience in product management
Proven track record of developing and launching new tech products and managing the end to end technical product lifecycle
Comfortable working with large data sets and presenting insights and recommendations
Empathetic listener to users
High sense of urgency
Critical self-management skills

Required Skills
Product management
Project management
Functional testing
Software testing
User acceptance testing
Lean methodology",[Customer Research][Focus Groups][Analytical Skills][User Experience][Agile][Mobility][Strategy][B2B][Product Management][Project Management][Transportation][Software Testing][User Acceptance Testing][Product Development][Decision Making]
"Astek is an IT consulting firm and we are hiring for Mid - Senior Level Backend Developer for one of our projects based in Singapore.

Responsibilities:
Writing clean, efficient, and scalable C# code
Identifying and addressing technical risks, proposing solutions
Integrating and testing new features across diverse apps
Working in a dynamic Agile/Scrum development environment
Maintaining regular communication and close teamwork with colleagues during development
Turning app storyboards into functional, user-friendly apps
Working with cross-functional teams to understand business requirements and produce solutions
Keeping updated on new technologies and trends to proactively suggest ideas to improve the technology ecosystem
Requirements:
Minimally 3 years of relevant experience
Able to lead the design and implementation of event-driven systems using technologies like Apache Kafka, RabbitMQ, or Azure Event Hubs.
Experience in defining event schemas, topics, and producers/consumers.
Hands-on experience in software development, actively participating in coding, debugging, and code reviews.
Able to mentor and guide development teams in best practices for .NET Core, C#, k8s or Kubernetes and event-driven design.
Able to collaborate with stakeholders to understand business requirements and translate them into technical solutions.
Experience in designing scalable and robust .NET Core applications with an event-driven architecture.
Able to architect and oversee the development of microservices-based solutions within the .NET Core ecosystem, and ensure proper service communication and orchestration.
Hands-on experience in integrating systems and designing APIs to facilitate data exchange between services, and ensure APIs are well-documented and secure.
Experience in addressing performance and scalability challenges, optimizing .NET Core applications for high throughput and low latency.
Able to collaborate with DevOps teams to ensure seamless deployment and management of solutions in Cloud environments, such as AWS, Azure, or Google Cloud.
Good in establishing coding standards, architectural guidelines, and best practices for the development team.",[ASP.NET Core][Scalability][Kubernetes][.NET][Azure][AWS][Architect][Architectural][Google Cloud Platform][.NET Core][RabbitMQ][Writing][Apache Kafka][Google Cloud][C#][Debugging][API][Software Development][Business Requirements]
"Job responsibilities:
Develop, maintain and support custom-built software application
Prepare technical documentation on Jira and Confluence
Perform unit testing on software deliverables and provide the relevant assistance during product test, integration test and user acceptance test
Provide post-implementation support and carry out investigation and troubleshooting when necessary
Requirements:
Minimum 5 years’ experience in enterprise software development on Java Spring Boot and associated technologies such as JPA and Hibernate.
Familiar with relational database concepts and SQL experience preferably on MS SQL
Good understanding on microservices architecture and event driven architecture
Experience using Git and have a good understanding of Git workflow
Experience working in agile scrum teams and productivity tools like Jira and Confluence
Exposure to Jenkins and Kubernetes is a plus",[Git][Technical Documentation][Confluence][Troubleshooting][Kubernetes][Unit Testing][Investigation][Microservices][Spring Boot][Enterprise Software][SQL][JIRA][Agile Scrum][Java][Software Development][Hibernate]
"Job Description:

We are seeking an experienced Project Manager with 8-10 years of relevant experience. The ideal candidate will have a background in working with system integrators or within a system integrators company, where they have successfully managed projects involving solutions from various parties, including in-house teams and external vendors. This role requires excellent knowledge of delivery methods, including waterfall, scrum, and hybrid methodologies like waterscrum.

Responsibilities:
Lead and manage the end-to-end project lifecycle, from initiation to closure, ensuring successful delivery within scope, budget, and timeline.
Collaborate closely with Business Analysts, Technical Solution Architects, and other departments to gather requirements, define project objectives, and develop comprehensive project plans.
Utilize creative problem-solving skills to address challenges and obstacles encountered during project execution, thinking outside the box to identify innovative solutions.
Act as a hands-on leader, driving project progress, resolving issues, and mitigating risks to ensure project success.
Communicate effectively with stakeholders at all levels, providing regular project updates, addressing concerns, and managing expectations.
Implement and adhere to project management best practices and methodologies, continuously seeking opportunities for process improvement and optimization.
Requirements:
Bachelor's degree in a relevant field.
Proven experience as a Project Manager, with 8-10 years of experience in managing complex projects.
Excellent knowledge of project delivery methodologies, including waterfall, scrum, and hybrid approaches.",[Management Skills][Budgets][Leadership][Microsoft Office][Microsoft Excel][Construction][Process Improvement][Scrum][Architects][Agile][Risk Management][Project Management][PMP][Thinking Outside the Box][Project Delivery]
"About TikTok
TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok sponsorship of a visa.

TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.

At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.
Join us.

About
Parts of this role will require supporting across ByteDance, as well as TikTok. ByteDance is TikTok's parent company, whose mission is to inspire creativity and enrich life.


Responsibilities:
1. Responsible for building and improving overseas e-commerce business customer service data evaluation and monitoring system, including service experience topics and service efficiency topics.
2. Conduct in-depth analyses with the objective of enhancing service experience and optimizing service efficiency to contribute to our business objectives. For instance, we can generate recommendations for improving service experience, considering factors like product features, solutions (compensation plans, etc.), and service processes. We can also optimize overall service efficiency by analyzing strategies such as agent empowerment tools, agent scheduling, and appointment callbacks. We aim to refine plan settings.
3. Identify service anomalies based on user interaction patterns to minimize the occurrence of public sentiment issues. Identify critical signals to aid in the detection of bugs and user experience related issues.
4. Clearly assess the impact of our services on business value. Explore the effects on repurchase and customer retention from both user and issue-related perspectives. Define service priorities and enhance service ROI.


Minimum Qualifications
1. Bachelor's degree with a background in Math, Economics, Computer Science, Statistics, or other quantitative fields;
2. 5 years experience of Data Analytics.
3. Expert experience pulling large and complex data using SQL and writing data pipelines.
4. Experience with a data visualization tool (e.g. Tableau)


Preferred Qualifications
1. Experience doing quantitative analysis;
2. Development experience in at least one scripting language (Python,etc.);
3. Excellent verbal and written English communication skills;
4. Experience with large data sets and distributed computing (Hive/Hadoop).

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",[Tableau][Customer Retention][Written English][Customer Interaction][Pipelines][Quantitative Analysis][User Experience][Scripting][Economics][SQL][Python][Statistics][Customer Service][Data Analytics][Data Visualization]
"Responsibilities:
Monitor application performance, troubleshoot issues, and implement improvements.
Collaborate with development teams to automate deployment and orchestration processes.
Collaborate with application, infra & security teams to ensure applications are secure.
Implement and maintain CI/CD pipelines to enable efficient software delivery.
Automate routine tasks through scripting and automation tools, including test automation.
Ensure high availability, scalability, and security of application through implementation of DevSecOps process.
Participate in on-call rotation to provide non-office hour support when necessary.
Aid in planning and designing the roadmap to implement and maintain infrastructure as code (IaC) for efficient system provisioning.

Requirements:
Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent experience).
Experienced as a DevOps/DevSecOps Engineer or similar role with good understanding in agile and DevOps/DevSecOps methodologies.
Proficiency with scripting and coding languages (e.g., Python, Bash, Ruby, or Go).
Proficiency with Test automation scripting language using any test automation tools
Hands-on experience with Azure cloud platforms.
Familiarity with continuous integration and continuous deployment (CI/CD) tools.
Optional knowledge of infrastructure as code (IaC) principles using tools like Terraform or Azure Resource Manager (ARM) template.
Relevant certifications, such as Microsoft Certified DevOps Engineer, are a plus.

To apply, please visit www.gmprecruit.com and search for Job Reference: 24277

To learn more about this opportunity, please contact Yingying at yingying.lai@gmprecruit.com

We regret that only shortlisted candidates will be notified.

GMP Technologies (S) Pte Ltd | EA Licence: 11C3793 | EA Personnel: Lai Yingying | Registration No: R1110239",[Troubleshooting][DevOps][Azure DevOps][Agile][Automation Tools][Bash][Test Automation][Ruby][Python][Continuous Integration][Orchestration][Test Automation Tools][DevSecOps][Software Development]
"DevOps Engineer (AWS | Docker | Kubernetes)
Working hour: Monday to Friday 9am to 6pm
Location: Pasir Panjang
Salary package: Excellent benefits + 17 Days of Leave + Excellent Benefits
Responsibilities:
Collaborate with various teams that includes Development/Infra/Products to ensure successful delivery, maintenance planning and correction of build errors.
Day-to-day monitoring, backup, deployment and maintenance of systems
Develop/build/maintain continuous integration/deployment (CI/CD) pipelines and automated testing to support high quality software build in a continuous build/deploy environment (Jenkins Pipeline/Library)
Writing scripts/programs for service monitoring and health check of systems
Automate and build up scalable systems/environment using latest technologies (e.g. Kubernetes) with infrastructure-as-code and GitOps strategy
Automate security hardening in testing, deployment and production setup based on industrial best practices
Provide technical insights for the design and implementation of solutions.
Promote a Dev Ops culture through building relationships with Development & Operations and driving enhancements to the end-to-end release process (workstation to production).
Continuously identifying new tools, ideas to improve whole process of Production systems. Strong self learning ability, motivation to work on new Technologies.
Any other duties assigned by the Team Lead/Solution Architect
Requirements
Degree in Computer Science or equivalent with 5 years of relevant experience in the below areas:
Experienced with building and setting up high velocity and reliable CI/CD pipeline
Proficiency with containers and cloud orchestration tools such as Docker, Kubernetes
Proficiency with systems that support Infrastructure-as-Code ideals, such as Ansible, Terraform, Linux servers administration.
If you are excited by the above opportunity and challenges and enjoy making things happen, do apply now!
OR
Email your resume to: spwl@scientecpersonnel.com
Wyman Low
Team Lead (IHRP - CP)
Low Yong Wei (Wyman) - R1550983
ScienTec Consulting Pte Ltd - 11C5781",[Troubleshooting][Kubernetes][Pipelines][cost optimisation][Configuration Management][Python][Hardening][Continuous Integration][Docker][Ansible][Orchestration][Linux]
"Lead UX design for a suite of applications working across a cross-functional team.
Work closely with product management and engineering, providing design perspective to help ensure a unified and cohesive experience across the investment ecosystem.
Conduct user needs assessment, task analysis, and develop user profiles; identify key tasks for user research, competitive analysis, user testing, and develop usability plans.
Develop high-level task flow content and use storyboards and other design documents to communicate concepts and vision to others.
Develop UI layouts including controls, labels, and graphical elements for software on both mobile and desktop platforms with an eye towards experience unification.
Create end-to-end detailed design deliverables as a series of experience maps, storyboards, wireframes, and interactive prototypes.
An inspiring portfolio showing how the candidate has researched and crafted great experiences, and seeing them through to released products.
Ability to understand and distill complex problems into elegant, informed solutions.
Ability to articulate and champion design solutions based on user-centered design principles and incorporating research data.
Expert with design tools (e.g. Figma, Sketch, Adobe XD) to produce wireframes and high-fidelity interactive prototypes.
Experience working in an iterative and agile development environment.
Excellent teamwork and communication skills to effectively collaborate with multi-functional and multi-disciplined teams.",[Competitive Analysis][Wireframes][Usability][Microsoft Excel][Labels][UX Design][UI][Product Management][Usercentered Design][User Research][Task Analysis][Articulate][Adobe XD][UX][Agile Development]
"Maltem Asia is seeking a Lead UX Engineer for a Wealth Management Client based in Singapore.
Summary :
Supporting the ISPM One project for a new Middle Office operations platform to perform finance journal posting and business operations workflow.
Mandatory Requirements :
Lead UX design for a suite of applications working across a cross functional team.
Work closely with product management and engineering, providing design perspective to help ensure a unified and cohesive experience across the investment ecosystem.
Conduct user needs assessment, task analysis, and develop user profiles; identify key tasks for user research, competitive analysis, user testing, and develop usability plans.
Develop high-level task flow content and use storyboards and other design documents to communicate concepts and vision to others.
Develop UI layouts including controls, labels, and graphical elements for software on both mobile and desktop platforms with an eye towards experience unification.
Create end-to-end detailed design deliverables as a series of experience maps, storyboards, wireframes, and interactive prototypes.
An inspiring portfolio showing how the candidate has researched and crafted great experiences, and seeing them through to released products.
Ability to understand and distill complex problems into elegant, informed solutions.
Ability to articulate and champion design solutions based on user-centered design principles and incorporating research data.
Expert with design tools (e.g. Figma, Sketch, Adobe XD) to produce wireframes and high-fidelity interactive prototypes.
Experience working in an iterative and agile development environment.
Excellent teamwork and communication skills to effectively collaborate with multi-functional and multi-disciplined teams.",[Wealth Management][Competitive Analysis][Wireframes][Usability][Middle Office][Labels][UX Design][UI][Usercentered Design][User Research][Task Analysis][Articulate][Adobe XD][UX][Agile Development]
"IT Desktop Support Manager (EUC)
Working Hour: Monday to Thursday 8.30am to 6pm, Friday 8.30am to 5.30pm
Working Location: Central
Responsibilities:
Provide essential enterprise level end user computing services to organisation.
Plan and execute new initiatives and enhancements that result in innovative use of end-point technologies to meet the needs of forward-looking organisation.
Work with team leaders and outsourced service providers to plan, manage and deliver projects to upkeep, strengthen or build new desktop services to improve service satisfaction and delivery.
Execute projects to deliver desktop services that achieve standardisation of desktop services across Public Service agencies to reduce operations overheads and greater satisfaction of desktop services.
Supervise and maintain desktop services across organisation and work with outsourced service
Requirements:
Degree/Diploma in Computer Science or equivalent with minimum 3 years of relevant working experience in designing deploying and managing enterprise level ICT infrastructure for end point services
Good knowledge of end-user computing (EUC) or ICT operations (ICT infrastructure; servers, network, IT security)
If you are excited by the above opportunity and challenges and enjoy making things happen, do apply now!
OR

Email your resume to: spwl@scientecpersonnel.com

Wyman Low
Team Lead (IHRP - CP)
Low Yong Wei (Wyman) - R1550983
ScienTec Consulting Pte Ltd - 11C5781",[UAT][Troubleshooting][Microsoft Office][ICT][Hardware][Laptops][SCCM][IT End User Computing][IT Operations][Tuning][Operating Systems][Windows][Linux]
