Name,Search Keyword,Resource Path,Groups
.net core,.net core,skill-learning-resource/.net core.html,[programming][mobile][asp.net][.net][docker][web apps][linux]
.net maui,.net maui,skill-learning-resource/.net maui.html,[mobile][android][asp.net][c#][visual studio][.net][azure]
.net,.net,skill-learning-resource/.net.html,[mobile][machine learning][.net][microservices]
abstraction,abstraction,skill-learning-resource/abstraction.html,[programming][python][c++][java]
access control,access control,skill-learning-resource/access control.html,[unknown]
accumulo,accumulo,skill-learning-resource/accumulo.html,[java][big data]
acronis cyber protect,acronis cyber protect,skill-learning-resource/acronis cyber protect.html,[unknown]
activemq,activemq,skill-learning-resource/activemq.html,[java]
activiti,activiti,skill-learning-resource/activiti.html,[programming][python][game][ai][data science][machine learning]
actors,actors,skill-learning-resource/actors.html,[design pattern][distributed systems]
ada,ada,skill-learning-resource/ada.html,[programming][c++][reliability][c]
adapter,adapter,skill-learning-resource/adapter.html,[design pattern]
adf,adf,skill-learning-resource/adf.html,[mobile][infrastructure][java][design patterns][visualization]
ado.net,ado.net,skill-learning-resource/ado.net.html,[sql server][xml][sql][.net]
aerospike,aerospike,skill-learning-resource/aerospike.html,[nosql]
afnetworking,afnetworking,skill-learning-resource/afnetworking.html,[api]
agile,agile,skill-learning-resource/agile.html,[unknown]
aiops,aiops,skill-learning-resource/aiops.html,[monitoring][infrastructure][artificial intelligence][ai][big data][analytics][machine learning]
airavata,airavata,skill-learning-resource/airavata.html,[unknown]
airflow,airflow,skill-learning-resource/airflow.html,[monitoring][python]
ajax,ajax,skill-learning-resource/ajax.html,[css][xml][html]
akamai,akamai,skill-learning-resource/akamai.html,[cloud computing]
akka,akka,skill-learning-resource/akka.html,[unknown]
aks,aks,skill-learning-resource/aks.html,[mobile][azure]
alamofire,alamofire,skill-learning-resource/alamofire.html,[swift][api]
alerta,alerta,skill-learning-resource/alerta.html,[monitoring]
alfresco,alfresco,skill-learning-resource/alfresco.html,[unknown]
algosec,algosec,skill-learning-resource/algosec.html,[automation]
alibaba cloud,alibaba cloud,skill-learning-resource/alibaba cloud.html,[ai][cloud computing][data processing][big data]
alloydb,alloydb,skill-learning-resource/alloydb.html,[infrastructure][postgresql][reliability][google cloud]
allura,allura,skill-learning-resource/allura.html,[api]
alluxio,alluxio,skill-learning-resource/alluxio.html,[ai][big data]
alteryx,alteryx,skill-learning-resource/alteryx.html,[datasets][visualization][analytics][data science]
amazon codepipeline,amazon codepipeline,skill-learning-resource/amazon codepipeline.html,[pipelines]
amazon file cache,amazon file cache,skill-learning-resource/amazon file cache.html,[amazon web][datasets]
amazon lake formation,amazon lake formation,skill-learning-resource/amazon lake formation.html,[data lake]
amazon lambda,amazon lambda,skill-learning-resource/amazon lambda.html,[automation][serverless][amazon web]
amazon vpc,amazon vpc,skill-learning-resource/amazon vpc.html,[amazon web][cloud computing][api]
ambari,ambari,skill-learning-resource/ambari.html,[monitoring]
amcharts,amcharts,skill-learning-resource/amcharts.html,[visualization][data visualization]
amplify,amplify,skill-learning-resource/amplify.html,[mobile][frontend][amazon web][backend]
amqp,amqp,skill-learning-resource/amqp.html,[message queue]
anaconda,anaconda,skill-learning-resource/anaconda.html,[programming][machine learning][python][r][data science]
analytics,analytics,skill-learning-resource/analytics.html,[data analysis][analytics][data science]
andriod jetpack,andriod jetpack,skill-learning-resource/andriod jetpack.html,[android]
android ndk,android ndk,skill-learning-resource/android ndk.html,[android][c++][c][api]
android sdk,android sdk,skill-learning-resource/android sdk.html,[programming][android][c++][java][kotlin]
android studio,android studio,skill-learning-resource/android studio.html,[android][ide][java][kotlin]
android,android,skill-learning-resource/android.html,[programming][mobile][android][c++][java][kotlin]
angular native,angular native,skill-learning-resource/angular native.html,[mobile][android][angular][web apps]
angular,angular,skill-learning-resource/angular.html,[web apps][angular]
angular.js,angular.js,skill-learning-resource/angular.js.html,[web apps][angular]
ansible,ansible,skill-learning-resource/ansible.html,[automation][python][reliability][devops]
ant,ant,skill-learning-resource/ant.html,[unknown]
antd,antd,skill-learning-resource/antd.html,[react]
apache atlas,apache atlas,skill-learning-resource/apache atlas.html,[unknown]
apache common,apache common,skill-learning-resource/apache common.html,[java]
apache,apache,skill-learning-resource/apache.html,[web server]
api gateway,api gateway,skill-learning-resource/api gateway.html,[monitoring][backend][analytics][api]
api,api,skill-learning-resource/api.html,[programming][api]
apigee,apigee,skill-learning-resource/apigee.html,[backend][google cloud][api]
apisix,apisix,skill-learning-resource/apisix.html,[docker][microservices][api]
apl,apl,skill-learning-resource/apl.html,[programming]
appcheck,appcheck,skill-learning-resource/appcheck.html,[web apps][infrastructure][api]
appdna,appdna,skill-learning-resource/appdna.html,[mobile][mobile app]
